iri	iri label	disease	disease label	gene	gene label
http://purl.obolibrary.org/obo/MONDO_0012153	Alzheimer disease 9	http://purl.obolibrary.org/obo/MONDO_0015140	early-onset autosomal dominant Alzheimer disease	http://identifiers.org/hgnc/37	ABCA7
http://purl.obolibrary.org/obo/MONDO_0010340	Asperger syndrome, X-linked, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0005259	Asperger syndrome	http://identifiers.org/hgnc/14289	NLGN3
http://purl.obolibrary.org/obo/MONDO_0010343	Asperger syndrome, X-linked, susceptibility to, 2	http://purl.obolibrary.org/obo/MONDO_0005259	Asperger syndrome	http://identifiers.org/hgnc/14287	NLGN4X
http://purl.obolibrary.org/obo/MONDO_0007723	Hirschsprung disease, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0018309	Hirschsprung disease	http://identifiers.org/hgnc/9967	RET
http://purl.obolibrary.org/obo/MONDO_0010833	Hirschsprung disease, susceptibility to, 2	http://purl.obolibrary.org/obo/MONDO_0018309	Hirschsprung disease	http://identifiers.org/hgnc/3180	EDNRB
http://purl.obolibrary.org/obo/MONDO_0013383	Hirschsprung disease, susceptibility to, 3	http://purl.obolibrary.org/obo/MONDO_0018309	Hirschsprung disease	http://identifiers.org/hgnc/4232	GDNF
http://purl.obolibrary.org/obo/MONDO_0013384	Hirschsprung disease, susceptibility to, 4	http://purl.obolibrary.org/obo/MONDO_0018309	Hirschsprung disease	http://identifiers.org/hgnc/3178	EDN3
http://purl.obolibrary.org/obo/MONDO_0014786	IgA nephropathy, susceptibility to, 3	http://purl.obolibrary.org/obo/MONDO_0005342	IgA glomerulonephritis	http://identifiers.org/hgnc/11270	SPRY2
http://purl.obolibrary.org/obo/MONDO_0020715	Multiple system atrophy 1, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0007803	multiple system atrophy	http://identifiers.org/hgnc/25223	COQ2
http://purl.obolibrary.org/obo/MONDO_0012466	Parkinson disease 13, autosomal dominant, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005180	Parkinson disease	http://identifiers.org/hgnc/14348	HTRA2
http://purl.obolibrary.org/obo/MONDO_0013340	Parkinson disease 5, autosomal dominant, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005180	Parkinson disease	http://identifiers.org/hgnc/12513	UCHL1
http://purl.obolibrary.org/obo/MONDO_0011650	atrioventricular septal defect, susceptibility to, 2	http://purl.obolibrary.org/obo/MONDO_0020290	atrioventricular septal defect	http://identifiers.org/hgnc/14630	CRELD1
http://purl.obolibrary.org/obo/MONDO_0012801	autism, susceptibility to, 15	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/13830	CNTNAP2
http://purl.obolibrary.org/obo/MONDO_0013258	autism, susceptibility to, 16	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/20653	SLC9A9
http://purl.obolibrary.org/obo/MONDO_0013265	autism, susceptibility to, 17	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/14295	SHANK2
http://purl.obolibrary.org/obo/MONDO_0014017	autism, susceptibility to, 18	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/20153	CHD8
http://purl.obolibrary.org/obo/MONDO_0014041	autism, susceptibility to, 19	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/3287	EIF4E
http://purl.obolibrary.org/obo/MONDO_0010321	autism, susceptibility to, X-linked 1	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/14289	NLGN3
