defined_class,defined_class_label,location,location label
TBD:0000020,nervous system disease,UBERON:0001016,nervous system
TBD:0000021,central nervous system disease,UBERON:0001017,central nervous system
TBD:0000022,peripheral nervous system disease,UBERON:0000010,peripheral nervous system
TBD:0000023,autonomic nervous system disease,UBERON:0002410,autonomic nervous system
TBD:0000024,sensory system disease,UBERON:0001032,sensory system
TBD:0000025,reproductive system disease,UBERON:0000990,reproductive system
TBD:0000026,immune system disease,UBERON:0002405,immune system
TBD:0000027,hematopoietic system disease,UBERON:0002390,hematopoietic system
TBD:0000028,integumentary system disease,UBERON:0002416,integumental system
TBD:0000029,lymphatic system disease,UBERON:0006558,lymphatic part of lymphoid system
TBD:0000030,male reproductive system disease,UBERON:0000079,male reproductive system
TBD:0000031,musculoskeletal system disease,UBERON:0002204,musculoskeletal system
TBD:0000032,respiratory system disease,UBERON:0001004,respiratory system
TBD:0000033,vestibular disease,UBERON:0004681,vestibular system
TBD:0000034,urinary system disease,UBERON:0001008,renal system
TBD:0000035,female reproductive system disease,UBERON:0000474,female reproductive system
TBD:0000036,gastrointestinal system disease,UBERON:0005409,alimentary part of gastrointestinal system
TBD:0000037,auditory system disease,UBERON:0016490,auditory system
TBD:0000038,cardiovascular system disease,UBERON:0004535,cardiovascular system
TBD:0000039,endocrine system disease,UBERON:0000949,endocrine system
TBD:0000040,Brody myopathy,UBERON:0001134,skeletal muscle tissue
TBD:0000041,Vagus nerve disease,UBERON:0001759,vagus nerve
TBD:0000042,abducens nerve disease,UBERON:0001646,abducens nerve
TBD:0000043,accessory nerve disease,UBERON:0002019,accessory XI nerve
TBD:0000044,adrenal cortex disease,UBERON:0001235,adrenal cortex
TBD:0000045,adrenal gland disease,UBERON:0002369,adrenal gland
TBD:0000046,anus disease,UBERON:0001245,anus
TBD:0000047,aortic valve disease,UBERON:0002137,aortic valve
TBD:0000048,artery disease,UBERON:0001637,artery
TBD:0000049,articular cartilage disease,UBERON:0010996,articular cartilage of joint
TBD:0000050,basal ganglia disease,UBERON:0010011,collection of basal ganglia
TBD:0000051,bile duct disease,UBERON:0002394,bile duct
TBD:0000052,biliary tract disease,UBERON:0001173,biliary tree
TBD:0000053,bladder disease,UBERON:0001255,urinary bladder
TBD:0000054,blood platelet disease,CL:0000233,platelet
TBD:0000055,bone marrow disease,UBERON:0002371,bone marrow
TBD:0000056,brain disease,UBERON:0000955,brain
TBD:0000057,breast disease,UBERON:0000310,breast
TBD:0000058,capillary disease,UBERON:0001982,capillary
TBD:0000059,carotid artery disease,UBERON:0005396,carotid artery segment
