		Mondo_ID	Label	parent class	xref	source	comment						Definition								
		ID	LABEL	SC %	A oboInOwl:hasDbXref	>A oboInOwl:source	AI rdfs:seeAlso						A IAO:0000115								
C173233	Molecular Analysis Table	MONDO:0100373	AML, inv(16)(p13.1;q22)	MONDO:0018874	NCIT:C36373	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3452		inv(16)(p13.1;q22)	C36373	inv(16)(p13.1;q22.1) || inv(16)(p13.1q22) || inv(16)(p13.1q22.1) || inv(16)(p13;q22) || inv(16)(p13q22)	inv(16)(p13q22)	Any acute myeloid leukemia that has the chromosomal anomaly inv(16)(p13.1;q22). (A chromosomal inversion that involves chromosome 16. It is associated with the development of acute myeloid leukemia CBFB-MYH11, acute myelomonocytic leukemia with abnormal eosinophils, and granulocytic sarcoma.).	A chromosomal inversion that involves chromosome 16. It is associated with the development of acute myeloid leukemia CBFB-MYH11, acute myelomonocytic leukemia with abnormal eosinophils, and granulocytic sarcoma.							12407
C173233	Molecular Analysis Table	MONDO:0100374	AML, t(16;16)(p13.1;q22)	MONDO:0018874	NCIT:C27759	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3453		t(16;16)(p13.1;q22)	C27759	t(16;16)(p13.1;q22.1) || t(16;16)(p13.1q22) || t(16;16)(p13.1q22.1) || t(16;16)(p13;q22) || t(16;16)(p13q22)	t(16;16)(p13.1;q22)	Any acute myeloid leukemia that has the chromosomal anomaly t(16;16)(p13.1;q22). (A chromosomal translocation that involves chromosome 16. It is often associated with the development of acute myeloid leukemia CBFB-MYH11, acute myelomonocytic leukemia with abnormal eosinophils, and granulocytic sarcoma.).	A chromosomal translocation that involves chromosome 16. It is often associated with the development of acute myeloid leukemia CBFB-MYH11, acute myelomonocytic leukemia with abnormal eosinophils, and granulocytic sarcoma.							12408
C173233	Molecular Analysis Table	MONDO:0100375	AML, t(15;17)(q24;q21)	MONDO:0018874	NCIT:C27758	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3454		t(15;17)(q24;q21)	C27758	t(15;17)(q22;q12) || t(15;17)(q22;q21)	t(15;17)(q24;q21)	Any acute myeloid leukemia that has the chromosomal anomaly t(15;17)(q24;q21). (A chromosomal translocation associated with creation of a fusion between the PML and RARA genes. It is seen in variants of acute promyelocytic leukemia.).	A chromosomal translocation associated with creation of a fusion between the PML and RARA genes. It is seen in variants of acute promyelocytic leukemia.							12409
C173233	Molecular Analysis Table	MONDO:0100376	AML, t(9;11)(p21.3;q23.3)	MONDO:0018874	NCIT:C36370	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3455		t(9;11)(p21.3;q23.3)	C36370	t(9;11)(p22;q23)	t(9;11)(p22;q23)	Any acute myeloid leukemia that has the chromosomal anomaly t(9;11)(p21.3;q23.3). (A cytogenetic abnormality that refers to the translocation of the short arm (p21.3) of chromosome 9 and the long arm (q23.3) of chromosome 11. It is associated with the development of acute myeloid leukemia with the MLLT3-MLL fusion gene transcript.).	A cytogenetic abnormality that refers to the translocation of the short arm (p21.3) of chromosome 9 and the long arm (q23.3) of chromosome 11. It is associated with the development of acute myeloid leukemia with the MLLT3-MLL fusion gene transcript.							12410
C173233	Molecular Analysis Table	MONDO:0100377	AML, t(10;11)(p12;q23)	MONDO:0018874	NCIT:C132102	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3456		t(10;11)(p12;q23)	C132102		t(10;11)(p12;q23)	Any acute myeloid leukemia that has the chromosomal anomaly t(10;11)(p12;q23). (A cytogenetic abnormality that refers to the translocation of chromosome 10p12 with chromosome 11q23. It is associated with acute myeloid leukemia in childhood.).	A cytogenetic abnormality that refers to the translocation of chromosome 10p12 with chromosome 11q23. It is associated with acute myeloid leukemia in childhood.							12411
C173233	Molecular Analysis Table	MONDO:0100378	AML, t(10;11)(p11.2;q23)	MONDO:0018874	NCIT:C168758	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3457		t(10;11)(p11.2;q23)	C168758		t(10;11)(p11.2;q23)	Any acute myeloid leukemia that has the chromosomal anomaly t(10;11)(p11.2;q23). (A cytogenetic abnormality that refers to the translocation of the short arm (p11.2) of chromosome 10 and the long arm (q23) of chromosome 11. It is associated with KMT2A (MLL)/ABI1 fusions and acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation of the short arm (p11.2) of chromosome 10 and the long arm (q23) of chromosome 11. It is associated with KMT2A (MLL)/ABI1 fusions and acute myeloid leukemia.							12412
C173233	Molecular Analysis Table	MONDO:0100379	AML, t(1;11)(q21;q23)	MONDO:0018874	NCIT:C168759	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3458		t(1;11)(q21;q23)	C168759		t(1;11)(q21;q23)	Any acute myeloid leukemia that has the chromosomal anomaly t(1;11)(q21;q23). (A cytogenetic abnormality that refers to the translocation of the long arm (q21) of chromosome 1 and the long arm (q23) of chromosome 11. It is associated with KMT2A (MLL)/MLLT11 (AF1Q) fusions, acute myeloid leukemia and some cases of acute lymphoblastic leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q21) of chromosome 1 and the long arm (q23) of chromosome 11. It is associated with KMT2A (MLL)/MLLT11 (AF1Q) fusions, acute myeloid leukemia and some cases of acute lymphoblastic leukemia.							12413
C173233	Molecular Analysis Table	MONDO:0100380	AML, t(4;11)(q21;q23)	MONDO:0018874	NCIT:C36365	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3459		t(4;11)(q21;q23)	C36365	t(4;11)(q21;q23.3)	t(4;11)(q21;q23)	Any acute myeloid leukemia that has the chromosomal anomaly t(4;11)(q21;q23). (A chromosomal abnormality consisting of the translocation of 4q21 with 11q23.).	A chromosomal abnormality consisting of the translocation of 4q21 with 11q23.							12414
C173233	Molecular Analysis Table	MONDO:0100381	AML, t(6;11)(q27;q23)	MONDO:0018874	NCIT:C36610	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3460		t(6;11)(q27;q23)	C36610	t(6;11)(q27;q23.3)	t(6;11)(q27;q23)	Any acute myeloid leukemia that has the chromosomal anomaly t(6;11)(q27;q23). (A cytogenetic abnormality that refers to the translocation of the long arm (q27) of chromosome 6 and the long arm (q23) of chromosome 11. It is associated with the development of de novo acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q27) of chromosome 6 and the long arm (q23) of chromosome 11. It is associated with the development of de novo acute myeloid leukemia.							12415
C173233	Molecular Analysis Table	MONDO:0100382	AML, t(6;9)(p23;q34.1)	MONDO:0018874	NCIT:C36532	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3461		t(6;9)(p23;q34.1)	C36532	t(6;9)(p22.3;q34.1) || t(6;9)(p22;q34) || t(6;9)(p23;q34)	t(6;9)(p23;q34)	Any acute myeloid leukemia that has the chromosomal anomaly t(6;9)(p23;q34.1). (A cytogenetic abnormality that refers to the translocation of the short arm (p23) of chromosome 6 and the long arm (q34.1) of chromosome 9. It is associated with DEK/NUP214 fusions, acute myeloid leukemia and myelodysplastic syndromes.).	A cytogenetic abnormality that refers to the translocation of the short arm (p23) of chromosome 6 and the long arm (q34.1) of chromosome 9. It is associated with DEK/NUP214 fusions, acute myeloid leukemia and myelodysplastic syndromes.							12416
C173233	Molecular Analysis Table	MONDO:0100383	AML, t(11;19)(q23;p13)	MONDO:0018874	NCIT:C168764	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3462		t(11;19)(q23;p13)	C168764		t(11;19)(q23;p13)	Any acute myeloid leukemia that has the chromosomal anomaly t(11;19)(q23;p13). (A cytogenetic abnormality that refers to the translocation of the long arm (q23) of chromosome 11 and the short arm (p13) of chromosome 19. It is associated with KMT2A (MLL) fusions, including those with MLLT1 (ENL) and ELL, and acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q23) of chromosome 11 and the short arm (p13) of chromosome 19. It is associated with KMT2A (MLL) fusions, including those with MLLT1 (ENL) and ELL, and acute myeloid leukemia.							12417
C173233	Molecular Analysis Table	MONDO:0100384	AML, t(11;19)(q23;p13.1)	MONDO:0018874	NCIT:C36371	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3463		t(11;19)(q23;p13.1)	C36371		t(11;19)(q23;p13.1)	Any acute myeloid leukemia that has the chromosomal anomaly t(11;19)(q23;p13.1). (A cytogenetic abnormality that refers to the translocation of the long arm (q23) of chromosome 11 and the short arm (p13.1) of chromosome 19. It is associated with the development of acute myeloid leukemia with variant MLL translocations and topoisomerase II inhibitor-related acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q23) of chromosome 11 and the short arm (p13.1) of chromosome 19. It is associated with the development of acute myeloid leukemia with variant MLL translocations and topoisomerase II inhibitor-related acute myeloid leukemia.							12418
C173233	Molecular Analysis Table	MONDO:0100385	AML, t(11;19)(q23.3;p13.3)	MONDO:0018874	NCIT:C36372	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3464		t(11;19)(q23.3;p13.3)	C36372	t(11;19)(q23;p13.3)	t(11;19)(q23;p13.3)	Any acute myeloid leukemia that has the chromosomal anomaly t(11;19)(q23.3;p13.3). (A cytogenetic abnormality that refers to the translocation of the long arm (q23.3) of chromosome 11 and the short arm (p13.3) of chromosome 19. It is associated with KMT2A (MLL)/MLLT1 (ENL) fusions and acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q23.3) of chromosome 11 and the short arm (p13.3) of chromosome 19. It is associated with KMT2A (MLL)/MLLT1 (ENL) fusions and acute myeloid leukemia.							12419
