NORD ID	subject_label	MONDO ID	mondo_id	xref	synonym	synonym_source	subset	subset_source
			ID	A oboInOwl:hasDbXref	A oboInOwl:hasExactSynonym	>A oboInOwl:source	AI oboInOwl:inSubset	>A oboInOwl:source
702	Aarskog Syndrome	0007030	MONDO:0007030	NORD:702	autosomal dominant Aarskog syndrome	NORD:702	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:702
703	Abetalipoproteinemia	0008692	MONDO:0008692	NORD:703	abetalipoproteinemia	NORD:703	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:703
704	Ablepharon-Macrostomia Syndrome	0008693	MONDO:0008693	NORD:704	ablepharon macrostomia syndrome	NORD:704	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:704
705	Acanthocheilonemiasis	0005731	MONDO:0005731	NORD:705	dipetalonemiasis	NORD:705	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:705
707	Aceruloplasminemia	0011426	MONDO:0011426	NORD:707	aceruloplasminemia	NORD:707	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:707
710	Achondrogenesis	0019648	MONDO:0019648	NORD:710	achondrogenesis	NORD:710	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:710
711	Achondroplasia	0007037	MONDO:0007037	NORD:711	achondroplasia	NORD:711	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:711
712	Isovaleric Acidemia	0009475	MONDO:0009475	NORD:712	isovaleric acidemia	NORD:712	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:712
714	Propionic Acidemia	0011628	MONDO:0011628	NORD:714	propionic acidemia	NORD:714	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:714
715	Acoustic Neuroma	0001569	MONDO:0001569	NORD:715	acoustic neuroma	NORD:715	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:715
716	Acquired Aplastic Anemia	0015610	MONDO:0015610	NORD:716	acquired aplastic anemia	NORD:716	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:716
717	Acquired Hemophilia	0019139	MONDO:0019139	NORD:717	acquired hemophilia	NORD:717	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:717
721	Acrodermatitis Enteropathica	0008713	MONDO:0008713	NORD:721	acrodermatitis enteropathica	NORD:721	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:721
722	Acrodysostosis	0019797	MONDO:0019797	NORD:722	acrodysostosis	NORD:722	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:722
723	Acromegaly	0019933	MONDO:0019933	NORD:723	acromegaly	NORD:723	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:723
724	Acromesomelic Dysplasia	0019696	MONDO:0019696	NORD:724	acromesomelic dysplasia	NORD:724	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:724
725	Acromicric Dysplasia	0007055	MONDO:0007055	NORD:725	acromicric dysplasia	NORD:725	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:725
727	Acute Disseminated Encephalomyelitis	0019383	MONDO:0019383	NORD:727	acute disseminated encephalomyelitis	NORD:727	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:727
728	Acute Eosinophilic Pneumonia	0019122	MONDO:0019122	NORD:728	idiopathic acute eosinophilic pneumonia	NORD:728	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:728
729	Acute Intermittent Porphyria	0008294	MONDO:0008294	NORD:729	acute intermittent porphyria	NORD:729	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:729
731	Adams-Oliver Syndrome	0007034	MONDO:0007034	NORD:731	Adams-Oliver syndrome	NORD:731	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:731
733	Adenoid Cystic Carcinoma	0006639	MONDO:0006639	NORD:733	adrenal cortex carcinoma	NORD:733	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:733
735	Adie Syndrome	0018690	MONDO:0018690	NORD:735	Holmes-Adie syndrome	NORD:735	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:735
736	X-Linked Adrenoleukodystrophy	0018544	MONDO:0018544	NORD:736	adrenoleukodystrophy	NORD:736	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:736
737	Adult-Onset Still's Disease	0019355	MONDO:0019355	NORD:737	adult-onset Still disease	NORD:737	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:737
738	AEC Syndrome	0007124	MONDO:0007124	NORD:738	ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	NORD:738	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:738
739	Congenital Afibrinogenemia	0008737	MONDO:0008737	NORD:739	congenital afibrinogenemia	NORD:739	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:739
740	African Iron Overload	0011012	MONDO:0011012	NORD:740	African iron overload	NORD:740	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:740
741	Agammaglobulinemia	0015977	MONDO:0015977	NORD:741	agammaglobulinemia	NORD:741	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:741
743	Agranulocytosis, Acquired	0021758	MONDO:0021758	NORD:743	acquired agranulocytosis	NORD:743	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:743
745	Aicardi Syndrome	0010568	MONDO:0010568	NORD:745	Aicardi syndrome	NORD:745	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:745
747	ALAD Porphyria	0013000	MONDO:0013000	NORD:747	porphyria due to ALA dehydratase deficiency	NORD:747	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:747
748	Alagille Syndrome	0007318	MONDO:0007318	NORD:748	Alagille syndrome	NORD:748	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:748
749	Alexander Disease	0008752	MONDO:0008752	NORD:749	Alexander disease	NORD:749	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:749
750	Alkaptonuria	0008753	MONDO:0008753	NORD:750	alkaptonuria	NORD:750	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:750
752	Alpers Disease	0008758	MONDO:0008758	NORD:752	mitochondrial DNA depletion syndrome 4a	NORD:752	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:752
753	Alpha Thalassemia X-linked Intellectual Disability Syndrome	0010519	MONDO:0010519	NORD:753	alpha thalassemia-X-linked intellectual disability syndrome	NORD:753	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:753
754	Alpha-1 Antitrypsin Deficiency	0013282	MONDO:0013282	NORD:754	alpha 1-antitrypsin deficiency	NORD:754	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:754
755	Alpha-Mannosidosis	0009561	MONDO:0009561	NORD:755	alpha-mannosidosis	NORD:755	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:755
756	Alport Syndrome	0018965	MONDO:0018965	NORD:756	Alport syndrome	NORD:756	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:756
757	Alstrom Syndrome	0008763	MONDO:0008763	NORD:757	Alstrom syndrome	NORD:757	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:757
