entity	xref	source
ID	A oboInOwl:hasDbXref	>A oboInOwl:source
MONDO:0005258	"EFO:0003759"	"MONDO:preferredExternal"
MONDO:0005812	"EFO:0007328"	"MONDO:preferredExternal"
MONDO:0005016	"EFO:0000401"	"MONDO:preferredExternal"
MONDO:0005184	"EFO:0002517"	"MONDO:preferredExternal"
MONDO:0009412	"EFO:1001169"	"MONDO:preferredExternal"
