NORD ID	subject_label	MONDO ID	mondo_id	xref	xref_source	synonym	synonym_source	synonym_type	subset	subset_source
			ID	A oboInOwl:hasDbXref	>A oboInOwl:source					
702	Aarskog Syndrome	0007030	MONDO:0007030	NORD:702	MONDO:NORD	autosomal dominant Aarskog syndrome	NORD:702	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:702
703	Abetalipoproteinemia	0008692	MONDO:0008692	NORD:703	MONDO:NORD	abetalipoproteinemia	NORD:703	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:703
704	Ablepharon-Macrostomia Syndrome	0008693	MONDO:0008693	NORD:704	MONDO:NORD	ablepharon macrostomia syndrome	NORD:704	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:704
705	Acanthocheilonemiasis	0005731	MONDO:0005731	NORD:705	MONDO:NORD	dipetalonemiasis	NORD:705	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:705
707	Aceruloplasminemia	0011426	MONDO:0011426	NORD:707	MONDO:NORD	aceruloplasminemia	NORD:707	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:707
710	Achondrogenesis	0019648	MONDO:0019648	NORD:710	MONDO:NORD	achondrogenesis	NORD:710	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:710
711	Achondroplasia	0007037	MONDO:0007037	NORD:711	MONDO:NORD	achondroplasia	NORD:711	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:711
712	Isovaleric Acidemia	0009475	MONDO:0009475	NORD:712	MONDO:NORD	isovaleric acidemia	NORD:712	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:712
714	Propionic Acidemia	0011628	MONDO:0011628	NORD:714	MONDO:NORD	propionic acidemia	NORD:714	http://purl.obolibrary.org/obo/mondo#NORD_PREFERRED	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:714
