mondo_id	xref_genevalidation	xref_source	see_also	xref_source	synonym	synonym_type	xref_source	subset	subset_source
ID								AI oboInOwl:inSubset	>A oboInOwl:source
MONDO:0018997	CGGV:assertion_d910a9d8-516e-443d-acba-8d61f7574792-2018-06-07T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0018997	MONDO:CLINGEN	Noonan syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0044970	CGGV:assertion_583e237c-18f6-4427-a04f-82ea0f020daf-2022-04-18T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0044970	MONDO:CLINGEN	mitochondrial disease	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0009388	CGGV:assertion_92e04f9e-f03e-4295-baac-e9fb6b48a258-2022-10-14T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0009388	MONDO:CLINGEN	hyperlysinemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0100062	CGGV:assertion_3a5138ad-d4b8-4ea1-aa78-b5d1f07b2b82-2022-04-19T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0100062	MONDO:CLINGEN	developmental and epileptic encephalopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0800406	CGGV:assertion_38729563-bf36-48ae-929e-fa69a225de39-2022-10-06T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0800406	MONDO:CLINGEN	ABCA4-related retinopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0011214	CGGV:assertion_009134d7-b79c-4a90-9bae-c1f302439258-2022-11-23T170000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0011214	MONDO:CLINGEN	progressive familial intrahepatic cholestasis type 3	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0001197	CGGV:assertion_2828abac-5b4a-4dad-a703-10c0daf35dbd-2022-05-25T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0001197	MONDO:CLINGEN	qualitative platelet defect	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0015924	CGGV:assertion_14b1739d-8890-4927-8efb-e909f48bad5a-2022-10-10T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0015924	MONDO:CLINGEN	pulmonary arterial hypertension	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0015967	CGGV:assertion_33c0dfa5-c6ea-42fd-8118-be6ff97beb3e-2022-07-24T160000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0015967	MONDO:CLINGEN	monogenic diabetes	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
MONDO:0005021	CGGV:assertion_8be22ebc-f0f5-4de5-9c2a-382ebd02c533-2020-11-13T170000.000Z	MONDO:CLINGEN	https://search.clinicalgenome.org/kb/conditions/MONDO:0005021	MONDO:CLINGEN	dilated cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_LABEL	MONDO:CLINGEN	http://purl.obolibrary.org/obo/mondo#clingen	MONDO:CLINGEN
