defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0008406	autosomal recessive Emery-Dreifuss muscular dystrophy	http://purl.obolibrary.org/obo/MONDO_0016830	Emery-Dreifuss muscular dystrophy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0019601	autosomal recessive axonal hereditary motor and sensory neuropathy	http://purl.obolibrary.org/obo/MONDO_0018775	axonal hereditary motor and sensory neuropathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015363	autosomal recessive distal hereditary motor neuropathy	http://purl.obolibrary.org/obo/MONDO_0018894	distal hereditary motor neuropathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016109	autosomal recessive distal myopathy	http://purl.obolibrary.org/obo/MONDO_0018949	distal myopathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0009572	autosomal recessive familial Mediterranean fever	http://purl.obolibrary.org/obo/MONDO_0018088	familial Mediterranean fever	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015366	autosomal recessive hereditary sensory and autonomic neuropathy	http://purl.obolibrary.org/obo/MONDO_0015364	hereditary sensory and autonomic neuropathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0017058	autosomal recessive intermediate Charcot-Marie-Tooth disease	http://purl.obolibrary.org/obo/MONDO_0018778	intermediate Charcot-Marie-Tooth disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020096	autosomal recessive isolated diffuse palmoplantar keratoderma	http://purl.obolibrary.org/obo/MONDO_0017667	isolated diffuse palmoplantar keratoderma	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015152	autosomal recessive limb-girdle muscular dystrophy	http://purl.obolibrary.org/obo/MONDO_0016971	limb-girdle muscular dystrophy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0009779	autosomal recessive omodysplasia	http://purl.obolibrary.org/obo/MONDO_0017136	omodysplasia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016810	autosomal recessive progressive external ophthalmoplegia	http://purl.obolibrary.org/obo/MONDO_0005181	progressive external ophthalmoplegia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0017847	autosomal recessive spastic ataxia	http://purl.obolibrary.org/obo/MONDO_0017845	spastic ataxia	http://www.w3.org/2000/01/rdf-schema#label
