defined_class	defined_class_label	location	location_label	location_match_property
http://purl.obolibrary.org/obo/MONDO_0003358	anus leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0001245	anus	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003371	breast leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003349	central nervous system leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003365	esophagus leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002159	fallopian tube leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0003889	fallopian tube	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003353	heart leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003373	kidney leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003378	liver leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002107	liver	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003357	lung leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002048	lung	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003376	mediastinum leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0003728	mediastinum	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003355	ovary leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000992	ovary	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004206	pulmonary vein leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002016	pulmonary vein	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003360	small intestine leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002108	small intestine	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003369	vagina leiomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000996	vagina	http://www.w3.org/2000/01/rdf-schema#label
