defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0016463	syndromic agammaglobulinemia	http://purl.obolibrary.org/obo/MONDO_0015977	agammaglobulinemia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020148	syndromic aniridia	http://purl.obolibrary.org/obo/MONDO_0019172	aniridia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015246	syndromic anorectal malformation	http://purl.obolibrary.org/obo/MONDO_0019938	anorectal malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015338	syndromic craniosynostosis	http://purl.obolibrary.org/obo/MONDO_0015469	craniosynostosis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015218	syndromic developmental defect of the eye	http://purl.obolibrary.org/obo/MONDO_0020145	developmental defect of the eye	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015216	syndromic diaphragmatic or abdominal wall malformation	http://purl.obolibrary.org/obo/MONDO_0020021	diaphragmatic or abdominal wall malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015208	syndromic esophageal malformation	http://purl.obolibrary.org/obo/MONDO_0019513	esophageal malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015210	syndromic gastroduodenal malformation	http://purl.obolibrary.org/obo/MONDO_0019998	gastroduodenal malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0018609	syndromic hereditary optic neuropathy	http://purl.obolibrary.org/obo/MONDO_0020249	hereditary optic neuropathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020210	syndromic hyperopia	http://purl.obolibrary.org/obo/MONDO_0004891	hyperopia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015778	syndromic hypothyroidism	http://purl.obolibrary.org/obo/MONDO_0005420	hypothyroidism	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020269	syndromic ichthyosis associated with ocular features	http://purl.obolibrary.org/obo/MONDO_0020268	ichthyosis associated with ocular features	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015212	syndromic intestinal malformation	http://purl.obolibrary.org/obo/MONDO_0019999	intestinal malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0019520	syndromic lymphedema	http://purl.obolibrary.org/obo/MONDO_0019297	lymphedema	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016073	syndromic microphthalmia	http://purl.obolibrary.org/obo/MONDO_0021129	microphthalmia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0019285	syndromic nail anomaly	http://purl.obolibrary.org/obo/MONDO_0019283	nail anomaly	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0017305	syndromic oculocutaneous albinism	http://purl.obolibrary.org/obo/MONDO_0018910	oculocutaneous albinism	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015222	syndromic respiratory or mediastinal malformation	http://purl.obolibrary.org/obo/MONDO_0020023	respiratory or mediastinal malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020240	syndromic retinitis pigmentosa	http://purl.obolibrary.org/obo/MONDO_0019200	retinitis pigmentosa	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015620	syndromic urogenital tract malformation	http://purl.obolibrary.org/obo/MONDO_0019356	urogenital tract malformation	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015846	syndromic uterovaginal malformation	http://purl.obolibrary.org/obo/MONDO_0015828	uterovaginal malformation	http://www.w3.org/2000/01/rdf-schema#label
