defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0001090	acute anterolateral myocardial infarction	http://purl.obolibrary.org/obo/MONDO_0006652	anterolateral myocardial infarction	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004598	acute cor pulmonale	http://purl.obolibrary.org/obo/MONDO_0004596	cor pulmonale	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004812	acute dacryoadenitis	http://purl.obolibrary.org/obo/MONDO_0004804	dacryoadenitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001610	acute dacryocystitis	http://purl.obolibrary.org/obo/MONDO_0004926	dacryocystitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0017202	acute endophthalmitis	http://purl.obolibrary.org/obo/MONDO_0016047	endophthalmitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0041366	acute epiglottitis	http://purl.obolibrary.org/obo/MONDO_0005753	epiglottitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001912	acute frontal sinusitis	http://purl.obolibrary.org/obo/MONDO_0001121	frontal sinusitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001080	acute gonococcal cervicitis	http://purl.obolibrary.org/obo/MONDO_0021157	gonococcal cervicitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001777	acute gonococcal cystitis	http://purl.obolibrary.org/obo/MONDO_0021160	gonococcal cystitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001125	acute gonococcal epididymo-orchitis	http://purl.obolibrary.org/obo/MONDO_0021158	gonococcal epididymo-orchitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001838	acute gonococcal prostatitis	http://purl.obolibrary.org/obo/MONDO_0021161	gonococcal prostatitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001837	acute gonococcal salpingitis	http://purl.obolibrary.org/obo/MONDO_0021159	gonococcal salpingitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0044213	acute idiopathic urticaria	http://purl.obolibrary.org/obo/MONDO_0044211	idiopathic urticaria	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002186	acute maxillary sinusitis	http://purl.obolibrary.org/obo/MONDO_0005842	maxillary sinusitis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001051	acute otitis externa	http://purl.obolibrary.org/obo/MONDO_0004795	otitis externa	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001895	acute retrobulbar neuritis	http://purl.obolibrary.org/obo/MONDO_0024335	retrobulbar neuritis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001171	acute salpingo-oophoritis	http://purl.obolibrary.org/obo/MONDO_0001172	salpingo-oophoritis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000990	acute subendocardial myocardial infarction	http://purl.obolibrary.org/obo/MONDO_0003674	subendocardial myocardial infarction	http://www.w3.org/2000/01/rdf-schema#label
