cls	def	xrefs
MONDO:0035295		"ICD10CM:Q62.2 MEDGEN:1843335 Orphanet:544578 UMLS:C5681326 GARD:0022236"
MONDO:0008118	"Odontoma-dysphagia syndrome is a malformation syndrome, characterized by odontomas (undifferentiated mass of the esophagus) and severe dysphagia."	"UMLS:C1834013 MESH:C537740 Orphanet:2724 MEDGEN:320249 OMIM:164330 GARD:0000238 SCTID:716180009"
MONDO:1016189		"VeNom:81245"
HP:0012144	"Any structural anomaly of a myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells."
MONDO:0001060	"An invasive adenocarcinoma confined to the mucosa or mucosa and submucosa of the gastric wall. The regional lymph nodes may or may not be involved. It usually occurs in the lesser curvature. The 5-year survival rate following resection is between 80 percent and 95 percent, and remains high even when lymph node metastases are present."	"UMLS:C0349530 DOID:10541 SCTID:276809004 NCIT:C27131 GARD:0027565 MEDGEN:138098"
MONDO:0019860	"Thyroid hemiagenesis is a form of thyroid dysgenesis characterized by an absence of half of the thyroid gland that is usually asymptomatic but may result in primary congenital hypothyroidism, a permanent thyroid deficiency that is present from birth."	"MEDGEN:868785 icd11.foundation:872920513 GARD:0016844 UMLS:C4023190 Orphanet:95719 SCTID:715734006"
http://identifiers.org/hgnc/25843
MONDO:1014626		"VeNom:80788"
MONDO:0021090	"An invasive breast carcinoma characterized by the presence of cytoplasmic neutral lipids in the vast majority of the malignant cells."	"UMLS:C1517894 NCIT:C40365 MEDGEN:274685 DOID:7076"
MONDO:0005324	"Allergic rhinitis caused by outdoor allergens."	"NCIT:C92188 MESH:D006255 SCTID:367498001 UMLS:C0018621 EFO:0003956 MEDGEN:42335"
MONDO:0015993	"Inherited retinal dystrophies that belong to the group of pigmentary retinopathies."	"GARD:0010790 UMLS:C4085590 Orphanet:1872 MEDGEN:896366 MESH:D000071700 DOID:0050572 NANDO:1200937 OMIMPS:120970"
MONDO:1014628		"VeNom:81199"
MONDO:1012774	"Progressive cerebellar ataxia that occurs in dogs due to a mutation in the SNX14 gene."	"OMIA:002034-9615"
MONDO:0004127	"A lung adenocarcinoma detectable by sputum cytology only. The primary tumor is undetectable radiographically or during bronchoscopy; therefore, it can not be assessed."	"UMLS:C1335096 GARD:0023837 DOID:7168 NCIT:C6699 MEDGEN:277443"
http://identifiers.org/hgnc/9772
CHEBI:79314	"Any compound that is added to manufactured materials to inhibit, suppress, or delay the production of flames and so prevent the spread of fire."
MONDO:1010838	"Galactosialidosis that occurs in dog."	"OMIA:000400-9615"
MONDO:0000772	"OBSOLETE. A allergy involving pollen."	"DOID:0060497"
MONDO:1011238	"Microphthalmia that occurs in dog."	"OMIA:000649-9615"
GO:1903489
http://identifiers.org/hgnc/7376
MONDO:1013533	"Cardiogenic shock that occurs in non-human animals."	"VeNom:81362"
MONDO:0008648	"An instance of ventricular tachycardia that is caused by an inherited modification of the individual's genome."	"GARD:0002263 UMLS:C0340485 MEDGEN:83309 SCTID:233906007 OMIM:192605"
HP:0012675
HP:0010278
