cls	clsLabel
MONDO:0020095	autosomal dominant disease associated with focal palmoplantar keratoderma as a major feature
MONDO:0017679	autosomal dominant disease associated with punctate palmoplantar keratoderma as a major feature
MONDO:0020094	autosomal dominant disease with diffuse palmoplantar keratoderma as a major feature
MONDO:0017680	autosomal recessive disease associated with punctate palmoplantar keratoderma as a major feature
MONDO:0017671	autosomal recessive disease with diffuse palmoplantar keratoderma as a major feature
MONDO:0020097	autosomal recessive disease with focal palmoplantar keratoderma as a major feature
MONDO:0015652	chromosomal anomaly with epilepsy as a major feature
MONDO:0018290	congenital disorder of glycosylation with cardiac malformation as a major feature
MONDO:0018295	congenital disorder of glycosylation with deafness as a major feature
MONDO:0018287	congenital disorder of glycosylation with epilepsy as a major feature
MONDO:0018294	congenital disorder of glycosylation with nephropathy as a major feature
MONDO:0017820	disease with Cushing syndrome as a major feature
MONDO:0017669	disease with diffuse palmoplantar keratoderma as a major feature
MONDO:0017674	disease with focal palmoplantar keratoderma as a major feature
MONDO:0017678	disease with punctate palmoplantar keratoderma as a major feature
MONDO:0018455	dysostosis of genetic origin with limb anomaly as a major feature
MONDO:0018236	dysostosis with limb and face anomalies as a major feature
MONDO:0018235	dysostosis with limb anomaly as a major feature
MONDO:0018398	female infertility due to a congenital hypogonadotropic hypogonadism
MONDO:0018401	female infertility due to an anomaly of ovarian function
MONDO:0018413	female infertility due to an anomaly of ovarian function of genetic origin
MONDO:0018397	female infertility due to hypothalamic-pituitary-gonadal axis disorder
MONDO:0015111	gastroesophageal disease
MONDO:0017122	genetic syndrome with corpus callosum agenesis/dysgenesis as a major feature
MONDO:0019097	hemorrhagic disorder due to a constitutional platelet anomaly
MONDO:0017141	hemorrhagic disorder due to a constitutional thrombocytopenia
MONDO:0016629	hemorrhagic disorder due to a platelet anomaly
MONDO:0017142	hemorrhagic disorder due to a qualitative platelet defect
MONDO:0015662	hemorrhagic disorder due to an acquired coagulation factor defect
MONDO:0016631	hemorrhagic disorder due to an acquired platelet anomaly
MONDO:0019183	inherited odontologic disease
MONDO:0017663	inherited tremor disorder
MONDO:0020223	lens and zonula anomaly
MONDO:0017654	non progressive epilepsy and/or ataxia with myoclonus as a major feature
MONDO:0018286	non-X-linked congenital disorder of glycosylation with intellectual disability as a major feature
MONDO:0015959	obsolete inherited syndrome with bone tumors as a major feature
MONDO:0015621	obsolete rare abdominal surgical disease
MONDO:0015120	obsolete rare acquired eye disease
MONDO:0015911	obsolete rare acquired hemolytic anemia
MONDO:0016250	obsolete rare adenocarcinoma of the breast
MONDO:0015124	obsolete rare adrenal disease
MONDO:0020027	obsolete rare allergic disease
MONDO:0020028	obsolete rare allergic respiratory disease
MONDO:0015223	obsolete rare anemia
MONDO:0016234	obsolete rare arteriovenous malformation
MONDO:0018497	obsolete rare autonomic nervous system disorder
MONDO:0015575	obsolete rare bacterial infectious disease
MONDO:0015869	obsolete rare benign breast tumor
MONDO:0019965	obsolete rare benign ovarian tumor
MONDO:0015116	obsolete rare biliary tract disease
MONDO:0020116	obsolete rare blood coagulation disease
MONDO:0015328	obsolete rare bone development disorder
MONDO:0019684	obsolete rare bone disease
MONDO:0015868	obsolete rare breast tumor
MONDO:0016274	obsolete rare cancer of cervix uteri
MONDO:0016253	obsolete rare cancer of corpus uteri
MONDO:0016314	obsolete rare carcinoma of pancreas
MONDO:0018508	obsolete rare carcinoma of small intestine
MONDO:0018501	obsolete rare carcinoma of stomach
MONDO:0019996	obsolete rare cardiac disease
MONDO:0016347	obsolete rare cardiac rhythm disease
MONDO:0015673	obsolete rare cardiac tumor
MONDO:0020224	obsolete rare cataract
