cls	cls_label	textdef_count	xref_count	named_superclass_count	anon_superclass_count	named_equiv_count	anon_equiv_count
MONDO:0007908	"multiple symmetric lipomatosis"	1	11	5	0	5	0
MONDO:0003978	"colon small cell neuroendocrine carcinoma"	1	3	1	0	1	1
MONDO:0000741	"angular cheilitis"	1	6	2	0	2	1
MONDO:0002223	"ovarian malignant mesothelioma"	1	3	1	0	1	1
MONDO:0007102	"amyotrophic dystonic paraplegia"	0	3	1	0	1	0
MONDO:0043280	"Wallerian degeneration"	1	3	1	0	1	0
MONDO:0001487	"intrahepatic bile duct cancer"	1	4	1	0	1	1
MONDO:0024674	"Pancoast syndrome"	1	4	2	0	2	0
MONDO:0008045	"spinal muscular atrophy-progressive myoclonic epilepsy syndrome"	1	9	3	0	3	0
MONDO:0018778	"intermediate Charcot-Marie-Tooth disease"	0	3	1	0	1	0
MONDO:0009594	"metaphyseal chondrodysplasia, Kaitila type"	1	4	2	0	2	0
MONDO:0000120	"obsolete ectopia lentis, isolated"	0	0	0	0	0	0
MONDO:0015473	"cryptorchidism-arachnodactyly-intellectual disability syndrome"	1	4	1	0	1	0
MONDO:0011983	"autoimmune thyroid disease, susceptibility to, 4"	0	2	1	0	1	0
MONDO:0011981	"autoimmune thyroid disease, susceptibility to, 2"	0	2	1	0	1	0
MONDO:0043355	"collagenous gastritis"	1	4	2	0	2	0
MONDO:0015065	"ileal neuroendocrine tumor, well differentiated, low or intermediate grade"	1	3	2	0	2	1
MONDO:0003856	"adult malignant hemangiopericytoma"	1	3	1	0	1	1
MONDO:0000806	"horned turban snail allergy"	1	1	0	0	0	1
MONDO:0007770	"hyperpigmentation of Fuldauer and Kuijpers"	0	3	1	0	1	0
MONDO:0021532	"fibroma of prostate"	1	4	2	0	2	1
MONDO:0017754	"inborn disorder of porphyrin metabolism"	1	11	2	0	2	1
MONDO:0007252	"Gordon syndrome"	1	8	3	0	3	0
MONDO:0015462	"thin ribs-tubular bones-dysmorphism syndrome"	0	4	1	0	1	0
MONDO:0019677	"brachydactyly type E"	1	3	1	0	1	0
MONDO:0032824	"glycosylphosphatidylinositol biosynthesis defect 21"	0	1	1	0	1	0
MONDO:0004860	"vitreous disease"	1	4	0	0	0	1
MONDO:0009674	"muscular dystrophy, adult-onset, with leukoencephalopathy"	0	3	1	0	1	0
MONDO:0005128	"obsolete sensory system disease"	1	2	1	0	1	0
MONDO:0032606	"mitochondrial complex 1 deficiency, nuclear type 2"	0	1	1	0	1	0
MONDO:0001504	"fetishism"	1	6	2	0	2	0
MONDO:0014815	"intellectual disability, autosomal recessive 52"	1	2	1	0	1	1
MONDO:0004725	"rectum carcinoma in situ"	1	7	2	0	2	1
MONDO:0005868	"myelophthisic anemia"	1	8	3	0	3	0
MONDO:0023143	"fetal enterovirus syndrome"	0	1	0	0	0	1
MONDO:0011964	"DPAGT1-CDG"	1	8	4	0	4	0
MONDO:0008894	"cataract-hypertrichosis-intellectual disability syndrome"	1	6	3	0	3	0
MONDO:0000615	"progesterone-receptor positive breast cancer"	0	1	0	0	0	1
MONDO:0044225	"obsolete creatine kinase, brain type, ectopic expression of"	0	1	0	0	0	0
MONDO:0006014	"vulvovaginal candidiasis"	1	9	3	0	3	1
MONDO:0012046	"congenital corneal opacities, cornea guttata, and corectopia"	0	3	1	0	1	0
MONDO:0001790	"spinal cord lipoma"	1	5	2	0	2	1
MONDO:0001361	"spontaneous ocular nystagmus"	1	5	1	0	1	0
MONDO:0001486	"obsolete Vogt-Koyanagi-Harada disease"	0	0	0	0	0	0
MONDO:0019310	"recessive dystrophic epidermolysis bullosa inversa"	1	3	1	0	1	0
MONDO:0005107	"obsolete hepatocellular adenoma"	0	0	0	0	0	0
MONDO:0002830	"obsolete ovary transitional cell carcinoma"	0	0	0	0	0	0
MONDO:0018451	"X-linked distal hereditary motor neuropathy"	1	2	1	0	1	1
MONDO:0016446	"acquired cutis laxa"	1	3	2	0	2	1
MONDO:0004029	"obsolete ureter small cell carcinoma"	0	0	0	0	0	0
MONDO:0016580	"congenital pulmonary airway malformation"	1	6	3	0	3	0
MONDO:0060722	"obsolete neurodevelopmental disorder with brain, liver, and lung abnormalities"	0	0	0	0	0	0
MONDO:0011982	"autoimmune thyroid disease, susceptibility to, 3"	0	1	1	0	1	0
MONDO:0015392	"nasal glial heterotopia"	1	4	2	0	2	0
MONDO:0015998	"isolated ectopia lentis"	1	10	3	0	3	1
MONDO:0016700	"anaplastic ependymoma"	1	8	3	0	3	1
MONDO:0012467	"cold-induced sweating syndrome 2"	1	4	1	0	1	1
MONDO:0006048	"obsolete pancreatic neuroendocrine tumor"	0	0	0	0	0	0
MONDO:0017033	"primary interstitial lung disease in childhood and adulthood due to alveolar vascular disorder"	0	2	1	0	1	0
MONDO:0015078	"obsolete gastroenteropancreatic neuroendocrine neoplasm"	0	0	0	0	0	0
MONDO:0009224	"fetal iodine syndrome"	1	6	3	0	3	0
MONDO:0018670	"symptomatic form of fragile X syndrome in female carrier"	0	3	1	0	1	0
MONDO:0003960	"pulmonary large cell neuroendocrine carcinoma"	1	3	1	0	1	1
MONDO:0021002	"syndactyly (disease)"	1	11	0	0	0	1
MONDO:0018736	"kaposiform lymphangiomatosis"	1	2	1	0	1	0
MONDO:0010615	"isolated growth hormone deficiency type III"	0	7	3	0	3	0
MONDO:0000099	"obsolete trichoepithelioma, multiple familial"	0	0	0	0	0	0
