?mondo_class	?label	?mondo_subclass	?subClassOf_source	?xref
MONDO:0003516	adult teratoma	MONDO:0044878	NCIT:C9013	NCIT:C9013
MONDO:0003516	adult teratoma	MONDO:0002601	NCIT:C9013	NCIT:C9013
MONDO:0020556	pleuropulmonary blastoma type 2	MONDO:0011014	NCIT:C45627	NCIT:C45627
MONDO:0002114	pancreas lymphoma	MONDO:0004699	NCIT:C5714	NCIT:C5714
MONDO:0002114	pancreas lymphoma	MONDO:0009831	NCIT:C5714	NCIT:C5714
MONDO:0021327	carcinoma of urethra	MONDO:0004192	NCIT:C9106	NCIT:C9106
MONDO:0021503	benign neoplasm of gallbladder	MONDO:0000385	NCIT:C4440	NCIT:C4440
MONDO:0021503	benign neoplasm of gallbladder	MONDO:0021253	NCIT:C4440	NCIT:C4440
MONDO:0003687	endocardium cancer	MONDO:0001340	NCIT:C4570	NCIT:C4570
MONDO:0003687	endocardium cancer	MONDO:0001340	NCIT:C4570	NCIT:C5346
MONDO:0003687	endocardium cancer	MONDO:0021378	NCIT:C4570	NCIT:C4570
MONDO:0003687	endocardium cancer	MONDO:0021378	NCIT:C4570	NCIT:C5346
MONDO:0003486	basaloid squamous cell carcinoma	MONDO:0006102	NCIT:C54244	NCIT:C54244
MONDO:0003486	basaloid squamous cell carcinoma	MONDO:0005096	NCIT:C54244	NCIT:C54244
MONDO:0005106	lipoma	MONDO:0044983	NCIT:C3192	NCIT:C3192
MONDO:0000920	duodenum cancer	MONDO:0000956	NCIT:C9328	NCIT:C4803
MONDO:0000920	duodenum cancer	MONDO:0000956	NCIT:C9328	NCIT:C9328
MONDO:0000920	duodenum cancer	MONDO:0021375	NCIT:C9328	NCIT:C4803
MONDO:0000920	duodenum cancer	MONDO:0021375	NCIT:C9328	NCIT:C9328
MONDO:0004305	parathyroid oncocytic adenoma	MONDO:0003424	NCIT:C27393	NCIT:C27393
MONDO:0004305	parathyroid oncocytic adenoma	MONDO:0006890	NCIT:C27393	NCIT:C27393
MONDO:0003108	cervicomedullary junction neoplasm	MONDO:0021234	NCIT:C5423	NCIT:C5423
MONDO:0021495	benign neoplasm of sublingual gland	MONDO:0021492	NCIT:C4601	NCIT:C4601
MONDO:0021495	benign neoplasm of sublingual gland	MONDO:0021242	NCIT:C4601	NCIT:C4601
MONDO:0021148	female reproductive system neoplasm	MONDO:0006054	NCIT:C3053	NCIT:C3053
MONDO:0021148	female reproductive system neoplasm	MONDO:0002263	NCIT:C3053	NCIT:C3053
MONDO:0006174	cortisol-producing adrenal cortex adenoma	MONDO:0003924	NCIT:C48449	NCIT:C48449
MONDO:0006350	papillary transitional cell carcinoma	MONDO:0006509	NCIT:C4122	NCIT:C4122
MONDO:0006350	papillary transitional cell carcinoma	MONDO:0006474	NCIT:C4122	NCIT:C4122
MONDO:0002450	prostatic adenoma	MONDO:0004972	NCIT:C4795	NCIT:C4795
MONDO:0002450	prostatic adenoma	MONDO:0036976	NCIT:C4795	NCIT:C4795
MONDO:0002450	prostatic adenoma	MONDO:0021510	NCIT:C4795	NCIT:C4795
MONDO:0004392	intracranial extraskeletal myxoid chondrosarcoma	MONDO:0012825	NCIT:C5462	NCIT:C5462
MONDO:0002778	epidural spinal canal meningioma	MONDO:0001279	NCIT:C5310	NCIT:C5310
MONDO:0020324	intravascular large B-cell lymphoma	MONDO:0018905	NCIT:C4342	NCIT:C4342
MONDO:0001502	retroperitoneum carcinoma	MONDO:0005941	NCIT:C7352	NCIT:C7352
MONDO:0001502	retroperitoneum carcinoma	MONDO:0004993	NCIT:C7352	NCIT:C7352
MONDO:0003702	uterus intravascular leiomyomatosis	MONDO:0003614	NCIT:C5356	NCIT:C5356
MONDO:0002943	external ear basal cell carcinoma	MONDO:0005341	NCIT:C6082	NCIT:C6082
MONDO:0006432	stromal predominant kidney Wilms tumor	MONDO:0019004	NCIT:C9148	NCIT:C9148
MONDO:0004557	congenital fibrosarcoma	MONDO:0002678	NCIT:C4244	NCIT:C4244
MONDO:0002652	anus adenocarcinoma	MONDO:0003199	NCIT:C5600	NCIT:C5600
MONDO:0021300	adenoid cystic carcinoma of oropharynx	MONDO:0044926	NCIT:C6241	NCIT:C6241
MONDO:0021521	benign neoplasm of mediastinum	MONDO:0000634	NCIT:C3604	NCIT:C3604
MONDO:0021521	benign neoplasm of mediastinum	MONDO:0021386	NCIT:C3604	NCIT:C3604
MONDO:0004488	cervical atypical polypoid adenomyoma	MONDO:0003238	NCIT:C40234	NCIT:C40234
MONDO:0024673	skin lymphangioma	MONDO:0002013	NCIT:C27509	NCIT:C27509
MONDO:0006034	gastric adenosquamous carcinoma	MONDO:0006074	NCIT:C5474	NCIT:C5474
MONDO:0003525	pancreatic gastrin-producing neuroendocrine tumor	MONDO:0003523	NCIT:C9069	NCIT:C95596
MONDO:0003525	pancreatic gastrin-producing neuroendocrine tumor	MONDO:0003523	NCIT:C9069	NCIT:C9069
MONDO:0003525	pancreatic gastrin-producing neuroendocrine tumor	MONDO:0019954	NCIT:C9069	NCIT:C95596
MONDO:0003525	pancreatic gastrin-producing neuroendocrine tumor	MONDO:0019954	NCIT:C9069	NCIT:C9069
MONDO:0003917	heart lymphoma	MONDO:0001340	NCIT:C5368	NCIT:C5368
MONDO:0002513	kidney benign neoplasm	MONDO:0021163	NCIT:C4778	NCIT:C7514
MONDO:0002513	kidney benign neoplasm	MONDO:0021163	NCIT:C4778	NCIT:C4778
MONDO:0002513	kidney benign neoplasm	MONDO:0004180	NCIT:C4778	NCIT:C7514
MONDO:0002513	kidney benign neoplasm	MONDO:0004180	NCIT:C4778	NCIT:C4778
MONDO:0024276	glandular cell neoplasm	MONDO:0005626	NCIT:C7132	NCIT:C7132
MONDO:0003391	vulvar alveolar soft part sarcoma	MONDO:0011655	NCIT:C40320	NCIT:C40320
MONDO:0003391	vulvar alveolar soft part sarcoma	MONDO:0005214	NCIT:C40320	NCIT:C40320
MONDO:0021240	tongue neoplasm	MONDO:0001165	NCIT:C3416	NCIT:C3416
MONDO:0003000	central nervous system germ cell tumor	MONDO:0018201	NCIT:C5461	NCIT:C5461
MONDO:0002683	adult choroid plexus neoplasm	MONDO:0016717	NCIT:C8568	NCIT:C8568
MONDO:0016167	optic pathway glioma	MONDO:0021042	NCIT:C8567	NCIT:C8567
