subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0016733	ganglioglioma	skos:closeMatch	not	NCIT:C27362	Childhood Ganglioglioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	childhood ganglioglioma	The term 'ganglioglioma' is a broader category that includes both childhood and adult cases, whereas 'Childhood Ganglioglioma' is specific to pediatric cases. Therefore, it is not appropriate to consider them as close matches.
MONDO:0016733	ganglioglioma	skos:exactMatch	not	NCIT:C27362	Childhood Ganglioglioma	semapv:MappingChaining		0.475				The term 'ganglioglioma' encompasses both childhood and adult forms of the disease, whereas 'Childhood Ganglioglioma' is specific to pediatric cases. Therefore, it is incorrect to consider them as exact matches.
MONDO:0022096	pyogenic granuloma	skos:closeMatch	not	NCIT:C3480	Lobular Capillary Hemangioma	semapv:LexicalMatching	oaklib	0.5	['oio:hasRelatedSynonym']	['rdfs:label']	lobular capillary hemangioma	Pyogenic granuloma, although sometimes used synonymously with lobular capillary hemangioma, can present in various forms not strictly classified as lobular capillary hemangiomas. Therefore, this mapping may not always hold true.
MONDO:0022096	pyogenic granuloma	skos:closeMatch	not	NCIT:C3480	Lobular Capillary Hemangioma	semapv:LexicalMatching	oaklib	0.5	['oio:hasRelatedSynonym']	['rdfs:label']	lobular capillary hemangioma	Pyogenic granuloma, although sometimes used synonymously with lobular capillary hemangioma, can present in various forms not strictly classified as lobular capillary hemangiomas. Therefore, this mapping may not always hold true.
MONDO:0006292	malignant mesothelioma	skos:closeMatch		NCIT:C8420	Diffuse Malignant Mesothelioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	diffuse malignant mesothelioma	
MONDO:0006292	malignant mesothelioma	skos:exactMatch	not	NCIT:C8420	Diffuse Malignant Mesothelioma	semapv:MappingChaining		0.475				The term 'malignant mesothelioma' is broader and not an exact match for 'Diffuse Malignant Mesothelioma'.
MONDO:0007959	medulloblastoma	skos:closeMatch	not	NCIT:C27294	Localized Primitive Neuroectodermal Tumor	semapv:LexicalMatching	oaklib	0.5	['oio:hasRelatedSynonym']	['rdfs:label']	localized primitive neuroectodermal tumor	Medulloblastoma and Localized Primitive Neuroectodermal Tumor are distinct entities; medulloblastoma is a specific type of primitive neuroectodermal tumor but not synonymous with localized primitive neuroectodermal tumor.
MONDO:0007959	medulloblastoma	skos:exactMatch	not	NCIT:C27294	Localized Primitive Neuroectodermal Tumor	semapv:MappingChaining		0.475				Medulloblastoma and Localized Primitive Neuroectodermal Tumor are distinct entities; medulloblastoma is a specific type of primitive neuroectodermal tumor but not synonymous with localized primitive neuroectodermal tumor.
MONDO:0006292	malignant mesothelioma	skos:closeMatch	not	NCIT:C27926	Asbestos-Related Malignant Mesothelioma	semapv:LexicalMatching	oaklib	0.5	['oio:hasNarrowSynonym']	['rdfs:label']	['asbestos-related malignant mesothelioma']	Malignant mesothelioma is a broader category that includes asbestos-related malignant mesothelioma as a subset. Therefore, this should not be a 'closeMatch'.
MONDO:0006292	malignant mesothelioma	skos:exactMatch	not	NCIT:C27926	Asbestos-Related Malignant Mesothelioma	semapv:MappingChaining		0.475				Malignant mesothelioma is a more general term than asbestos-related malignant mesothelioma. Therefore, they are not exact matches.
MONDO:0006312	myofibroma	skos:closeMatch	not	NCIT:C27498	Infantile Hemangiopericytoma	semapv:LexicalMatching	oaklib	0.5	['oio:hasRelatedSynonym']	['rdfs:label']	['infantile hemangiopericytoma']	Myofibroma and Infantile Hemangiopericytoma are distinct entities. Myofibroma is a benign neoplasm of myofibroblasts, whereas Infantile Hemangiopericytoma is a vascular tumor. The lexical match is misleading.
MONDO:0016824	infantile myofibromatosis	skos:exactMatch		NCIT:C27498	Infantile Hemangiopericytoma	semapv:LexicalMatching	oaklib	0.8	['oio:hasExactSynonym']	['rdfs:label']	['infantile hemangiopericytoma']	Infantile myofibromatosis and Infantile Hemangiopericytoma are different conditions. Infantile myofibromatosis is characterized by the presence of multiple myofibromas, while Infantile Hemangiopericytoma is a rare vascular tumor. The lexical match does not imply they are the same disease.
MONDO:0004520	intratubular embryonal carcinoma	skos:exactMatch		NCIT:C192096	Intratubular Embryonal Carcinoma	semapv:LexicalMatching	oaklib	0.8	['oio:hasExactSynonym']	['rdfs:label']	['intratubular embryonal carcinoma']	
MONDO:0004520	intratubular embryonal carcinoma	skos:exactMatch		NCIT:C192096	Intratubular Embryonal Carcinoma	semapv:LexicalMatching	oaklib	0.849779	['rdfs:label']	['rdfs:label']	['intratubular embryonal carcinoma']	
MONDO:0018177	glioblastoma	skos:exactMatch	not	NCIT:C39750	Glioblastoma, IDH-Wildtype	semapv:MappingChaining		0.475				The subject label 'glioblastoma' is too general to be an exact match for 'Glioblastoma, IDH-Wildtype', as the latter specifies a particular genetic subtype.
MONDO:0850335	IDH-wildtype glioblastoma	skos:exactMatch		NCIT:C39750	Glioblastoma, IDH-Wildtype	semapv:MappingChaining		0.475				This mapping is correct as 'IDH-wildtype glioblastoma' accurately matches 'Glioblastoma, IDH-Wildtype'.
MONDO:0003766	thalamic cancer	skos:closeMatch	not	NCIT:C6221	Thalamic Neoplasm	semapv:LexicalMatching	oaklib	0.5	['oio:hasRelatedSynonym']	['rdfs:label']	thalamic neoplasm	Thalamic cancer and thalamic neoplasm are not exact matches; cancer is a type of neoplasm, but a neoplasm does not necessarily imply malignancy.
MONDO:0003766	thalamic cancer	skos:exactMatch	not	NCIT:C6221	Thalamic Neoplasm	semapv:MappingChaining		0.475				Thalamic cancer is a specific type of thalamic neoplasm. An exact match is not appropriate due to the broader scope of 'neoplasm' compared to 'cancer'.
MONDO:0016733	ganglioglioma	skos:closeMatch	not	NCIT:C27363	Adult Ganglioglioma	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	adult ganglioglioma	Ganglioglioma is a broad category, whereas Adult Ganglioglioma specifically refers to a subset of gangliogliomas occurring in adults. A close match is not appropriate; it should be a narrower match.
MONDO:0016733	ganglioglioma	skos:exactMatch	not	NCIT:C27363	Adult Ganglioglioma	semapv:MappingChaining		0.475				Ganglioglioma is a general term that includes various subtypes, including those in adults and children. An exact match is not appropriate because Adult Ganglioglioma is a more specific condition.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
