Mondo ID	Disease label	Synonym	ClinGen Preferred subset tag
ID		A hasExactSynonym	>AI oboInOwl:hasSynonymType
MONDO:0018997	Noonan syndrome	Noonan syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007858	palmoplantar keratoderma, punctate type 1A	palmoplantar keratoderma, punctate type 1A	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0018614	undetermined early-onset epileptic encephalopathy	undetermined early-onset epileptic encephalopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014387	leukoencephalopathy, progressive, with ovarian failure	leukoencephalopathy, progressive, with ovarian failure	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009388	hyperlysinemia	hyperlysinemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013166	GABA aminotransferase deficiency	GABA aminotransferase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011156	progressive familial intrahepatic cholestasis type 2	progressive familial intrahepatic cholestasis type 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0001197	qualitative platelet defect	qualitative platelet defect	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009734	hyperinsulinemic hypoglycemia, familial, 1	hyperinsulinemic hypoglycemia, familial, 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005021	dilated cardiomyopathy	dilated cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0018544	adrenoleukodystrophy	adrenoleukodystrophy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010247	X-linked cerebral adrenoleukodystrophy	X-linked cerebral adrenoleukodystrophy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014564	congenital bile acid synthesis defect 5	congenital bile acid synthesis defect 5	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
