?cls	?label	subclass	source	comment
ID		SC 'has modifier' some %	>A oboInOwl:source	AI rdfs:seeAlso
MONDO:0017468	congenital shoulder dislocation	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010494	linear skin defects with multiple congenital anomalies 3	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016556	transient congenital hypothyroidism due to neonatal factor	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016410	central congenital hypothyroidism	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018291	congenital disorder of glycosylation with intestinal involvement	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0022821	congenital benign spinal muscular atrophy dominant	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007867	nonsyndromic congenital nail disorder 2	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014793	microcephaly-congenital cataract-psoriasiform dermatitis syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018288	congenital disorder of glycosylation with hepatic involvement	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0022825	congenital cystic eye	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017043	congenital mesoblastic nephroma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010690	congenital stationary night blindness 1A	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007871	familial congenital nasolacrimal duct obstruction	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020366	congenital glaucoma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009315	congenital factor XII deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011340	congenital tracheal stenosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017560	congenital genu recurvatum	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014542	congenital myasthenic syndrome 15	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009211	congenital factor VII deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018292	congenital disorder of glycosylation-related bone disorder	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017469	congenital elbow dislocation	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0012929	Compton-North congenital myopathy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017265	autosomal recessive congenital ichthyosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013450	congenital stationary night blindness 1D	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016413	congenital hypothyroidism due to maternal intake of antithyroid drugs	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009173	congenital enteropathy due to enteropeptidase deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009758	congenital stationary night blindness 1B	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015568	isolated congenital nasal pyriform aperture stenosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018289	congenital disorder of glycosylation with dilated cardiomyopathy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0022826	congenital cystic eye multiple ocular and intracranial anomalies	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
