?mondo_id	?label	?definition	?parents	?branches	?ancestors	?obsoletion_candidates	?parent_labels	?ancestor_labels	?obsoletion_candidate_labels
<http://purl.obolibrary.org/obo/MONDO_0013642>	"holoprosencephaly 11"	"Any holoprosencephaly in which the cause of the disease is a mutation in the CDON gene."	"http://purl.obolibrary.org/obo/MONDO_0016296"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0016296|http://purl.obolibrary.org/obo/MONDO_0018762|http://purl.obolibrary.org/obo/MONDO_0019824|http://purl.obolibrary.org/obo/MONDO_0015127|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0017090|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0016054|http://purl.obolibrary.org/obo/MONDO_0020022|http://purl.obolibrary.org/obo/MONDO_0005071|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0002320|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0957008|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0015159|http://purl.obolibrary.org/obo/MONDO_0019042"		"holoprosencephaly"	"holoprosencephaly|non-acquired combined pituitary hormone deficiency|non-acquired pituitary hormone deficiency|pituitary deficiency|endocrine system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|hereditary endocrine growth disease|midline cerebral malformation|disorder of development or morphogenesis|cerebral malformation|central nervous system malformation|nervous system disorder|developmental defect during embryogenesis|congenital nervous system disorder|syndromic disease|hereditary cerebral malformation|hereditary disease|multiple congenital anomalies/dysmorphic syndrome-intellectual disability|multiple congenital anomalies/dysmorphic syndrome"	"midline cerebral malformation|cerebral malformation"
<http://purl.obolibrary.org/obo/MONDO_0012912>	"pseudopseudohypoparathyroidism"	"A disease characterized by a constellation of clinical features collectively termed Albright hereditary osteodystrophy (AHO) but no evidence of resistance to parathyroid hormone (PTH), which is seen in other forms of pseudohypoparathyroidism (PHP)."	"http://purl.obolibrary.org/obo/MONDO_0019992|http://purl.obolibrary.org/obo/MONDO_0016565|http://purl.obolibrary.org/obo/MONDO_0019695"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0019992|http://purl.obolibrary.org/obo/MONDO_0016165|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0001220|http://purl.obolibrary.org/obo/MONDO_0001223|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0015962|http://purl.obolibrary.org/obo/MONDO_0021568|http://purl.obolibrary.org/obo/MONDO_0005240|http://purl.obolibrary.org/obo/MONDO_0002118|http://purl.obolibrary.org/obo/MONDO_0100191|http://purl.obolibrary.org/obo/MONDO_0004689|http://purl.obolibrary.org/obo/MONDO_0019052|http://purl.obolibrary.org/obo/MONDO_0005066|http://purl.obolibrary.org/obo/MONDO_0015327|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0016565|http://purl.obolibrary.org/obo/MONDO_0019182|http://purl.obolibrary.org/obo/MONDO_0011122|http://purl.obolibrary.org/obo/MONDO_0003916|http://purl.obolibrary.org/obo/MONDO_0005137|http://purl.obolibrary.org/obo/MONDO_0015330|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0019695|http://purl.obolibrary.org/obo/MONDO_0018230|http://purl.obolibrary.org/obo/MONDO_0005381|http://purl.obolibrary.org/obo/MONDO_0005172|http://purl.obolibrary.org/obo/MONDO_0002081"		"pseudohypoparathyroidism|syndromic genetic obesity|acromelic dysplasia"	"pseudohypoparathyroidism|hereditary hypoparathyroidism|endocrine system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|hypoparathyroidism|parathyroid gland disorder|hereditary disease|inherited renal tubular disease|renal tubule disorder|kidney disorder|urinary system disorder|inherited kidney disorder|inborn metal metabolism disorder|inborn errors of metabolism|metabolic disease|developmental anomaly of metabolic origin|developmental defect during embryogenesis|disorder of development or morphogenesis|syndromic genetic obesity|inherited obesity|obesity disorder|overnutrition|nutritional disorder|overgrowth/obesity syndrome|syndromic disease|acromelic dysplasia|skeletal dysplasia|bone disorder|skeletal system disorder|musculoskeletal system disorder"	"overgrowth/obesity syndrome|syndromic genetic obesity"
<http://purl.obolibrary.org/obo/MONDO_0018816>	"isolated neonatal sclerosing cholangitis"	"Isolated neonatal sclerosing cholangitis is a rare, genetic, biliary tract disease characterized by severe neonatal-onset cholangiopathy with patent bile ducts and absence of ichthyosiform skin lesions. Patients present with jaundice, acholic stools, hepatosplenomegaly and high serum gamma-glutamyltransferase activity. Liver histology shows portal fibrosis, ductular proliferation, hepatocellular metallothionein deposits, and intralobular bile-pigment accumulations. Some patients may also have renal disease."	"http://purl.obolibrary.org/obo/MONDO_0018646|http://purl.obolibrary.org/obo/MONDO_0015509"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0018646|http://purl.obolibrary.org/obo/MONDO_0004789|http://purl.obolibrary.org/obo/MONDO_0021166|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0006322|http://purl.obolibrary.org/obo/MONDO_0002887|http://purl.obolibrary.org/obo/MONDO_0004868|http://purl.obolibrary.org/obo/MONDO_0002515|http://purl.obolibrary.org/obo/MONDO_0004335|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015509|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0005154"		"sclerosing cholangitis|hereditary biliary tract disease"	"sclerosing cholangitis|cholangitis|inflammatory disease|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|non-neoplastic bile duct disorder|bile duct disorder|biliary tract disorder|hepatobiliary disorder|digestive system disorder|endocrine system disorder|hereditary biliary tract disease|hereditary disease|liver disorder"	"hereditary biliary tract disease"
<http://purl.obolibrary.org/obo/MONDO_0009150>	"hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome"	"Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome is characterized by alopecia, nail dystrophy, ophthalmic complications, thyroid dysfunction (primary hypothyroidism), hypohidrosis, ephelides, enteropathy, and respiratory tract infections due to ciliary dyskinesia, leading to suggestion of the acronym ANother syndrome as alternative name for this condition. It has been described in three patients (two brothers and an unrelated girl). Transmission is autosomal recessive."	"http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0019287|http://purl.obolibrary.org/obo/MONDO_0015778"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0019287|http://purl.obolibrary.org/obo/MONDO_0021026|http://purl.obolibrary.org/obo/MONDO_0100118|http://purl.obolibrary.org/obo/MONDO_0005093|http://purl.obolibrary.org/obo/MONDO_0002051|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0019277|http://purl.obolibrary.org/obo/MONDO_0024481|http://purl.obolibrary.org/obo/MONDO_0015778|http://purl.obolibrary.org/obo/MONDO_0016408|http://purl.obolibrary.org/obo/MONDO_0018612|http://purl.obolibrary.org/obo/MONDO_0005420|http://purl.obolibrary.org/obo/MONDO_0003240|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015514"		"syndromic disease|ectodermal dysplasia syndrome|syndromic hypothyroidism"	"syndromic disease|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|ectodermal dysplasia syndrome|hereditary epidermal appendage anomaly|hereditary skin disorder|skin disorder|integumentary system disorder|hereditary disease|epidermal appendage anomaly|skin appendage disorder|syndromic hypothyroidism|permanent congenital hypothyroidism|congenital hypothyroidism|hypothyroidism|thyroid gland disorder|endocrine system disorder|hereditary endocrine growth disease"	"epidermal appendage anomaly|syndromic hypothyroidism"
<http://purl.obolibrary.org/obo/MONDO_0016857>	"blepharophimosis-epicanthus inversus-ptosis due to 3q23 rearrangement syndrome"	"Blepharophimosis - epicanthus inversus - ptosis (BPES) due to 3q23 microdeletion is a form of BPES, which in addition to the classical eyelids features of BPES, present genitourinary anomalies, spastic diplegia and speech delay."	"http://purl.obolibrary.org/obo/MONDO_0016902|http://purl.obolibrary.org/obo/MONDO_0007201"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0016902|http://purl.obolibrary.org/obo/MONDO_0016868|http://purl.obolibrary.org/obo/MONDO_0700010|http://purl.obolibrary.org/obo/MONDO_0020049|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0019040|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0000761|http://purl.obolibrary.org/obo/MONDO_0007201|http://purl.obolibrary.org/obo/MONDO_0019852|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0015860|http://purl.obolibrary.org/obo/MONDO_0002263|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/MONDO_0016072|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0005387|http://purl.obolibrary.org/obo/MONDO_0005558|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0020158|http://purl.obolibrary.org/obo/MONDO_0003382|http://purl.obolibrary.org/obo/MONDO_0005328|http://purl.obolibrary.org/obo/MONDO_0024458|http://purl.obolibrary.org/obo/MONDO_0002022|http://purl.obolibrary.org/obo/MONDO_0000462|http://purl.obolibrary.org/obo/MONDO_0020162|http://purl.obolibrary.org/obo/MONDO_0000426|http://purl.obolibrary.org/obo/MONDO_0000429|http://purl.obolibrary.org/obo/MONDO_0008537|http://purl.obolibrary.org/obo/MONDO_0020163"		"partial deletion of the long arm of chromosome 3|blepharophimosis, ptosis, and epicanthus inversus syndrome"	"partial deletion of the long arm of chromosome 3|partial deletion of chromosome 3|chromosome 3 disorder|autosomal anomaly|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|chromosomal disorder|human disease|syndrome caused by partial chromosomal deletion|blepharophimosis, ptosis, and epicanthus inversus syndrome|inherited primary ovarian failure|endocrine system disorder|hereditary endocrine growth disease|anomaly of puberty or/and menstrual cycle|female reproductive system disorder|reproductive system disorder|anomaly of puberty or/and menstrual cycle of genetic origin|hereditary disease|primary ovarian failure|ovarian disorder|gonadal disorder|eyelids malposition disorder|eyelid disorder|eye disorder|disorder of visual system|disorder of orbital region|eye adnexa disorder|secondary ectropion|autosomal dominant disease|autosomal genetic disease|telecanthus|canthal anomaly"	"secondary ectropion|canthal anomaly|anomaly of puberty or/and menstrual cycle|anomaly of puberty or/and menstrual cycle of genetic origin|eyelids malposition disorder"
<http://purl.obolibrary.org/obo/MONDO_0018561>	"precocious puberty in female"	"A precocious puberty that involves the female organism."	"http://purl.obolibrary.org/obo/MONDO_0000088|http://purl.obolibrary.org/obo/MONDO_0015860"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0000088|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/MONDO_0015860|http://purl.obolibrary.org/obo/MONDO_0002263"		"precocious puberty|anomaly of puberty or/and menstrual cycle"	"precocious puberty|disorder of development or morphogenesis|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|gonadal disorder|endocrine system disorder|reproductive system disorder|anomaly of puberty or/and menstrual cycle|female reproductive system disorder"	"anomaly of puberty or/and menstrual cycle"
<http://purl.obolibrary.org/obo/MONDO_0004016>	"pineal region mature teratoma"		"http://purl.obolibrary.org/obo/MONDO_0003733|http://purl.obolibrary.org/obo/MONDO_0004015"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0003733|http://purl.obolibrary.org/obo/MONDO_0002718|http://purl.obolibrary.org/obo/MONDO_0016738|http://purl.obolibrary.org/obo/MONDO_0018201|http://purl.obolibrary.org/obo/MONDO_0005040|http://purl.obolibrary.org/obo/MONDO_0005070|http://purl.obolibrary.org/obo/MONDO_0023370|http://purl.obolibrary.org/obo/MONDO_0045024|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/MONDO_0021248|http://purl.obolibrary.org/obo/MONDO_0005071|http://purl.obolibrary.org/obo/MONDO_0003000|http://purl.obolibrary.org/obo/MONDO_0006130|http://purl.obolibrary.org/obo/MONDO_0002602|http://purl.obolibrary.org/obo/MONDO_0002601|http://purl.obolibrary.org/obo/MONDO_0021656|http://purl.obolibrary.org/obo/MONDO_0019500|http://purl.obolibrary.org/obo/MONDO_0020539|http://purl.obolibrary.org/obo/MONDO_0020574|http://purl.obolibrary.org/obo/MONDO_0003517|http://purl.obolibrary.org/obo/MONDO_0004015|http://purl.obolibrary.org/obo/MONDO_0021232|http://purl.obolibrary.org/obo/MONDO_0100070|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0002082|http://purl.obolibrary.org/obo/MONDO_0003081|http://purl.obolibrary.org/obo/MONDO_0005560|http://purl.obolibrary.org/obo/MONDO_0021211"		"central nervous system mature teratoma|pineal region teratoma"	"central nervous system mature teratoma|central nervous system teratoma|primary germ cell tumor of central nervous system|extragonadal germ cell tumor|germ cell tumor|neoplasm|neoplastic disease or syndrome|cancer or benign tumor|human disease|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|nervous system neoplasm|nervous system disorder|central nervous system germ cell tumor|central nervous system neoplasm|central nervous system disorder|teratoma|nongerminomatous germ cell tumor|extragonadal teratoma|extragonadal non-dysgerminomatous germ cell tumor|central nervous system nongerminomatous germ cell tumor|mature teratoma|pineal region teratoma|pineal body neoplasm|neuroendocrine disorder|endocrine system disorder|endocrine gland neoplasm|thalamic disorder|brain disorder|brain neoplasm"	"primary germ cell tumor of central nervous system"
<http://purl.obolibrary.org/obo/MONDO_0014634>	"46,XY sex reversal 10"		"http://purl.obolibrary.org/obo/MONDO_0016674|http://purl.obolibrary.org/obo/MONDO_0010765"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0016674|http://purl.obolibrary.org/obo/MONDO_0017966|http://purl.obolibrary.org/obo/MONDO_0020040|http://purl.obolibrary.org/obo/MONDO_0002145|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0010765|http://purl.obolibrary.org/obo/MONDO_0001967|http://purl.obolibrary.org/obo/MONDO_0002146|http://purl.obolibrary.org/obo/MONDO_0957025|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0024573|http://purl.obolibrary.org/obo/MONDO_0005217|http://purl.obolibrary.org/obo/MONDO_0004994|http://purl.obolibrary.org/obo/MONDO_0003939|http://purl.obolibrary.org/obo/MONDO_0002081|http://purl.obolibrary.org/obo/MONDO_0005267|http://purl.obolibrary.org/obo/MONDO_0004995|http://purl.obolibrary.org/obo/MONDO_0005045|http://purl.obolibrary.org/obo/MONDO_0000591"		"46,XY partial gonadal dysgenesis|46,XY complete gonadal dysgenesis"	"46,XY partial gonadal dysgenesis|46,XY disorder of gonadal development|46,XY disorder of sex development|disorder of sexual differentiation|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|endocrine system disorder|human disease|gonadal disorder|reproductive system disorder|developmental defect during embryogenesis|disorder of development or morphogenesis|46,XY complete gonadal dysgenesis|gonadal dysgenesis|hypogonadism|hereditary 46,XY disorder of sex development|hereditary disease|familial hypertrophic cardiomyopathy|familial cardiomyopathy|cardiomyopathy|muscle tissue disorder|musculoskeletal system disorder|heart disorder|cardiovascular disorder|hypertrophic cardiomyopathy|intrinsic cardiomyopathy"	"46,XY disorder of gonadal development|hereditary 46,XY disorder of sex development"
<http://purl.obolibrary.org/obo/MONDO_0021064>	"jugulotympanic paraganglioma"	"A benign or malignant extra-adrenal parasympathetic paraganglioma arising from paraganglia in the base of the skull and middle ear."	"http://purl.obolibrary.org/obo/MONDO_0002785|http://purl.obolibrary.org/obo/MONDO_0021052|http://purl.obolibrary.org/obo/MONDO_0006239|http://purl.obolibrary.org/obo/MONDO_0023603"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0002785|http://purl.obolibrary.org/obo/MONDO_0024653|http://purl.obolibrary.org/obo/MONDO_0019060|http://purl.obolibrary.org/obo/MONDO_0003900|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0005381|http://purl.obolibrary.org/obo/MONDO_0005172|http://purl.obolibrary.org/obo/MONDO_0002081|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/MONDO_0021581|http://purl.obolibrary.org/obo/MONDO_0005070|http://purl.obolibrary.org/obo/MONDO_0023370|http://purl.obolibrary.org/obo/MONDO_0045024|http://purl.obolibrary.org/obo/MONDO_0024654|http://purl.obolibrary.org/obo/MONDO_0005586|http://purl.obolibrary.org/obo/MONDO_0021052|http://purl.obolibrary.org/obo/MONDO_0000448|http://purl.obolibrary.org/obo/MONDO_0002366|http://purl.obolibrary.org/obo/MONDO_0006130|http://purl.obolibrary.org/obo/MONDO_0002602|http://purl.obolibrary.org/obo/MONDO_0005071|http://purl.obolibrary.org/obo/MONDO_0021248|http://purl.obolibrary.org/obo/MONDO_0001406|http://purl.obolibrary.org/obo/MONDO_0003620|http://purl.obolibrary.org/obo/MONDO_0001292|http://purl.obolibrary.org/obo/MONDO_0021635|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0025511|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0019496|http://purl.obolibrary.org/obo/MONDO_0002082|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0044995|http://purl.obolibrary.org/obo/MONDO_0006239|http://purl.obolibrary.org/obo/MONDO_0023603"		"skull base neoplasm|parasympathetic paraganglioma|head and neck paraganglioma|hereditary disorder of connective tissue"	"skull base neoplasm|skull neoplasm|bone neoplasm|connective tissue disorder|human disease|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|bone disorder|skeletal system disorder|musculoskeletal system disorder|connective tissue neoplasm|neoplasm|neoplastic disease or syndrome|cancer or benign tumor|skull disorder|head and neck neoplasm|parasympathetic paraganglioma|paraganglioma|autonomic nervous system neoplasm|central nervous system neoplasm|central nervous system disorder|nervous system disorder|nervous system neoplasm|peripheral nervous system neoplasm|peripheral nervous system disorder|autonomic nervous system disorder|neurocristopathy|disorder of development or morphogenesis|inherited neuroendocrine tumor|hereditary disease|neuroendocrine neoplasm|endocrine gland neoplasm|endocrine system disorder|parasympathetic nervous system disorder|head and neck paraganglioma|hereditary disorder of connective tissue"	"inherited neuroendocrine tumor"
<http://purl.obolibrary.org/obo/MONDO_0007804>	"Pallister-Hall syndrome"	"Pallister-Hall syndrome (PHS), a pleiotropic autosomal dominant malformative disorder, is characterized by hypothalamic hamartoma, pituitary dysfunction, bifid epiglottis, polydactyly, and, more rarely, renal abnormalities and genitourinary malformations."	"http://purl.obolibrary.org/obo/MONDO_0800066|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0015246|http://purl.obolibrary.org/obo/MONDO_0018762|http://purl.obolibrary.org/obo/MONDO_0015160"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0800066|http://purl.obolibrary.org/obo/MONDO_0021651|http://purl.obolibrary.org/obo/MONDO_0018454|http://purl.obolibrary.org/obo/MONDO_0018234|http://purl.obolibrary.org/obo/MONDO_0005381|http://purl.obolibrary.org/obo/MONDO_0005172|http://purl.obolibrary.org/obo/MONDO_0002081|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0005497|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0021002|http://purl.obolibrary.org/obo/MONDO_0021003|http://purl.obolibrary.org/obo/MONDO_0018230|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0015246|http://purl.obolibrary.org/obo/MONDO_0019938|http://purl.obolibrary.org/obo/MONDO_0020019|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0018762|http://purl.obolibrary.org/obo/MONDO_0019824|http://purl.obolibrary.org/obo/MONDO_0015127|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0015160|http://purl.obolibrary.org/obo/MONDO_0019042"		"polydactyly-syndactyly-triphalangism|syndromic disease|syndromic anorectal malformation|non-acquired combined pituitary hormone deficiency|multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome"	"polydactyly-syndactyly-triphalangism|synpolydactyly|dysostosis of genetic origin|dysostosis|bone disorder|skeletal system disorder|musculoskeletal system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|bone development disease|disorder of development or morphogenesis|hereditary disease|syndactyly|polydactyly|skeletal dysplasia|syndromic disease|syndromic anorectal malformation|anorectal malformation|digestive tract malformation|developmental defect during embryogenesis|non-acquired combined pituitary hormone deficiency|non-acquired pituitary hormone deficiency|pituitary deficiency|endocrine system disorder|hereditary endocrine growth disease|multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome|multiple congenital anomalies/dysmorphic syndrome"	"digestive tract malformation|dysostosis of genetic origin|syndromic anorectal malformation"
