ID	LABEL	SYNONYMS
MONDO:0000005	alopecia, isolated	
MONDO:0000009	inherited bleeding disorder, platelet-type	bleeding disorder, platelet-type|blood platelet disease|platelet disorder|thrombocytopathy
MONDO:0000014	colorblindness, partial	
MONDO:0000015	classic complement early component deficiency	genetic deficiency of early component of the classical complement pathway
MONDO:0000023	infantile liver failure	fever-associated acute infantile liver failure syndrome|infantile liver failure syndrome|liver failure, infantile
MONDO:0000030	sleep-related hypermotor epilepsy	epilepsy, nocturnal frontal lobe|sleep-related hypermotor epilepsy
MONDO:0000044	hereditary hypophosphatemic rickets	hereditary hypophosphatemic rickets
MONDO:0000045	hypothyroidism, congenital, nongoitrous	
MONDO:0000050	isolated congenital growth hormone deficiency	ICGHD|IGHD|congenital IGHD|congenital isolated GH deficiency|congenital isolated growth hormone deficiency|familial isolated growth hormone deficiency|isolated growth hormone deficiency|non-acquired isolated growth hormone deficiency
MONDO:0000060	microcephalic osteodysplastic primordial dwarfism	
MONDO:0000066	mitochondrial complex deficiency	
MONDO:0000070	mycobacterium tuberculosis, susceptibility	
MONDO:0000075	neuronopathy, distal hereditary motor	
MONDO:0000078	acrocephalopolysyndactyly	ACPS
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	
MONDO:0000087	polymicrogyria	
MONDO:0000088	precocious puberty	familial precocious puberty|idiopathic sexual precocity|pubertas praecox|sexual precocity
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	progressive external ophthalmoplegia with mtDNA deletions
MONDO:0000093	Schistosoma mansoni infection, susceptibility	
MONDO:0000104	anemia, hypochromic microcytic with iron overload	anemia, hypochromic microcytic, with iron overload
MONDO:0000105	anemia, nonspherocytic hemolytic	
MONDO:0000107	auriculocondylar syndrome	auriculo-condylar syndrome|dysgnathia complex|ears prominent and constricted|question mark ear|question mark ear syndrome|question-mark ear syndrome
MONDO:0000108	bacteremia, susceptibility	
MONDO:0000110	bifid nose	
