?prefix	?ct_xrefs
"UMLS"	22509
"SCTID"	16964
"DOID"	9973
"OMIM"	9126
"Orphanet"	8927
"MESH"	8440
"NCIT"	7399
"GARD"	5832
"ICD10"	4309
"ICD9"	3936
"EFO"	2839
"MedDRA"	1435
"ICDO"	731
"HP"	558
"ONCOTREE"	556
"OMIMPS"	518
"Wikipedia"	81
"GTR"	71
"HGNC"	47
"CSP"	38
"KEGG"	37
"PMID"	29
"MEDGEN"	28
"NIFSTD"	18
"SCTID_2010_1_31"	16
"ICD10CM"	13
"OMOP"	5
"https"	4
"MEDDRA"	3
"MFOMD"	3
"MP"	3
"UMLS_CUI"	3
"url"	3
"ICD11"	2
"ICD9CM"	2
"OGMS"	2
"SCDO"	2
"Wikidata"	2
"http"	2
"DERMO"	1
"IDO"	1
"LOINC"	1
"MONDO"	1
"MPATH"	1
"MTH"	1
"MeSH"	1
"NDFRT"	1
"OBI"	1
"PATO"	1
"Reactome"	1
"SCITD"	1
"SNOMEDCT"	1
