?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0000001>	"disease"	"A disease is a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism."	""	
<http://purl.obolibrary.org/obo/MONDO_0021125>	"disease characteristic"	"An attribute of a disease."	""	
<http://purl.obolibrary.org/obo/MONDO_0021178>	"injury"	"Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity."	""	
<http://purl.obolibrary.org/obo/MONDO_0042489>	"disease susceptibility"	"A constitution or condition of the body which makes the tissues react in special ways to certain extrinsic stimuli and thus tends to make the individual more than usually susceptible to certain diseases."	""	
<http://purl.obolibrary.org/obo/MONDO_0045034>	"infectious disease characteristic"		""	
<http://purl.obolibrary.org/obo/MONDO_0000002>	"obsolete 46,XX sex reversal"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0009299>	"46 XX gonadal dysgenesis"	"46,XX gonadal dysgenesis (46,XX GD) is a primary ovarian defect leading to premature ovarian failure (POF) in otherwise normal 46,XX females as a result of failure of the gonads to develop or due to resistance to gonadotrophin stimulation."	""	
<http://purl.obolibrary.org/obo/MONDO_0000003>	"obsolete 17-hydroxysteroid dehydrogenase deficiency"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000004>	"adrenocortical insufficiency"	"An endocrine or hormonal disorder that occurs when the adrenal cortex does not produce enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex (Addison's disease or primary adrenal insufficiency) or to inadequate secretion of ACTH by the pituitary gland (secondary adrenal insufficiency)."	""	
<http://purl.obolibrary.org/obo/MONDO_0002816>	"adrenal cortex disorder"	"A disease involving the adrenal cortex."	""	
<http://purl.obolibrary.org/obo/MONDO_0000005>	"alopecia, isolated"		""	
<http://purl.obolibrary.org/obo/MONDO_0004907>	"alopecia"	"Hair loss usually from the scalp. It may result in bald spots or spread to the entire scalp or the entire epidermis. It may be androgenetic or caused by chemotherapeutic agents, compulsive hair pulling, autoimmune disorders or congenital conditions."	""	
<http://purl.obolibrary.org/obo/MONDO_0100118>	"hereditary skin disorder"	"An instance of skin disease that is caused by a modification of the individual's genome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000006>	"obsolete alopecia-mental retardation syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000007>	"obsolete atypical Mycobacteriosis, familial"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000008>	"obsolete bare lymphocyte syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000009>	"inherited bleeding disorder, platelet-type"		""	
<http://purl.obolibrary.org/obo/MONDO_0002243>	"hemorrhagic disease"	"Spontaneous or near spontaneous bleeding caused by a defect in clotting mechanisms (blood coagulation disorders) or another abnormality causing a structural flaw in the blood vessels (hemostatic disorders)."	""	
<http://purl.obolibrary.org/obo/MONDO_0021152>	"inherited"	"A characteristic of a disease in which the cause of the disease is a genetic problem inherited from either or both parents."	""	
<http://purl.obolibrary.org/obo/MONDO_0002245>	"blood platelet disease"	"Disorders caused by abnormalities in platelet count or function."	""	
<http://purl.obolibrary.org/obo/MONDO_0003847>	"hereditary disease"	"A disease that is caused by genetic modifications where those modifications are inherited from a parent's genome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000010>	"obsolete cerebrooculofacioskeletal syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0008926>	"COFS syndrome"	"Cerebrooculofacioskeletal (COFS) syndrome is a rare genetic disorder, belonging to a family of diseases of DNA repair, characterized by a severe sensorineural involvement."	""	
<http://purl.obolibrary.org/obo/MONDO_0000011>	"obsolete chondrodysplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000012>	"obsolete choreoathetosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000013>	"obsolete choroidal dystrophy"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0008982>	"central areolar choroidal dystrophy"	"A hereditary macular disorder, usually presenting between the ages of 30-60, characterized by a large area of atrophy in the center of the macula and the loss or absence of photoreceptors, retinal pigment epithelium and choriocapillaris in this area, resulting in a progressive decrease in visual acuity."	""	
<http://purl.obolibrary.org/obo/MONDO_0000014>	"colorblindness, partial"		"True"	
<http://purl.obolibrary.org/obo/MONDO_0001703>	"color vision disorder"	"The absence of or defect in the perception of colors."	""	
<http://purl.obolibrary.org/obo/MONDO_0000015>	"classic complement early component deficiency"	"A genetic deficiency of any early component of the classical pathway (C1q, C1r/s, C2, C4, and C3) that is associated with autoimmune diseases due to the failure of clearance of immune complexes (IC) and apoptotic materials, and the impairment of normal humoral response."	""	
<http://purl.obolibrary.org/obo/MONDO_0003832>	"complement deficiency"	"A genetic deficiency of any of the component of the complement system (including the classical, alternative, and terminal pathway components), that can either be acquired or inherited."	""	
<http://purl.obolibrary.org/obo/MONDO_0000016>	"obsolete coronary heart disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0005010>	"coronary artery disorder"	"Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC)"	""	
<http://purl.obolibrary.org/obo/MONDO_0000017>	"obsolete deafness, autosomal recessive"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0011791>	"obsolete deafness, autosomal recessive"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000018>	"obsolete myotonic dystrophy"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016107>	"myotonic dystrophy"	"An inherited progressive disorder affecting the muscles. It is characterized by muscle wasting and hypotonia, cataracts, heart conduction defects and endocrinopathies."	""	
<http://purl.obolibrary.org/obo/MONDO_0000019>	"obsolete ectodermal dysplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019287>	"ectodermal dysplasia syndrome"	"The term ''ectodermal dysplasia'' defines a heterogeneous group of heritable disorders of the skin and its appendages characterized by the defective development of two or more ectodermal derivatives, including hair, teeth, nails, sweat glands and their modified structures (i.e. ceruminous, mammary and ciliary glands). The spectrum of clinical manifestations is wide and may include additional manifestations from other ectodermal, mesodermal and endodermal structures."	""	
<http://purl.obolibrary.org/obo/MONDO_0000020>	"obsolete elliptocytosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0017319>	"hereditary elliptocytosis"	"Hereditary elliptocytosis (HE) is a rare clinically and genetically heterogeneous disorder of the red cell membrane characterized by manifestations ranging from mild to severe transfusion-dependent hemolytic anemia but with the majority of patients being asymptomatic."	""	
<http://purl.obolibrary.org/obo/MONDO_0000021>	"obsolete short-rib thoracic dysplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018770>	"Jeune syndrome"	"Jeune syndrome, also called asphyxiating thoracic dystrophy, is a short-rib dysplasia characterized by a narrow thorax, short limbs and radiological skeletal abnormalities including \"trident\" aspect of the acetabula and metaphyseal changes."	""	
<http://purl.obolibrary.org/obo/MONDO_0000022>	"nocturnal enuresis"	"Urination during sleep."	""	
<http://purl.obolibrary.org/obo/MONDO_0024290>	"enuresis"	"An elimination disorder characterized by urinary incontinence, whether involuntary or intentional, which is not due to a medical condition and which occurs at or beyond an age at which continence is expected (usually 5 years)."	""	
<http://purl.obolibrary.org/obo/MONDO_0000023>	"infantile liver failure"		""	
<http://purl.obolibrary.org/obo/MONDO_0100192>	"liver failure"	"A liver disease characterized by the liver losing or has lost all of its function."	""	
<http://purl.obolibrary.org/obo/MONDO_0000024>	"obsolete exostoses, multiple"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0005508>	"hereditary multiple osteochondromas"	"A bone neoplasm characterized by development of two or more cartilage capped bony outgrowths (osteochondromas) of the long bones."	""	
<http://purl.obolibrary.org/obo/MONDO_0000025>	"obsolete familial cold autoinflammatory syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018768>	"familial cold autoinflammatory syndrome"	"Familial cold urticaria (FCAS) is the mildest form of cryopyrin-associated periodic syndrome (CAPS) and is characterized by recurrent episodes of urticaria-like skin rash triggered by exposure to cold associated with low-grade fever, general malaise, eye redness and arthralgia/myalgia."	""	
<http://purl.obolibrary.org/obo/MONDO_0000026>	"obsolete Fanconi renotubular syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0001083>	"Fanconi renotubular syndrome"	"A genetic or acquired disorder characterized by impairment of the function of the proximal tubules of the kidney. It results in decreased reabsorption of electrolytes, glucose, amino acids, and other nutrients."	""	
<http://purl.obolibrary.org/obo/MONDO_0000027>	"obsolete epilepsy, absence"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000028>	"obsolete epilepsy, hot water"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0013229>	"hot water reflex epilepsy"	"Hot water reflex epilepsy is a rare neurologic disease characterized by the onset of generalized or focal seizures following immersion of the head in hot water, or with hot water being poured over the head. Primary generalized tonic-clonic seizures have been reported in rare cases."	""	
<http://purl.obolibrary.org/obo/MONDO_0000029>	"obsolete corticosterone methyloxidase deficiency"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000030>	"familial sleep-related hypermotor epilepsy"	"An instance of sleep-related hypermotor epilepsy that is caused by an inherited genomic modification in an individual."	""	
<http://purl.obolibrary.org/obo/MONDO_0017704>	"familial partial epilepsy"	"An instance of partial epilepsy that is caused by an inherited modification of the individual's genome."	""	
<http://purl.obolibrary.org/obo/MONDO_0100631>	"sleep-related hypermotor epilepsy"	"A focal epilepsy syndrome with characteristic brief motor seizures occurring from sleep. This syndrome was previously known as nocturnal frontal lobe epilepsy, and (when familial) autosomal dominant nocturnal frontal lobe epilepsy. It has both genetic and structural causes. Patients may have hyperkinetic seizures, or seizures with asymmetric dystonic/tonic motor features. The term sleep-related hyperkinetic epilepsy is to be used when patients have hyperkinetic seizures alone."	""	
<http://purl.obolibrary.org/obo/MONDO_0000031>	"obsolete fatty liver disease, nonalcoholic"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0013209>	"metabolic dysfunction-associated steatotic liver disease"	"Metabolic dysfunction-associated steatotic liver disease (MASLD, formerly known as nonalcoholic fatty liver disease or NAFLD) is a type of liver disease that is not caused by alcohol. It typically does not cause symptoms in the early stages, but it can cause health problems due to fat accumulation, inflammation, and scarring in the liver."	""	
<http://purl.obolibrary.org/obo/MONDO_0000032>	"febrile seizures, familial"		""	
<http://purl.obolibrary.org/obo/MONDO_0000033>	"obsolete frontonasal dysplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016643>	"frontonasal dysplasia"	"A group of rare bone development disorders characterized by an array of abnormalities affecting the eyes, forehead, and nose, and linked to midfacial dysraphia. The clinical picture is highly variable, but the major findings include hypertelorism, a broad nasal root, a large and bifid nasal tip, and widow's peak. Occasionally, abnormalities can include accessory nasal tags, cleft lip, ocular abnormalities (coloboma, cataract, microphthalmia), conductive hearing loss, basal encephalocele and/or agenesis of the corpus callosum. Intellectual deficit is rare and more likely to occur in cases where hypertelorism is severe or where there is extra-cranial involvement."	""	
<http://purl.obolibrary.org/obo/MONDO_0000034>	"obsolete glomerulopathy with fibronectin deposits"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000035>	"obsolete glucocorticoid deficiency"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000036>	"obsolete hemolytic anemia, nonspherocytic"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000037>	"obsolete herpes simplex encephalitis, susceptibility"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000038>	"obsolete hyper-IgE recurrent infection syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018037>	"hyper-IgE syndrome"	"A condition that is characterized by elevated serum IgE, dermatitis, and respiratory infections."	""	
<http://purl.obolibrary.org/obo/MONDO_0000039>	"obsolete hypercalciuria, absorptive"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000040>	"obsolete hyperphenylalaninemia, BH4-deficient"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016543>	"hyperphenylalaninemia due to tetrahydrobiopterin deficiency"	"Hyperphenylalaninemia (HPA) due to tetrahydrobiopterin (BH4) deficiency, also known as malignant HPA is an amino acid disorder with neonatal onset that is clinically characterized by the classic manifestations of phenylketonuria (PKA) and that later on is clinically differentiated by neurologic symptoms such as microcephaly, intellectual disability, central hypotonia, delayed motor development, peripheral spasticity and seizures, that develop and persist despite an established metabolic control of plasma phenylalanine."	""	
<http://purl.obolibrary.org/obo/MONDO_0000041>	"obsolete hyperphosphatasia with mental retardation syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016596>	"hyperphosphatasia-intellectual disability syndrome"		""	
<http://purl.obolibrary.org/obo/MONDO_0000042>	"obsolete hyperprolinemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000043>	"obsolete hypomagnesemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018100>	"familial primary hypomagnesemia"	"A hereditary disorder that leads to a selective defect in renal or intestinal magnesium absorption, resulting in a low serum magnesium concentration."	""	
<http://purl.obolibrary.org/obo/MONDO_0000044>	"hereditary hypophosphatemic rickets"	"Hypophosphatemic rickets is a group of genetic diseases characterized by hypophosphatemia, rickets, and normal serum levels of calcium."	""	
<http://purl.obolibrary.org/obo/MONDO_0024300>	"hypophosphatemic rickets"	"Rickets due to low serum phosphate concentrations, the cause of which can be nutritional or genetic. This condition is characterized by normal parathyroid hormone concentrations, usually caused by renal phosphate wasting occurring in isolation or as part of a renal tubular disorder, and characterized by resistance to treatment with ultraviolet radiation or vitamin D."	""	
<http://purl.obolibrary.org/obo/MONDO_0000045>	"hypothyroidism, congenital, nongoitrous"		""	
<http://purl.obolibrary.org/obo/MONDO_0018612>	"congenital hypothyroidism"	"A thyroid hormone deficiency present from birth."	""	
<http://purl.obolibrary.org/obo/MONDO_0000046>	"obsolete hypouricemia, renal"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000047>	"obsolete immunodeficiency with hyper-IgM"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0003947>	"hyper-IgM syndrome"	"A primary immune deficiency disorder characterized by defective CD40 signaling; via B cells affecting class switch recombination (CSR) and somatic hypermutation."	""	
<http://purl.obolibrary.org/obo/MONDO_0000048>	"obsolete immunoglobulin A deficiency"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0001341>	"selective IgA deficiency disease"	"A dysgammaglobulinemia characterized by low or undetectable serum levels of immunoglobulin class A (IgA). It is the most common primary antibody deficiency. It may be inherited or the reversible sequela of infection or certain drugs. It may be caused by decreased or inefficient class-switching from progenitor B cells without any corresponding decreases in the other isotypes. Though affected persons may be asymptomatic, low levels of IgA will reduce the immune system's ability to combat infection where IgA is normally secreted, at mucosal surfaces. Selective IgA deficiency is seen in greater proportion among patients with autoimmune disorders."	""	
<http://purl.obolibrary.org/obo/MONDO_0000049>	"obsolete invasive pneumococcal disease, recurrent isolated"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0021094>	"immunodeficiency disease"	"Disease in which there is a deficiency or defect in the mechanisms of immunity, either cellular or humoral."	""	
<http://purl.obolibrary.org/obo/MONDO_0000050>	"isolated congenital growth hormone deficiency"		""	
<http://purl.obolibrary.org/obo/MONDO_0013099>	"combined pituitary hormone deficiencies, genetic form"	"Congenital hypopituitarism is characterized by multiple pituitary hormone deficiency, including somatotroph, thyrotroph, lactotroph, corticotroph or gonadotroph deficiencies, due to mutations of pituitary transcription factors involved in pituitary ontogenesis. Congenital hypopituitarism is rare compared with the high incidence of hypopituitarism induced by pituitary adenomas, transsphenoidal surgery or radiotherapy."	""	
<http://purl.obolibrary.org/obo/MONDO_0000051>	"obsolete keratoderma, palmoplantar striate"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000052>	"obsolete leukodystrophy, hypomyelinating"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000053>	"obsolete macroglobulinemia, Waldenstrom"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000054>	"obsolete macular dystrophy"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0020242>	"hereditary macular dystrophy"	"Macular dystrophy that is related to a change in a gene."	""	
<http://purl.obolibrary.org/obo/MONDO_0000055>	"obsolete major affective disorder"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004985>	"bipolar disorder"	"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression."	""	
<http://purl.obolibrary.org/obo/MONDO_0000056>	"obsolete mandibuloacral dysplasia with lipodystrophy"		""	"true"
