ID	LABEL	SYNONYMS
MONDO:0000014	colorblindness, partial	
MONDO:0000015	classic complement early component deficiency	genetic deficiency of early component of the classical complement pathway
MONDO:0000066	mitochondrial complex deficiency	
MONDO:0000070	mycobacterium tuberculosis, susceptibility	
MONDO:0000075	neuronopathy, distal hereditary motor	
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	progressive external ophthalmoplegia with mtDNA deletions
MONDO:0000093	Schistosoma mansoni infection, susceptibility	
MONDO:0000108	bacteremia, susceptibility	
MONDO:0000118	reticulate pigment disorder	reticulate pigment disorders
MONDO:0000152	thiamine-responsive dysfunction syndrome	thiamine-responsive dysfunction syndrome
MONDO:0000155	triglyceride storage disease	inborn error of sequestering of triglyceride|inborn sequestering of triglyceride disorder|rare inborn error of sequestering of triglyceride
MONDO:0000167	Huntington disease and related disorders	
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	
MONDO:0000192	polyglucosan body myopathy	
MONDO:0000210	thiopurine metabolic disease	
MONDO:0000214	hypermanganesemia with dystonia	
MONDO:0000222	seminal vesicle acute gonorrhea	acute gonococcal seminal vesiculitis|gonococcal seminal vesiculitis, acute
MONDO:0000259	asymptomatic dengue	
MONDO:0000338	variola major infectious disease	variola major
MONDO:0000351	disorder of methionine catabolism	hypermethioninemia|inborn error of methionine catabolic process|inborn methionine catabolic process disorder|rare inborn error of methionine catabolic process
MONDO:0000365	primary congenital glaucoma	primary congenital glaucoma|primary congenital glaucoma (disease)
MONDO:0000371	oral cavity carcinoma in situ	carcinoma in situ of mouth|carcinoma in situ of oral cavity|carcinoma in situ of the mouth|carcinoma in situ of the oral cavity|mouth carcinoma in situ|oral cavity in situ carcinoma|stage 0 carcinoma of mouth|stage 0 carcinoma of oral cavity|stage 0 carcinoma of the mouth|stage 0 carcinoma of the oral cavity|stage 0 mouth carcinoma|stage 0 oral cavity cancer|stage 0 oral cavity cancer aJCC v6|stage 0 oral cavity cancer aJCC v6 and v7|stage 0 oral cavity cancer aJCC v7|stage 0 oral cavity carcinoma
MONDO:0000374	bile duct carcinoma in situ	bile duct in situ carcinoma|carcinoma in situ of bile duct|stage 0 bile duct carcinoma
MONDO:0000381	infiltrating renal pelvis transitional cell carcinoma	
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	GINET|alimentary part of gastrointestinal system neuroendocrine tumor|digestive system NET|digestive system neuroendocrine tumor|digestive system well differentiated neuroendocrine tumor|gastroenteropancreatic NET|gastroenteropancreatic neuroendocrine tumor|gastrointestinal NET|gastrointestinal neuroendocrine tumor|gastrointestinal neuroendocrine tumors|gastrointestinal system neuroendocrine tumor|malignant gastrointestinal neuroendocrine tumor
MONDO:0000393	partial fetal alcohol syndrome	
MONDO:0000395	alcohol-related birth defect	ARBD|alcohol related birth defect
MONDO:0000402	small cell carcinoma	intermediate cell small cell carcinoma|oat cell cancer|oat cell carcinoma|small cell NEC|small cell cancer|small cell car. (extrapulmonary)|small cell carcinoma|small cell carcinoma (extrapulmonary)|small cell carcinoma - intermediate cell|small cell carcinoma, intermediate cell|small cell carcinoma, intermediate cell (morphologic abnormality)|small cell neuroendocrine carcinoma
MONDO:0000407	malignant pleural solitary fibrous tumor	pleural solitary fibrous tumor, malignant
MONDO:0000408	fetal alcohol spectrum disorder	FAE (fetal alcohol effects)|FAEs (fetal alcohol effects)|FASD|FASDs|alcohol related birth defects|alcohol related neurodevelopmental disorder|alcohol-related birth defects|alcohol-related birth defects (ARBD) - type|alcohol-related neurodevelopmental disorder (ARND) - type|birth defects, alcohol-related|fetal alcohol spectrum disorders|fetal alcohol syndrome|fetal alcohol syndrome (FAS) - type|growth retardation, facial abnormalities, and central nervous system dysfunction|partial fetal alcohol syndrome|syndrome, fetal alcohol
MONDO:0000421	inborn serine deficiency	inborn L-serine biosynthetic process disorder|inborn error of L-serine biosynthetic process|rare inborn error of L-serine biosynthetic process
MONDO:0000424	inborn vitamin B12 deficiency	cobalamin deficiency|hypocobalaminemia|inborn cobalamin metabolic process disorder|inborn error of cobalamin metabolic process|inborn vitamin B12 deficiency (disease)|rare inborn error of cobalamin metabolic process
MONDO:0000450	secondary progressive multiple sclerosis	SPMS|secondary-progressive MS
MONDO:0000451	primary progressive multiple sclerosis	PPMS|primary-progressive MS
MONDO:0000452	progressive relapsing multiple sclerosis	PRMS|progressive-relapsing MS
MONDO:0000466	first-degree atrioventricular block	AV block first degree|atrioventricular block first degree|atrioventricular block, first degree|first degree AV block|first degree atrioventricular block
MONDO:0000467	second-degree atrioventricular block	AV block second degree|atrioventricular block second degree|atrioventricular block, second degree|second degree AV block|second degree atrioventricular block|second-degree heart block
MONDO:0000468	third-degree atrioventricular block	AV block third degree|atrioventricular block complete|atrioventricular block, third degree|complete AV block|complete atrioventricular block|complete heart block|non-congenital complete atrioventricular block|third degree AV block|third degree atrioventricular block
MONDO:0000480	anismus	anal region skeletal muscle focal dystonia|dyskinetic puborectalis|dyssynergic defecation|focal dystonia of anal region skeletal muscle|puborectalis syndrome|rectosphincteric dyssynergia|spastic pelvic floor syndrome|sphincteric disobedience syndrome
MONDO:0000486	craniofacial dystonia	cranio-facial dystonia
MONDO:0000503	lung adenocarcinoma in situ	adenosquamous cell carcinoma in situ of lung|adenosquamous cell carcinoma in situ of the lung|bronchioalveolar carcinoma|bronchioloalveolar carcinoma|in situ pulmonary adenocarcinoma|lung adenocarcinoma In situ|lung adenosquamous cell carcinoma in situ|stage 0 adenosquamous cell carcinoma of lung|stage 0 adenosquamous cell carcinoma of the lung|stage 0 adenosquamous cell lung carcinoma|stage 0 adenosquamous lung cancer|stage 0 adenosquamous lung carcinoma aJCC v6|stage 0 adenosquamous lung carcinoma aJCC v6 and v7|stage 0 adenosquamous lung carcinoma aJCC v7
MONDO:0000508	syndromic intellectual disability	syndrome associated with intellectual disability|syndromic intellectual disability
MONDO:0000509	non-syndromic intellectual disability	isolated intellectual disability|nonsyndromic intellectual disability
MONDO:0000521	salivary gland carcinoma	carcinoma of saliva-secreting gland|carcinoma of salivary gland|carcinoma of the salivary gland|saliva-secreting gland carcinoma|salivary carcinoma|salivary gland cancer|salivary gland carcinoma
MONDO:0000531	bronchus mucoepidermoid carcinoma	bronchus mucoepidermoid carcinoma
MONDO:0000532	lung combined type small cell adenocarcinoma	
MONDO:0000534	trachea mucoepidermoid carcinoma	trachea mucoepidermoid carcinoma
MONDO:0000540	small intestinal neuroendocrine tumor G1	carcinoid tumor of small bowel|carcinoid tumor of small intestine|carcinoid tumor of the small bowel|carcinoid tumor of the small intestine|grade 1 neuroendocrine neoplasm of small intestine|small bowel carcinoid tumor|small intestinal NET G1|small intestinal carcinoid tumor|small intestinal neuroendocrine tumor G1|small intestine NET G1|small intestine carcinoid neuroendocrine tumor|small intestine carcinoid tumor|small intestine carcinoid tumor (disease)|small intestine neuroendocrine neoplasm G1|small intestine neuroendocrine tumor, well differentiated, low grade
MONDO:0000541	jejunal adenocarcinoma	jejunal adenocarcinoma|jejunal adenocarcinoma (disease)|jejunum adenocarcinoma
MONDO:0000543	ovarian melanoma	melanoma (disease) of ovary|metastatic melanoma of ovary|ovary melanoma (disease)|ovary metastatic melanoma
MONDO:0000544	mucosal melanoma	mucosal melanoma
MONDO:0000545	sublingual gland adenoid cystic carcinoma	sublingual gland adenoid cystic carcinoma
MONDO:0000548	ovarian clear cell cancer	clear-cell ovarian carcinoma|malignant ovarian clear cell neoplasm|malignant ovarian clear cell tumor|ovarian clear cell carcinoma
MONDO:0000597	Munchausen by proxy	Munchausen by proxy syndrome|Munchausen syndrome by proxy
MONDO:0000598	aphasia	
MONDO:0000638	benign glioma	glioma, benign
MONDO:0000660	akinetopsia	
MONDO:0000661	alexithymia	
MONDO:0000662	amusia	receptive amusia
MONDO:0000663	anosognosia	
MONDO:0000664	apperceptive agnosia	
MONDO:0000666	associative visual agnosia	associative agnosia
MONDO:0000667	auditory agnosia	
MONDO:0000668	autotopagnosia	
MONDO:0000669	color agnosia	
MONDO:0000670	cortical deafness	
MONDO:0000671	finger agnosia	finger agnosia|finger agnosia (disease)|manual digit agnosia
MONDO:0000672	form agnosia	
MONDO:0000673	integrative agnosia	
MONDO:0000674	mirror agnosia	
MONDO:0000675	pain agnosia	analgesia
MONDO:0000676	phonagnosia	
MONDO:0000677	semantic agnosia	
MONDO:0000678	simultanagnosia	
MONDO:0000679	social emotional agnosia	expressive agnosia
MONDO:0000680	astereognosia	astereognosia|astereognosia (disease)|somatosensory agnosia
MONDO:0000681	tactile agnosia	
MONDO:0000682	time agnosia	
MONDO:0000683	topographical agnosia	
MONDO:0000684	verbal auditory agnosia	
MONDO:0000685	visual agnosia	visual agnosia|visual agnosia (disease)|visuoperceptual agnosia
MONDO:0000686	alexia without agraphia	Agnosias, visual verbal|Agraphias, alexia without|Blindnesses, Pure Word|Pure Word Blindnesses|Pure Word blindness|Pure alexia|Pure alexia without agraphia|Pure alexias|Word Blindnesses, Pure|Word blindness, Pure|agnosia, visual verbal|agraphia, alexia without|alexia syndrome without agraphia|alexia without Agraphias|alexia without agraphia|alexias, Pure|blindness, Pure Word|verbal Agnosias, visual|verbal agnosia, visual|visual verbal Agnosias|visual verbal agnosia|without Agraphias, alexia|without agraphia, alexia
MONDO:0000698	gamma-amino butyric acid metabolism disorder	
MONDO:0000708	Crohn jejunoileitis	jejunoileitis
MONDO:0000709	Crohn ileitis	Crohn's ileitis|ileitis
MONDO:0000710	gastroduodenal Crohn disease	gastroduodenal Crohn's disease|upper GI Crohn's disease
MONDO:0000723	stutter disorder	familial persistent stuttering|stammering|stutter|stuttering|stuttering, familial persistent
MONDO:0000732	combined oxidative phosphorylation deficiency	
MONDO:0000774	autoimmune neuropathy	autoimmune peripheral neuropathy
MONDO:0000811	anomalous left coronary artery from the pulmonary artery	ALCAPA|ALCAPA disorder|BWGS|Bland-White-Garland syndrome|White-Garland syndrome
MONDO:0000828	juvenile-onset Parkinson disease	juvenile-onset Parkinson's disease
MONDO:0000866	hereditary myoglobinuria	myoglobinurias
MONDO:0000891	mixed fibrolamellar hepatocellular carcinoma	
MONDO:0000892	colon medullary carcinoma	colon medullary carcinoma|medullary carcinoma of the colon|medullary colon carcinoma
MONDO:0000893	mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma	indeterminate bronchioloalveolar carcinoma|mixed mucinous and non-mucinous bronchioloalveolar adenocarcinoma|mixed mucinous and non-mucinous bronchioloalveolar carcinoma|mixed mucinous and non-mucinous bronchioloalveolar lung carcinoma|mixed mucinous and non-mucinous bronchoalveolar lung carcinoma
MONDO:0000894	mucinous bronchioloalveolar adenocarcinoma	
MONDO:0000895	nonmucinous bronchioloalveolar adenocarcinoma	
MONDO:0000898	malignant hemangioma	hemangioma, malignant
MONDO:0000919	ampulla of vater cancer	cancer of hepatopancreatic ampulla|hepatopancreatic ampulla cancer|malignant ampulla of Vater neoplasm|malignant ampulla of Vater tumor|malignant hepatopancreatic ampulla neoplasm|malignant neoplasm of ampulla of Vater|malignant neoplasm of hepatopancreatic ampulla|malignant neoplasm of the ampulla of Vater|malignant tumor of ampulla of Vater|malignant tumor of the ampulla of Vater|malignant tumour of ampulla of vater
MONDO:0000920	duodenum cancer	cancer of duodenum|duodenal cancer|duodenum cancer|malignant duodenal neoplasm|malignant duodenal tumor|malignant duodenum neoplasm|malignant neoplasm of duodenum|malignant neoplasm of the duodenum|malignant tumor of duodenum|malignant tumor of the duodenum
MONDO:0000929	balloon cell malignant melanoma	balloon cell cutaneous (skin) melanoma|balloon cell malignant melanoma of skin|balloon cell malignant melanoma of the skin|balloon cell malignant skin melanoma|balloon cell melanoma|balloon cell skin melanoma
MONDO:0000930	nodular malignant melanoma	nodular cutaneous (skin) melanoma|nodular malignant melanoma of skin|nodular malignant melanoma of the skin|nodular malignant skin melanoma|nodular melanoma|nodular melanoma (morphologic abnormality)
MONDO:0000954	Meckel diverticulum cancer	Meckel diverticulum cancer|Meckel's diverticulum cancer|cancer of Meckel's diverticulum|malignant Meckel's diverticulum neoplasm|malignant neoplasm of Meckel's diverticulum
MONDO:0000955	ileum cancer	cancer of ileum|ileum cancer|malignant ileum neoplasm|malignant neoplasm of ileum
MONDO:0000956	small intestine cancer	cancer of small intestine|malignant neoplasm of small bowel|malignant neoplasm of small intestine|malignant neoplasm of the small bowel|malignant neoplasm of the small intestine|malignant neoplasms of the small intestine|malignant small bowel neoplasm|malignant small bowel tumor|malignant small intestinal neoplasm|malignant small intestine neoplasm|malignant small intestine tumor|malignant tumor of small bowel|malignant tumor of small intestine|malignant tumor of the small bowel|malignant tumor of the small intestine|small bowel tumors|small intestine cancer
MONDO:0000958	neuroretinitis	Juxtapapillary focal retinitis and retinochoroiditis|focal retinitis and retinochoroiditis, juxtapapillary|papilloretinitis
