?exact	?term	?term_label	?term2	?term_label2	?xrefs
"ACTH-producing pituitary adenoma"	<http://purl.obolibrary.org/obo/MONDO_0009050>	"Cushing disease due to pituitary adenoma"	<http://purl.obolibrary.org/obo/MONDO_0006068>	"ACTH-producing pituitary gland adenoma"	"DOID:7004|NCIT:C7462"
"ACTH-producing pituitary adenoma"	<http://purl.obolibrary.org/obo/MONDO_0006068>	"ACTH-producing pituitary gland adenoma"	<http://purl.obolibrary.org/obo/MONDO_0009050>	"Cushing disease due to pituitary adenoma"	"NCIT:C7462|DOID:7004"
"AR-CMT2T"	<http://purl.obolibrary.org/obo/MONDO_0014866>	"Charcot-Marie-Tooth disease axonal type 2T"	<http://purl.obolibrary.org/obo/MONDO_0044640>	"Charcot-Marie-Tooth disease type 2T"	"DOID:0110160|Orphanet:495274"
"AR-CMT2T"	<http://purl.obolibrary.org/obo/MONDO_0044640>	"Charcot-Marie-Tooth disease type 2T"	<http://purl.obolibrary.org/obo/MONDO_0014866>	"Charcot-Marie-Tooth disease axonal type 2T"	"Orphanet:495274|DOID:0110160"
"ApoA-I and apoC-III deficiency, combined"	<http://purl.obolibrary.org/obo/MONDO_0100188>	"combined ApoA-I and ApoC-III deficiency"	<http://purl.obolibrary.org/obo/MONDO_0032766>	"hypoalphalipoproteinemia, primary, 2"	"OMIM:618463|OMIM:genemap2|OMIM:618463|OMIM:618463"
"ApoA-I and apoC-III deficiency, combined"	<http://purl.obolibrary.org/obo/MONDO_0032766>	"hypoalphalipoproteinemia, primary, 2"	<http://purl.obolibrary.org/obo/MONDO_0100188>	"combined ApoA-I and ApoC-III deficiency"	"OMIM:genemap2|OMIM:618463|OMIM:618463|OMIM:618463"
"Beradinelli-Seip syndrome"	<http://purl.obolibrary.org/obo/MONDO_0006536>	"congenital generalized lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0018883>	"Berardinelli-Seip congenital lipodystrophy"	"DOID:0050585|Orphanet:528"
"Beradinelli-Seip syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018883>	"Berardinelli-Seip congenital lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0006536>	"congenital generalized lipodystrophy"	"Orphanet:528|DOID:0050585"
"CAP syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008828>	"camptodactyly-arthropathy-coxa vara-pericarditis syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011287>	"craniosynostosis-anal anomalies-porokeratosis syndrome"	"DOID:0090127|Orphanet:85199"
"CD27 deficiency"	<http://purl.obolibrary.org/obo/MONDO_0014054>	"lymphoproliferative syndrome 2"	<http://purl.obolibrary.org/obo/MONDO_0016536>	"autosomal recessive lymphoproliferative disease"	"DOID:0060708|Orphanet:238505"
"CD27 deficiency"	<http://purl.obolibrary.org/obo/MONDO_0016536>	"autosomal recessive lymphoproliferative disease"	<http://purl.obolibrary.org/obo/MONDO_0014054>	"lymphoproliferative syndrome 2"	"Orphanet:238505|DOID:0060708"
"CRASH syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010559>	"MASA syndrome"	<http://purl.obolibrary.org/obo/MONDO_0017140>	"L1 syndrome"	"DOID:0060246|Orphanet:275543"
"CRASH syndrome"	<http://purl.obolibrary.org/obo/MONDO_0017140>	"L1 syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010559>	"MASA syndrome"	"Orphanet:275543|DOID:0060246"
"Carney complex variant"	<http://purl.obolibrary.org/obo/MONDO_0015285>	"Carney complex"	<http://purl.obolibrary.org/obo/MONDO_0012137>	"Carney complex - trismus - pseudocamptodactyly syndrome"	"DOID:0050471|Orphanet:319340"
"Carney complex variant"	<http://purl.obolibrary.org/obo/MONDO_0012137>	"Carney complex - trismus - pseudocamptodactyly syndrome"	<http://purl.obolibrary.org/obo/MONDO_0015285>	"Carney complex"	"Orphanet:319340|DOID:0050471"
"Christ-Siemens-Touraine syndrome"	<http://purl.obolibrary.org/obo/MONDO_0016535>	"hypohidrotic ectodermal dysplasia"	<http://purl.obolibrary.org/obo/MONDO_0010585>	"X-linked hypohidrotic ectodermal dysplasia"	"DOID:14793|Orphanet:181"
"Christ-Siemens-Touraine syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010585>	"X-linked hypohidrotic ectodermal dysplasia"	<http://purl.obolibrary.org/obo/MONDO_0016535>	"hypohidrotic ectodermal dysplasia"	"Orphanet:181|DOID:14793"
"Crigler-Najjar syndrome, type I"	<http://purl.obolibrary.org/obo/MONDO_0009044>	"Crigler-Najjar syndrome"	<http://purl.obolibrary.org/obo/MONDO_0021020>	"Crigler-Najjar syndrome type 1"	"DOID:3803|OMIM:218800"
"Crigler-Najjar syndrome, type I"	<http://purl.obolibrary.org/obo/MONDO_0021020>	"Crigler-Najjar syndrome type 1"	<http://purl.obolibrary.org/obo/MONDO_0009044>	"Crigler-Najjar syndrome"	"OMIM:218800|DOID:3803"
"Crisponi syndrome"	<http://purl.obolibrary.org/obo/MONDO_0015526>	"cold-induced sweating syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010091>	"Cold-induced sweating syndrome 1"	"DOID:0060294|OMIM:272430"
"Crisponi syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010091>	"Cold-induced sweating syndrome 1"	<http://purl.obolibrary.org/obo/MONDO_0015526>	"cold-induced sweating syndrome"	"OMIM:272430|DOID:0060294"
"Cushing syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018912>	"Cushing syndrome"	<http://purl.obolibrary.org/obo/MONDO_0003009>	"hyperaldosteronism"	"DOID:12252|DOID:446"
"Cushing syndrome"	<http://purl.obolibrary.org/obo/MONDO_0003009>	"hyperaldosteronism"	<http://purl.obolibrary.org/obo/MONDO_0018912>	"Cushing syndrome"	"DOID:446|DOID:12252"
"Cushing's syndrome"	<http://purl.obolibrary.org/obo/MONDO_0003009>	"hyperaldosteronism"	<http://purl.obolibrary.org/obo/MONDO_0018912>	"Cushing syndrome"	"DOID:446|Orphanet:553"
"Cushing's syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018912>	"Cushing syndrome"	<http://purl.obolibrary.org/obo/MONDO_0003009>	"hyperaldosteronism"	"Orphanet:553|DOID:446"
"Dunnigan syndrome"	<http://purl.obolibrary.org/obo/MONDO_0020088>	"familial partial lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0007906>	"familial partial lipodystrophy, Dunnigan type"	"DOID:0050440|Orphanet:2348"
"Dunnigan syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007906>	"familial partial lipodystrophy, Dunnigan type"	<http://purl.obolibrary.org/obo/MONDO_0020088>	"familial partial lipodystrophy"	"Orphanet:2348|DOID:0050440"
"Edwards syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018071>	"trisomy 18"	<http://purl.obolibrary.org/obo/MONDO_0010336>	"orofaciodigital syndrome VIII"	"Orphanet:3380|DOID:0060378|MONDO:0001140|DOID:0060378"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	<http://purl.obolibrary.org/obo/MONDO_0010401>	"X-linked myopathy with postural muscle atrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:300696|OMIM:310300|OMIM:genemap2|OMIM:310300|OMIM:300696"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	<http://purl.obolibrary.org/obo/MONDO_0010401>	"X-linked myopathy with postural muscle atrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:300696|OMIM:606408|OMIM:genemap2|OMIM:606408|OMIM:300696"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010401>	"X-linked myopathy with postural muscle atrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:300696|OMIM:609029|OMIM:genemap2|OMIM:609029|OMIM:300696"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0010401>	"X-linked myopathy with postural muscle atrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:300696|OMIM:614302|OMIM:genemap2|OMIM:614302|OMIM:300696"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:310300|OMIM:606408|OMIM:genemap2|OMIM:606408|OMIM:310300"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:310300|OMIM:609029|OMIM:genemap2|OMIM:609029|OMIM:310300"
