id	label
CL:0000181	obsolete metabolising cell
CL:0000243	obsolete glial cell (sensu Vertebrata)
CL:0002609	obsolete neuron of cerebral cortex
CL:1000416	obsolete myoepithelial cell of lactiferous gland
ECTO:9000266	obsolete chemical entity exposure
ECTO:9001021	obsolete exposure to chlorine atom
ENVO:00002004	obsolete physical object of mesoscopic geological size
ENVO:00002297	obsolete environmental feature
ENVO:00003075	obsolete anthropogenic abiotic mesoscopic feature
ENVO:01000010	obsolete abiotic mesoscopic physical object
FOODON:03000003	obsolete: brown shrimp
FOODON:03000004	obsolete: green mud crab
FOODON:03000005	obsolete: Indian prawn
FOODON:03400004	obsolete: product type, other
FOODON:03411087	obsolete: human as milk source
FOODON:03411161	obsolete: cattle
FOODON:03411215	obsolete: algae, bacteria or fungus
FOODON:03411347	obsolete: plant
FOODON:03412846	obsolete: bacteria
FOODON:03420155	obsolete: seed (anatomical part)
FOODON:03420165	obsolete: fruit or seed
FOODON:03420174	obsolete: part of plant
FOODON:03420279	obsolete: pollen
FOODON:03420310	obsolete: stamen
FOODON:03460180	obsolete: food added
GO:0000229	obsolete cytoplasmic chromosome
GO:0000988	obsolete transcription factor activity, protein binding
GO:0004871	obsolete signal transducer activity
GO:0005623	obsolete cell
GO:0005724	obsolete nuclear telomeric heterochromatin
GO:0006732	obsolete coenzyme metabolic process
GO:0006733	obsolete oxidoreduction coenzyme metabolic process
GO:0006859	obsolete extracellular carbohydrate transport
GO:0006928	obsolete movement of cell or subcellular component
GO:0008144	obsolete drug binding
GO:0009108	obsolete coenzyme biosynthetic process
GO:0022610	obsolete biological adhesion
GO:0031933	obsolete telomeric heterochromatin
GO:0033267	obsolete axon part
GO:0033576	obsolete protein glycosylation in cytosol
GO:0033578	obsolete protein glycosylation in Golgi
GO:0035636	obsolete multi-organism signaling
GO:0035947	obsolete regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter
GO:0035948	obsolete positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter
GO:0035949	obsolete positive regulation of gluconeogenesis by negative regulation of transcription from RNA polymerase II promoter
GO:0036385	obsolete nucleoid DNA packaging
GO:0043900	obsolete regulation of multi-organism process
GO:0043901	obsolete negative regulation of multi-organism process
GO:0043902	obsolete positive regulation of multi-organism process
GO:0044420	obsolete extracellular matrix component
GO:0044421	obsolete extracellular region part
GO:0044422	obsolete organelle part
GO:0044424	obsolete intracellular part
GO:0044425	obsolete membrane part
GO:0044427	obsolete chromosomal part
GO:0044428	obsolete nuclear part
GO:0044429	obsolete mitochondrial part
GO:0044431	obsolete Golgi apparatus part
GO:0044433	obsolete cytoplasmic vesicle part
GO:0044437	obsolete vacuolar part
GO:0044438	obsolete microbody part
GO:0044439	obsolete peroxisomal part
GO:0044441	obsolete ciliary part
GO:0044444	obsolete cytoplasmic part
GO:0044445	obsolete cytosolic part
GO:0044446	obsolete intracellular organelle part
GO:0044448	obsolete cell cortex part
RO:0002218	obsolete has active participant
CHEBI:36684	None
GO:0000784	None
GO:0000789	None
GO:0000790	None
GO:0001012	None
GO:0002818	None
GO:0004872	None
GO:0004882	None
GO:0004887	None
GO:0005578	None
GO:0005719	None
GO:0005720	None
GO:0006323	None
GO:0006464	None
GO:0008434	None
GO:0015238	None
GO:0015672	None
GO:0015696	None
GO:0015758	None
GO:0015893	None
GO:0017144	None
GO:0022838	None
GO:0032269	None
GO:0032270	None
GO:0034613	None
GO:0034622	None
GO:0042493	None
GO:0042737	None
GO:0043234	None
GO:0043624	None
GO:0044212	None
GO:0044267	None
GO:0044449	obsolete contractile fiber part
GO:0044452	obsolete nucleolar part
GO:0044454	obsolete nuclear chromosome part
GO:0044455	obsolete mitochondrial membrane part
GO:0044456	obsolete synapse part
GO:0044459	obsolete plasma membrane part
GO:0044463	obsolete cell projection part
GO:0044464	obsolete cell part
GO:0051181	obsolete cofactor transport
GO:0051186	obsolete cofactor metabolic process
GO:0051188	obsolete cofactor biosynthetic process
GO:0051193	obsolete regulation of cofactor metabolic process
GO:0051194	obsolete positive regulation of cofactor metabolic process
GO:0051195	obsolete negative regulation of cofactor metabolic process
GO:0051196	obsolete regulation of coenzyme metabolic process
GO:0051197	obsolete positive regulation of coenzyme metabolic process
GO:0051198	obsolete negative regulation of coenzyme metabolic process
GO:0051270	obsolete regulation of cellular component movement
GO:0051271	obsolete negative regulation of cellular component movement
GO:0051272	obsolete positive regulation of cellular component movement
GO:0051704	obsolete multi-organism process
GO:0051705	obsolete multi-organism behavior
GO:0055114	obsolete oxidation-reduction process
GO:0060850	obsolete regulation of transcription involved in cell fate commitment
GO:0072361	obsolete regulation of glycolytic process by regulation of transcription from RNA polymerase II promoter
GO:0072362	obsolete regulation of glycolytic process by negative regulation of transcription from RNA polymerase II promoter
GO:0072363	obsolete regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter
GO:0072364	obsolete regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter
GO:0072365	obsolete regulation of cellular ketone metabolic process by negative regulation of transcription from RNA polymerase II promoter
GO:0072366	obsolete regulation of cellular ketone metabolic process by positive regulation of transcription from RNA polymerase II promoter
GO:0072367	obsolete regulation of lipid transport by regulation of transcription from RNA polymerase II promoter
GO:0072368	obsolete regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter
GO:0072369	obsolete regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter
GO:0090283	obsolete regulation of protein glycosylation in Golgi
GO:0090284	obsolete positive regulation of protein glycosylation in Golgi
GO:0090285	obsolete negative regulation of protein glycosylation in Golgi
GO:0097458	obsolete neuron part
GO:0097755	obsolete positive regulation of blood vessel diameter
GO:0097756	obsolete negative regulation of blood vessel diameter
GO:0098679	obsolete regulation of carbohydrate catabolic process by regulation of transcription from RNA polymerase II promoter
GO:0100017	obsolete negative regulation of cell-cell adhesion by transcription from RNA polymerase II promoter
GO:0100018	obsolete regulation of glucose import by transcription from RNA polymerase II promoter
GO:0100020	obsolete regulation of transport by transcription from RNA polymerase II promoter
GO:0100021	obsolete regulation of iron ion transport by transcription from RNA polymerase II promoter
GO:0100023	obsolete regulation of meiotic nuclear division by transcription from RNA polymerase II promoter
GO:0100024	obsolete regulation of carbohydrate metabolic process by transcription from RNA polymerase II promoter
GO:0100025	obsolete negative regulation of cellular amino acid biosynthetic process by transcription from RNA polymerase II promoter
GO:0100026	obsolete positive regulation of DNA repair by transcription from RNA polymerase II promoter
GO:0100032	obsolete positive regulation of phospholipid biosynthetic process by transcription from RNA polymerase II promoter
GO:0100036	obsolete positive regulation of purine nucleotide biosynthetic process by transcription from RNA polymerase II promoter
GO:0100051	obsolete positive regulation of meiotic nuclear division by transcription from RNA polymerase II promoter
GO:0100070	obsolete obsolete regulation of fatty acid biosynthetic process by transcription from RNA polymerase II promoter
GO:0120038	obsolete plasma membrane bounded cell projection part
GO:0140603	obsolete ATP hydrolysis activity
GO:1900387	obsolete negative regulation of cell-cell adhesion by negative regulation of transcription from RNA polymerase II promoter
GO:1900389	obsolete regulation of glucose import by regulation of transcription from RNA polymerase II promoter
GO:1900392	obsolete regulation of transport by negative regulation of transcription from RNA polymerase II promoter
GO:1900402	obsolete regulation of carbohydrate metabolic process by regulation of transcription from RNA polymerase II promoter
GO:1900403	obsolete negative regulation of cellular amino acid biosynthetic process by negative regulation of transcription from RNA polymerase II promoter
GO:1900404	obsolete positive regulation of DNA repair by positive regulation of transcription from RNA polymerase II promoter
GO:1900413	obsolete positive regulation of phospholipid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter
GO:1900418	obsolete positive regulation of purine nucleotide biosynthetic process by positive regulation of transcription from RNA polymerase II promoter
GO:1901213	obsolete regulation of transcription from RNA polymerase II promoter involved in heart development
GO:1901227	obsolete negative regulation of transcription from RNA polymerase II promoter involved in heart development
GO:1901228	obsolete positive regulation of transcription from RNA polymerase II promoter involved in heart development
GO:1902064	obsolete regulation of transcription from RNA polymerase II promoter involved in spermatogenesis
GO:1903759	obsolete signal transduction involved in regulation of aerobic respiration
GO:2000531	obsolete regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter
GO:2001273	obsolete regulation of glucose import in response to insulin stimulus
GO:2001274	obsolete negative regulation of glucose import in response to insulin stimulus
GO:2001275	obsolete positive regulation of glucose import in response to insulin stimulus
HP:0001322	obsolete Brain very small
HP:0002459	obsolete Dysautonomia
HP:0002648	obsolete Abnormality of calvarial morphology
HP:0006504	obsolete Anomaly of the limb diaphyses morphology
HP:0007435	obsolete Diffuse palmoplantar keratoderma
HP:0010985	obsolete Gonosomal inheritance
HP:0011016	obsolete Abnormality of urine glucose concentration
HP:0011357	obsolete Abnormality of hair density
HP:0012369	obsolete Abnormal malar bone morphology
GO:0044699	None
GO:0044710	None
GO:0044763	None
GO:0050880	None
GO:0070011	None
GO:0070838	None
GO:0072358	None
GO:0072509	None
GO:0072511	None
GO:0097689	None
GO:0098589	None
GO:0098805	None
GO:1900393	None
GO:1903827	None
GO:1904167	None
GO:1904168	None
GO:1904169	None
GO:1990613	None
GO:2000823	None
GO:2000824	None
HP:0012374	obsolete Abnormal globe morphology
HP:0040066	obsolete Abnormal morphology of bones of the lower limbs
HP:0040077	obsolete Abnormal concentration of calcium in blood
HP:0040215	obsolete Abnormal circulating insulin level
HP:0040290	obsolete Abnormality of skeletal muscles
MONDO:0000002	obsolete 46,XX sex reversal
MONDO:0000003	obsolete 17-hydroxysteroid dehydrogenase deficiency
MONDO:0000006	obsolete alopecia-mental retardation syndrome
MONDO:0000007	obsolete atypical Mycobacteriosis, familial
MONDO:0000008	obsolete bare lymphocyte syndrome
MONDO:0000010	obsolete cerebrooculofacioskeletal syndrome
MONDO:0000011	obsolete chondrodysplasia
MONDO:0000012	obsolete choreoathetosis
MONDO:0000013	obsolete choroidal dystrophy
MONDO:0000016	obsolete coronary heart disease
MONDO:0000017	obsolete deafness, autosomal recessive
MONDO:0000018	obsolete myotonic dystrophy
MONDO:0000019	obsolete ectodermal dysplasia
MONDO:0000020	obsolete elliptocytosis
MONDO:0000021	obsolete short-rib thoracic dysplasia
MONDO:0000024	obsolete exostoses, multiple
MONDO:0000025	obsolete familial cold autoinflammatory syndrome
MONDO:0000026	obsolete Fanconi renotubular syndrome
MONDO:0000027	obsolete epilepsy, absence
MONDO:0000028	obsolete epilepsy, hot water
MONDO:0000029	obsolete corticosterone methyloxidase deficiency
MONDO:0000031	obsolete fatty liver disease, nonalcoholic
MONDO:0000033	obsolete frontonasal dysplasia
MONDO:0000034	obsolete glomerulopathy with fibronectin deposits
MONDO:0000035	obsolete glucocorticoid deficiency
MONDO:0000036	obsolete hemolytic anemia, nonspherocytic
MONDO:0000037	obsolete herpes simplex encephalitis, susceptibility
MONDO:0000038	obsolete hyper-IgE recurrent infection syndrome
MONDO:0000039	obsolete hypercalciuria, absorptive
MONDO:0000040	obsolete hyperphenylalaninemia, BH4-deficient
MONDO:0000041	obsolete hyperphosphatasia with mental retardation syndrome
MONDO:0000042	obsolete hyperprolinemia
MONDO:0000043	obsolete hypomagnesemia
MONDO:0000046	obsolete hypouricemia, renal
MONDO:0000047	obsolete immunodeficiency with hyper-IgM
MONDO:0000048	obsolete immunoglobulin A deficiency
MONDO:0000049	obsolete invasive pneumococcal disease, recurrent isolated
MONDO:0000051	obsolete keratoderma, palmoplantar striate
MONDO:0000052	obsolete leukodystrophy, hypomyelinating
MONDO:0000053	obsolete macroglobulinemia, Waldenstrom
MONDO:0000054	obsolete macular dystrophy
MONDO:0000055	obsolete major affective disorder
MONDO:0000056	obsolete mandibuloacral dysplasia with lipodystrophy
MONDO:0000057	obsolete medullary cystic kidney disease
MONDO:0000058	obsolete melanoma, cutaneous malignant
MONDO:0000059	obsolete methylmalonic aciduria and homocystinuria
MONDO:0000061	obsolete microcephaly, primary, autosomal recessive
MONDO:0000063	obsolete molybdenum cofactor deficiency
MONDO:0000064	obsolete syndromic microphthalmia
MONDO:0000067	obsolete mitochondrial DNA depletion syndrome
MONDO:0000068	obsolete mucolipidosis
MONDO:0000069	obsolete multiple endocrine neoplasia
MONDO:0000071	obsolete myopathy, myofibrillar
MONDO:0000072	obsolete myopathy, reducing body, X-linked
MONDO:0000073	obsolete nail disorder, nonsyndromic congenital
MONDO:0000074	obsolete neurodegeneration with brain iron accumulation
MONDO:0000076	obsolete neuropathy, hereditary sensory and autonomic
MONDO:0000077	obsolete nystagmus
MONDO:0000080	obsolete Oto-palato-digital syndrome
MONDO:0000081	obsolete ovarian dysgenesis
MONDO:0000083	obsolete Griscelli syndrome
MONDO:0000084	obsolete pigmented nodular adrenocortical disease
MONDO:0000085	obsolete pituitary hormone deficiency, combined
MONDO:0000086	obsolete polydactyly, preaxial
MONDO:0000089	obsolete age-related hearing impairment
MONDO:0000091	obsolete progressive familial heart block
