?term	?term_label	?related	?xref2
<http://purl.obolibrary.org/obo/MONDO_0010454>	"MRX88"	"intellectual disability, X-linked 88"	"OMIM:300852"
<http://purl.obolibrary.org/obo/MONDO_0010454>	"MRX88"	"intellectual disability, X-linked 88"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010250>	"MRX49"	"mental retardation, X-linked 49"	"OMIM:300114"
<http://purl.obolibrary.org/obo/MONDO_0010250>	"MRX49"	"mental retardation, X-linked 49"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012951>	"CRCS8"	"colorectal cancer, susceptibility to, 8"	"OMIM:612589"
<http://purl.obolibrary.org/obo/MONDO_0012951>	"CRCS8"	"colorectal cancer, susceptibility to, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012681>	"FEB7"	"febrile seizures, familial, 7"	"OMIM:611515"
<http://purl.obolibrary.org/obo/MONDO_0012681>	"FEB7"	"febrile seizures, familial, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012337>	"GLC1I"	"glaucoma 1, open angle, I"	"OMIM:609745"
<http://purl.obolibrary.org/obo/MONDO_0012337>	"GLC1I"	"glaucoma 1, open angle, I"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010405>	"HPCX2"	"prostate cancer, hereditary, X-linked 2"	"OMIM:300704"
<http://purl.obolibrary.org/obo/MONDO_0010405>	"HPCX2"	"prostate cancer, hereditary, X-linked 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010314>	"BPPX"	"polymicrogyria, bilateral perisylvian, X-linked"	"OMIM:300388"
<http://purl.obolibrary.org/obo/MONDO_0010314>	"BPPX"	"polymicrogyria, bilateral perisylvian, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013492>	"APMR3"	"alopecia-mental retardation syndrome 3"	"OMIM:613930"
<http://purl.obolibrary.org/obo/MONDO_0013492>	"APMR3"	"alopecia-mental retardation syndrome 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013831>	"KTCN6"	"keratoconus 6"	"OMIM:614623"
<http://purl.obolibrary.org/obo/MONDO_0013831>	"KTCN6"	"keratoconus 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012950>	"ANIB10"	"aneurysm, intracranial BERRY, 10"	"OMIM:612587"
<http://purl.obolibrary.org/obo/MONDO_0012950>	"ANIB10"	"aneurysm, intracranial BERRY, 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013704>	"MRT30"	"intellectual disability, autosomal recessive 30"	"OMIM:614342"
<http://purl.obolibrary.org/obo/MONDO_0013704>	"MRT30"	"intellectual disability, autosomal recessive 30"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013085>	"NBLST5"	"neuroblastoma, susceptibility to, 5"	"OMIM:613016"
<http://purl.obolibrary.org/obo/MONDO_0013085>	"NBLST5"	"neuroblastoma, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010910>	"ENUR1"	"enuresis, nocturnal, 1"	"OMIM:600631"
<http://purl.obolibrary.org/obo/MONDO_0010910>	"ENUR1"	"enuresis, nocturnal, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012782>	"CELIAC13"	"celiac disease, susceptibility to, 13"	"OMIM:612011"
<http://purl.obolibrary.org/obo/MONDO_0012782>	"CELIAC13"	"celiac disease, susceptibility to, 13"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012696>	"OTSC4"	"otosclerosis 4"	"OMIM:611571"
<http://purl.obolibrary.org/obo/MONDO_0012696>	"OTSC4"	"otosclerosis 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008654>	"NYS4"	"NYSTAGMUS 4, congenital, autosomal dominant"	"OMIM:193003"
<http://purl.obolibrary.org/obo/MONDO_0008654>	"NYS4"	"NYSTAGMUS 4, congenital, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013088>	"FL1"	"follicular lymphoma, susceptibility to, 1"	"OMIM:613024"
<http://purl.obolibrary.org/obo/MONDO_0013088>	"FL1"	"follicular lymphoma, susceptibility to, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010230>	"MRX23"	"intellectual disability, X-linked 23"	"OMIM:300046"
<http://purl.obolibrary.org/obo/MONDO_0010230>	"MRX23"	"intellectual disability, X-linked 23"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012491>	"WM2"	"macroglobulinemia, WALDENSTROM, susceptibility to, 2"	"OMIM:610430"
<http://purl.obolibrary.org/obo/MONDO_0012491>	"WM2"	"macroglobulinemia, WALDENSTROM, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012889>	"SS3"	"sarcoidosis, susceptibility to, 3"	"OMIM:612388"
<http://purl.obolibrary.org/obo/MONDO_0012889>	"SS3"	"sarcoidosis, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013096>	"GLM7"	"glioma susceptibility 7"	"OMIM:613032"
<http://purl.obolibrary.org/obo/MONDO_0013096>	"GLM7"	"glioma susceptibility 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013694>	"MRT31"	"mental retardation, autosomal recessive 31"	"OMIM:614329"
<http://purl.obolibrary.org/obo/MONDO_0013694>	"MRT31"	"mental retardation, autosomal recessive 31"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011295>	"SCZD7"	"schizophrenia 7"	"OMIM:603176"
<http://purl.obolibrary.org/obo/MONDO_0011295>	"SCZD7"	"schizophrenia 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011753>	"EIG2"	"epilepsy, idiopathic generalized, susceptibility to, 2"	"OMIM:606972"
<http://purl.obolibrary.org/obo/MONDO_0011753>	"EIG2"	"epilepsy, idiopathic generalized, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013973>	"ECTD5"	"ectodermal dysplasia 5, hair/nail type"	"OMIM:614927"
<http://purl.obolibrary.org/obo/MONDO_0013973>	"ECTD5"	"ectodermal dysplasia 5, hair/nail type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012797>	"OTSC8"	"otosclerosis 8"	"OMIM:612096"
<http://purl.obolibrary.org/obo/MONDO_0012797>	"OTSC8"	"otosclerosis 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012823>	"CRCS7"	"colorectal cancer, susceptibility to, 7"	"OMIM:612232"
<http://purl.obolibrary.org/obo/MONDO_0012823>	"CRCS7"	"colorectal cancer, susceptibility to, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013709>	"MRT28"	"mental retardation, autosomal recessive 28"	"OMIM:614347"
<http://purl.obolibrary.org/obo/MONDO_0013709>	"MRT28"	"mental retardation, autosomal recessive 28"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011800>	"GLM4"	"glioma susceptibility 4"	"OMIM:607248"
<http://purl.obolibrary.org/obo/MONDO_0011800>	"GLM4"	"glioma susceptibility 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010250>	"MRX49"	"intellectual disability, X-linked 49"	"OMIM:300114"
<http://purl.obolibrary.org/obo/MONDO_0010250>	"MRX49"	"intellectual disability, X-linked 49"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007877>	"LAP"	"laryngeal adductor paralysis"	"OMIM:150270"
<http://purl.obolibrary.org/obo/MONDO_0007877>	"LAP"	"laryngeal adductor paralysis"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012932>	"MYP16"	"myopia 16, autosomal dominant"	"OMIM:612554"
<http://purl.obolibrary.org/obo/MONDO_0012932>	"MYP16"	"myopia 16, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011627>	"AUTS5"	"autism, susceptibility to, 5"	"OMIM:606053"
<http://purl.obolibrary.org/obo/MONDO_0011627>	"AUTS5"	"autism, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008932>	"PCD"	"premature centromere division"	"OMIM:212790"
<http://purl.obolibrary.org/obo/MONDO_0008932>	"PCD"	"premature centromere division"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012470>	"HPC7"	"prostate cancer, hereditary, 7"	"OMIM:610321"
<http://purl.obolibrary.org/obo/MONDO_0012470>	"HPC7"	"prostate cancer, hereditary, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013086>	"NBLST6"	"neuroblastoma, susceptibility to, 6"	"OMIM:613017"
<http://purl.obolibrary.org/obo/MONDO_0013086>	"NBLST6"	"neuroblastoma, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012122>	"MYMY3"	"Moyamoya disease 3"	"OMIM:608796"
<http://purl.obolibrary.org/obo/MONDO_0012122>	"MYMY3"	"Moyamoya disease 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012069>	"KTCN3"	"keratoconus 3"	"OMIM:608586"
<http://purl.obolibrary.org/obo/MONDO_0012069>	"KTCN3"	"keratoconus 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012822>	"CRCS6"	"colorectal cancer, susceptibility to, 6"	"OMIM:612231"
<http://purl.obolibrary.org/obo/MONDO_0012822>	"CRCS6"	"colorectal cancer, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010274>	"TGCT1"	"testicular germ cell tumor 1"	"OMIM:300228"
<http://purl.obolibrary.org/obo/MONDO_0010274>	"TGCT1"	"testicular germ cell tumor 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012617>	"MRT9"	"mental retardation, autosomal recessive 9"	"OMIM:611095"
<http://purl.obolibrary.org/obo/MONDO_0012617>	"MRT9"	"mental retardation, autosomal recessive 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013708>	"MRT25"	"mental retardation, autosomal recessive 25"	"OMIM:614346"
<http://purl.obolibrary.org/obo/MONDO_0013708>	"MRT25"	"mental retardation, autosomal recessive 25"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011573>	"PSORS7"	"psoriasis 7, susceptibility to"	"OMIM:605606"
<http://purl.obolibrary.org/obo/MONDO_0011573>	"PSORS7"	"psoriasis 7, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010897>	"SCZD3"	"schizophrenia 3"	"OMIM:600511"
<http://purl.obolibrary.org/obo/MONDO_0010897>	"SCZD3"	"schizophrenia 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013496>	"IGAN2"	"IgA nephropathy, susceptibility to, 2"	"OMIM:613944"
<http://purl.obolibrary.org/obo/MONDO_0013496>	"IGAN2"	"IgA nephropathy, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010453>	"MRX92"	"intellectual disability, X-linked 92"	"OMIM:300851"
<http://purl.obolibrary.org/obo/MONDO_0010453>	"MRX92"	"intellectual disability, X-linked 92"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012134>	"EJM3"	"myoclonic epilepsy, juvenile, susceptibility to, 3"	"OMIM:608816"
<http://purl.obolibrary.org/obo/MONDO_0012134>	"EJM3"	"myoclonic epilepsy, juvenile, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010329>	"MRX77"	"intellectual disability, X-linked 77"	"OMIM:300454"
<http://purl.obolibrary.org/obo/MONDO_0010329>	"MRX77"	"intellectual disability, X-linked 77"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012338>	"EIG4"	"epilepsy, idiopathic generalized, susceptibility to, 4"	"OMIM:609750"
<http://purl.obolibrary.org/obo/MONDO_0012338>	"EIG4"	"epilepsy, idiopathic generalized, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012358>	"LPRS1"	"leprosy, susceptibility to, 1"	"OMIM:609888"
<http://purl.obolibrary.org/obo/MONDO_0012358>	"LPRS1"	"leprosy, susceptibility to, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013151>	"CACD3"	"choroidal dystrophy, central areolar, 3"	"OMIM:613144"
<http://purl.obolibrary.org/obo/MONDO_0013151>	"CACD3"	"choroidal dystrophy, central areolar, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010377>	"MYP13"	"myopia 13, X-linked"	"OMIM:300613"
<http://purl.obolibrary.org/obo/MONDO_0010377>	"MYP13"	"myopia 13, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010836>	"NNO1"	"nanophthalmos 1"	"OMIM:600165"
<http://purl.obolibrary.org/obo/MONDO_0010836>	"NNO1"	"nanophthalmos 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011656>	"PDB4"	"Paget disease of bone 4"	"OMIM:606263"
<http://purl.obolibrary.org/obo/MONDO_0011656>	"PDB4"	"Paget disease of bone 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008942>	"CPD2"	"cerebelloparenchymal disorder II"	"OMIM:213100"
<http://purl.obolibrary.org/obo/MONDO_0008942>	"CPD2"	"cerebelloparenchymal disorder II"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013814>	"PDCOS"	"podoconiosis, susceptibility to"	"OMIM:614590"
<http://purl.obolibrary.org/obo/MONDO_0013814>	"PDCOS"	"podoconiosis, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012264>	"PEE2"	"PREECLAMPSIA/eclampsia 2"	"OMIM:609402"
<http://purl.obolibrary.org/obo/MONDO_0012264>	"PEE2"	"PREECLAMPSIA/eclampsia 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008172>	"PHOAD"	"hypertrophic osteoarthropathy, primary, autosomal dominant"	"OMIM:167100"
