defined_class	defined_class_label	disease	disease_label	exposure	exposure_label
http://purl.obolibrary.org/obo/MONDO_0060781	Preeyasombat-Varavithya syndrome	http://purl.obolibrary.org/obo/MONDO_0001083	Fanconi renotubular syndrome	http://purl.obolibrary.org/obo/ECTO_9000364	exposure to tetracycline
http://purl.obolibrary.org/obo/MONDO_0003245	aflatoxin-related hepatocellular carcinoma	http://purl.obolibrary.org/obo/MONDO_0007256	hepatocellular carcinoma	http://purl.obolibrary.org/obo/ECTO_0001108	exposure to aflatoxin
http://purl.obolibrary.org/obo/MONDO_0021702	alcohol amnestic disorder	http://purl.obolibrary.org/obo/MONDO_0001152	amnestic disorder	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0021698	alcohol-related disorders	http://purl.obolibrary.org/obo/MONDO_0002494	substance-related disorder	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0006643	alcoholic cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0004994	cardiomyopathy	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0021104	alcoholic fatty liver disease	http://purl.obolibrary.org/obo/MONDO_0004790	fatty liver disease	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0004640	alcoholic gastritis	http://purl.obolibrary.org/obo/MONDO_0004966	gastritis	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0001505	alcoholic hepatitis	http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0006644	alcoholic liver cirrhosis	http://purl.obolibrary.org/obo/MONDO_0005155	cirrhosis of liver	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0043693	alcoholic liver diseases	http://purl.obolibrary.org/obo/MONDO_0005154	liver disease	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0003232	alcoholic pancreatitis	http://purl.obolibrary.org/obo/MONDO_0004982	pancreatitis	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0006645	alcoholic polyneuropathy	http://purl.obolibrary.org/obo/MONDO_0001824	polyneuropathy	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0002330	alcoholic psychosis	http://purl.obolibrary.org/obo/MONDO_0005485	psychotic disorder	http://purl.obolibrary.org/obo/ECTO_0001082	exposure to alcohol consumption
http://purl.obolibrary.org/obo/MONDO_0044663	aquagenic palmoplantar keratoderma	http://purl.obolibrary.org/obo/MONDO_0006590	palmoplantar keratosis	http://purl.obolibrary.org/obo/ECTO_9000156	exposure to water
http://purl.obolibrary.org/obo/MONDO_0029001	chemically-induced disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/ECTO_0000231	exposure to chemical
http://purl.obolibrary.org/obo/MONDO_0043523	cadmium poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/ECTO_0001566	exposure to cadmium
http://purl.obolibrary.org/obo/MONDO_0000706	chemical colitis	http://purl.obolibrary.org/obo/MONDO_0005292	colitis	http://purl.obolibrary.org/obo/ECTO_0000231	exposure to chemical
