mondo_id	term_label	correct_form	misspelled_synonym	anchor
MONDO:0008306	ABri amyloidosis	ABri amyloidosis	Bri amyloidosis	label
MONDO:0008830	aspartylglucosaminuria	aspartylglucosaminuria	Aspartylglycosaminuria	label
MONDO:0019187	Axenfeld-Rieger syndrome	Axenfeld-Rieger syndrome	Axenfeldt-Rieger syndrome	label
MONDO:0007339	blepharocheilodontic syndrome	blepharo-cheilo-dontic syndrome	blepharo-cheilo-odontic syndrome	label
MONDO:0022013	Boerhaave syndrome	Boerhaave syndrome	Boerhave syndrome	label
MONDO:0100492	Bonnevie-Ullrich syndrome	Bonnevie-Ullrich syndrome	Bonnevie-Ulrich syndrome	label
MONDO:0008904	camptomelic syndrome, long-limb type	Camptomelic syndrome long limb type	campomelic syndrome long limb type	label
MONDO:0007542	Camurati-Engelmann disease	Camurati-Engelmann disease	Camurati-Englemann disease	label
MONDO:0003736	cancerophobia	cancerophobia	Cancerphobia	label
MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	cerebral arteriopathy with subcortical infaracts and leukoencephalopathy	label
MONDO:0019149	cholesteryl ester storage disease	cholesteryl ester storage disease	cholesterol ester storage disease	label
MONDO:0019809	congenital aortic valve insufficiency	congenital aortic valve insufficiency	Congential aortic valve insufficiency	label
MONDO:0017463	congenital pseudoarthrosis of the femur	congenital pseudoarthrosis of the femur	congenital pseudarthrosis of the femur	label
MONDO:0017464	congenital pseudoarthrosis of the fibula	congenital pseudoarthrosis of the fibula	congenital pseudarthrosis of the fibula	label
MONDO:0015525	congenital pseudoarthrosis of the limbs	congenital pseudoarthrosis of the limbs	congenital pseudarthrosis of the limbs	label
MONDO:0017465	congenital pseudoarthrosis of the radius	congenital pseudoarthrosis of the radius	congenital pseudarthrosis of the radius	label
MONDO:0017462	congenital pseudoarthrosis of the tibia	congenital pseudoarthrosis of the tibia	congenital pseudarthrosis of the tibia	label
MONDO:0017466	congenital pseudoarthrosis of the ulna	congenital pseudoarthrosis of the ulna	congenital pseudarthrosis of the ulna	label
MONDO:0008338	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A	contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A	label
