mondo_id	correct_term	proposed_misspelling_synonym
MONDO:0004979	asthma 	asma
MONDO:0004979	asthma 	athsma
MONDO:0004979	asthma 	asthama
MONDO:0004979	asthma 	ashma
MONDO:0004979	asthma 	astma
MONDO:0005015	diabetes 	diabetis
MONDO:0005015	diabetes 	diabeties
MONDO:0005015	diabetes 	diabetus
MONDO:0005015	diabetes 	diabetees
MONDO:0005015	diabetes 	diabetes melitus
MONDO:0005015	diabetes 	diabetis mellitus
MONDO:0005249	pneumonia 	newmonia
MONDO:0005249	pneumonia 	pnumonia
MONDO:0005249	pneumonia 	pnemonia
MONDO:0005249	pneumonia 	pneumona
MONDO:0005249	pneumonia 	neumonia
MONDO:0004975	Alzheimer disease 	alzeimers disease
MONDO:0004975	Alzheimer disease 	altzheimers disease
MONDO:0004975	Alzheimer disease 	alzhiemer disease
MONDO:0004975	Alzheimer disease 	alzeimer disease
MONDO:0004975	Alzheimer disease 	alzheimers desease
MONDO:0005180	Parkinson disease 	parkinsons disease
MONDO:0005180	Parkinson disease 	parkison disease
MONDO:0005180	Parkinson disease 	parkinson's desease
MONDO:0005180	Parkinson disease 	parkingson disease
MONDO:0004355	leukemia 	leukimia
MONDO:0004355	leukemia 	lukemia
MONDO:0004355	leukemia 	leukema
MONDO:0004355	leukemia 	luekemia
MONDO:0004355	leukemia 	leukiemia
MONDO:0005083	psoriasis 	soriasis
MONDO:0005083	psoriasis 	psorisis
MONDO:0005083	psoriasis 	sorisis
MONDO:0005083	psoriasis 	psoriaisis
MONDO:0005083	psoriasis 	psriasis
MONDO:0004980	eczema 	exczema
MONDO:0004980	eczema 	ekzema
MONDO:0004980	eczema 	eczma
MONDO:0004980	eczema 	exzema
MONDO:0004980	eczema 	eggzema
MONDO:0004277	gonorrhea 	gonorreah
MONDO:0004277	gonorrhea 	gonorhea
MONDO:0004277	gonorrhea 	gonorrea
MONDO:0004277	gonorrhea 	gonnorhea
MONDO:0004277	gonorrhea 	gonhorrea
MONDO:0004277	gonorrhea 	gonorreaha
MONDO:0005976	syphilis 	syphillis
MONDO:0005976	syphilis 	siphilis
MONDO:0005976	syphilis 	syphilus
MONDO:0005976	syphilis 	sifilis
MONDO:0005976	syphilis 	syphlis
MONDO:0005976	syphilis 	syphillus
MONDO:0004872	hemorrhoid 	hemroid
MONDO:0004872	hemorrhoid 	hemorroid
MONDO:0004872	hemorrhoid 	hemorhoid
MONDO:0004872	hemorrhoid 	hemmoroid
MONDO:0004872	hemorrhoid 	haemorroid
MONDO:0001673	diarrhea 	diarhea
MONDO:0001673	diarrhea 	diarrea
MONDO:0001673	diarrhea 	diahrrea
MONDO:0001673	diarrhea 	diarreah
MONDO:0001673	diarrhea 	diarhoea
MONDO:0005578	arthritis 	arthritus
MONDO:0005578	arthritis 	arthiritis
MONDO:0005578	arthritis 	athritis
MONDO:0005578	arthritis 	arthrytis
MONDO:0005578	arthritis 	arthirtis
MONDO:0005277	migraine 	migrane
MONDO:0005277	migraine 	migraene
MONDO:0005277	migraine 	migrain
MONDO:0005277	migraine 	migrainne
MONDO:0005277	migraine 	migreine
MONDO:0005090	schizophrenia 	schizophernia
MONDO:0005090	schizophrenia 	skitzophrenia
MONDO:0005090	schizophrenia 	schitzophrenia
MONDO:0005090	schizophrenia 	schizofrenia
MONDO:0005090	schizophrenia 	schizoprenia
MONDO:0018076	tuberculosis 	tuberculosus
MONDO:0018076	tuberculosis 	tubercolosis
MONDO:0018076	tuberculosis 	tubersculosis
MONDO:0018076	tuberculosis 	tuburculosis
MONDO:0005546	fibromyalgia 	fibromialgia
MONDO:0005546	fibromyalgia 	fibromyaglia
MONDO:0005546	fibromyalgia 	fibermyalgia
MONDO:0005546	fibromyalgia 	fibromyalga
MONDO:0005027	epilepsy 	epilepsi
MONDO:0005027	epilepsy 	epillepsy
MONDO:0005027	epilepsy 	epalepsy
MONDO:0005027	epilepsy 	epilipsy
MONDO:0005027	epilepsy 	epelepsy
MONDO:0005301	multiple sclerosis 	multiple schlerosis
MONDO:0005301	multiple sclerosis 	multiple sclerois
MONDO:0005301	multiple sclerosis 	multiple sclorosis
MONDO:0021108	meningitis 	meningitus
MONDO:0021108	meningitis 	menningitis
MONDO:0021108	meningitis 	meningites
MONDO:0021108	meningitis 	meningtis
MONDO:0003781	bronchitis 	bronchitus
MONDO:0003781	bronchitis 	broncitis
MONDO:0003781	bronchitis 	brochitis
MONDO:0003781	bronchitis 	bronchities
MONDO:0002251	hepatitis 	hepititis
MONDO:0002251	hepatitis 	hepatitus
MONDO:0002251	hepatitis 	hepetitis
MONDO:0002251	hepatitis 	hepatities
MONDO:0005155	cirrhosis 	cirosis
MONDO:0005155	cirrhosis 	cirrosis
MONDO:0005155	cirrhosis 	cirrohsis
MONDO:0005155	cirrhosis 	sirrhosis
MONDO:0005155	cirrhosis 	cirhosis
MONDO:0005041	glaucoma 	glacoma
MONDO:0005041	glaucoma 	glaukoma
MONDO:0005041	glaucoma 	glacuoma
MONDO:0005041	glaucoma 	glaocoma
MONDO:0005298	osteoporosis 	osteoperosis
MONDO:0005298	osteoporosis 	osteoporosos
MONDO:0005298	osteoporosis 	ostioporosis
MONDO:0005298	osteoporosis 	osteoprosis
MONDO:0005298	osteoporosis 	osteporosis
MONDO:0005812	influenza 	influensa
MONDO:0005812	influenza 	influena
MONDO:0005812	influenza 	infuenza
MONDO:0005812	influenza 	influeza
MONDO:0004619	measles 	measels
MONDO:0004619	measles 	meesles
MONDO:0004619	measles 	meazles
MONDO:0004619	measles 	measales
MONDO:0005649	appendicitis 	appendicitus
MONDO:0005649	appendicitis 	apendicitis
MONDO:0005649	appendicitis 	appendisitis
MONDO:0005649	appendicitis 	appendicites
MONDO:0004235	diverticulitis 	diverticulitus
MONDO:0004235	diverticulitis 	divirticulitis
MONDO:0004235	diverticulitis 	diverticulits
MONDO:0024333	sciatica 	syatica
MONDO:0024333	sciatica 	siatica
MONDO:0024333	sciatica 	schiatica
MONDO:0024333	sciatica 	siyatica
MONDO:0024333	sciatica 	sciatca
MONDO:0005133	endometriosis 	endometriosus
MONDO:0005133	endometriosis 	endometreosis
MONDO:0005133	endometriosis 	endrometriosis
MONDO:0005133	endometriosis 	endometrios
MONDO:0008383	rheumatoid arthritis 	rheumetoid arthritis
MONDO:0008383	rheumatoid arthritis 	rhumatoid arthritis
MONDO:0008383	rheumatoid arthritis 	rheumatiod arthritis
MONDO:0008383	rheumatoid arthritis 	rheumotoid arthritis
MONDO:0005105	melanoma 	melanona
MONDO:0005105	melanoma 	melenoma
