category	mondo_id	term_label	suspect_synonym	closest_correct	match	edit
TYPO	MONDO:0008306	ABri amyloidosis	Bri amyloidosis	ABri amyloidosis	label	edit1
TYPO	MONDO:0019187	Axenfeld-Rieger syndrome	Axenfeldt-Rieger syndrome	Axenfeld-Rieger syndrome	label	edit1
TYPO	MONDO:0022013	Boerhaave syndrome	Boerhave syndrome	Boerhaave syndrome	label	edit1
TYPO	MONDO:0100492	Bonnevie-Ullrich syndrome	Bonnevie-Ulrich syndrome	Bonnevie-Ullrich syndrome	label	edit1
TYPO	MONDO:0007542	Camurati-Engelmann disease	Camurati-Englemann disease	Camurati-Engelmann disease	label	edit1
TYPO	MONDO:0003736	cancerophobia	Cancerphobia	cancerophobia	label	edit1
TYPO	MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	cerebral arteriopathy with subcortical infaracts and leukoencephalopathy	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	label	edit1
TYPO	MONDO:0019149	cholesteryl ester storage disease	cholesterol ester storage disease	cholesteryl ester storage disease	label	edit1
TYPO	MONDO:0019809	congenital aortic valve insufficiency	Congential aortic valve insufficiency	congenital aortic valve insufficiency	label	edit1
TYPO	MONDO:0017463	congenital pseudoarthrosis of the femur	congenital pseudarthrosis of the femur	congenital pseudoarthrosis of the femur	label	edit1
TYPO	MONDO:0017464	congenital pseudoarthrosis of the fibula	congenital pseudarthrosis of the fibula	congenital pseudoarthrosis of the fibula	label	edit1
TYPO	MONDO:0015525	congenital pseudoarthrosis of the limbs	congenital pseudarthrosis of the limbs	congenital pseudoarthrosis of the limbs	label	edit1
TYPO	MONDO:0017465	congenital pseudoarthrosis of the radius	congenital pseudarthrosis of the radius	congenital pseudoarthrosis of the radius	label	edit1
TYPO	MONDO:0017462	congenital pseudoarthrosis of the tibia	congenital pseudarthrosis of the tibia	congenital pseudoarthrosis of the tibia	label	edit1
TYPO	MONDO:0017466	congenital pseudoarthrosis of the ulna	congenital pseudarthrosis of the ulna	congenital pseudoarthrosis of the ulna	label	edit1
TYPO	MONDO:0008338	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A	contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A	label	edit1
TYPO	MONDO:0005413	cystic fibrosis associated meconium ileus	cystic fibrosis associated meconium ileum	cystic fibrosis associated meconium ileus	label	edit1
TYPO	MONDO:0005029	essential thrombocythemia	essential thrombocytemia	essential thrombocythemia	label	edit1
TYPO	MONDO:0060589	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	facial palsy, congenitla, with ptosis and velopharyngeal dysfunction	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	label	edit1
TYPO	MONDO:0013601	gluthathione peroxidase deficiency	glutathione peroxidase deficiency	gluthathione peroxidase deficiency	label	edit1
TYPO	MONDO:0009288	glycogen storage disease Ib	glycogen storage disease Ic	glycogen storage disease Ib	label	edit1
TYPO	MONDO:0010768	gonadoblastoma	gonad blastoma	gonadoblastoma	label	edit1
TYPO	MONDO:0007707	hemangiomas of small intestine	hemangioma of small intestine	hemangiomas of small intestine	label	edit1
TYPO	MONDO:0021022	hereditary hyperekplexia	hereditary hyperexplexia	hereditary hyperekplexia	label	edit1
TYPO	MONDO:0016344	hydranencephaly	Hydroanencephaly	hydranencephaly	label	edit1
TYPO	MONDO:0032796	hyper-IgE recurrent infection syndrome 4, autosomal recessive	hyper-IgE recurrent infection syndrome 4B, autosomal recessive	hyper-IgE recurrent infection syndrome 4, autosomal recessive	label	edit1
TYPO	MONDO:0033547	Li-Ghorbani-Weisz-Hubshman syndrome	Li-Ghorgani-Weisz-Hubshman syndrome	Li-Ghorbani-Weisz-Hubshman syndrome	label	edit1
TYPO	MONDO:0018856	lichen amyloidosis	lichen amyloidosus	lichen amyloidosis	label	edit1
TYPO	MONDO:0007899	lichen sclerosus et atrophicus	lichen sclerosis et atrophicus	lichen sclerosus et atrophicus	label	edit1
TYPO	MONDO:0009530	lipoid proteinosis	lipid proteinosis	lipoid proteinosis	label	edit1
TYPO	MONDO:0005060	liposarcoma	lip sarcoma	liposarcoma	label	edit1
TYPO	MONDO:0004332	lung hilum cancer	lung hilus cancer	lung hilum cancer	label	edit1
TYPO	MONDO:0004499	lung hilum carcinoma	lung hilus carcinoma	lung hilum carcinoma	label	edit1
TYPO	MONDO:0003639	lung hilum neoplasm	lung hilus neoplasm	lung hilum neoplasm	label	edit1
TYPO	MONDO:0004387	luteoma of pregnancy	leuteoma of pregnancy	luteoma of pregnancy	label	edit1
TYPO	MONDO:0014820	mitochondrial DNA depletion syndrome 14B (cardioencephalomyopathic type)	mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type)	mitochondrial DNA depletion syndrome 14B (cardioencephalomyopathic type)	label	edit1
TYPO	MONDO:0014249	multiple fibroadenoma of the breast	multiple fibroadenomas of the breast	multiple fibroadenoma of the breast	label	edit1
TYPO	MONDO:0010476	neurodegeneration with brain iron accumulation 5	neurodegeneration with brain iron accululation 5	neurodegeneration with brain iron accumulation 5	label	edit1
TYPO	MONDO:0031010	odontochondrodysplasia 2 with hearing loss and diabetes	ondontochondrodysplasia 2 with hearing loss and diabetes	odontochondrodysplasia 2 with hearing loss and diabetes	label	edit1
TYPO	MONDO:0008975	otospondylomegaepiphyseal dysplasia	otospondylmegaepiphyseal dysplasia	otospondylomegaepiphyseal dysplasia	label	edit1
TYPO	MONDO:0700088	paroxysmal nonkinesigenic dyskinesia	Paroxysomal nonkinesigenic dyskinesia	paroxysmal nonkinesigenic dyskinesia	label	edit1
TYPO	MONDO:0001042	patellar tendinitis	patellar tendonitis	patellar tendinitis	label	edit1
TYPO	MONDO:0007564	pilomatrixoma	pilomatricoma	pilomatrixoma	label	edit1
TYPO	MONDO:0015388	polyrrhinia	Polyrhinia	polyrrhinia	label	edit1
TYPO	MONDO:0009726	proteosome-associated autoinflammatory syndrome	proteasome-associated autoinflammatory syndrome	proteosome-associated autoinflammatory syndrome	label	edit1
TYPO	MONDO:0025382	sarcoma, avian	sarcomas, Avian	sarcoma, avian	label	edit1
TYPO	MONDO:0006969	sialadenitis	sialoadenitis	sialadenitis	label	edit1
TYPO	MONDO:0005095	spondyloarthropathy	spondylarthropathy	spondyloarthropathy	label	edit1
TYPO	MONDO:0006988	sulfhemoglobinemia	Sulfemoglobinemia	sulfhemoglobinemia	label	edit1
TYPO	MONDO:0010434	synovial sarcoma	Synovialosarcoma	synovial sarcoma	label	edit1
TYPO	MONDO:0004857	tendinitis	tendonitis	tendinitis	label	edit1
TYPO	MONDO:0006469	tibial adamantinoma	tibia adamantinoma	tibial adamantinoma	label	edit1
TYPO	MONDO:0001039	tonsillitis	tonsilitis	tonsillitis	label	edit1
TYPO	MONDO:0019085	vernal keratoconjunctivitis	Vernal Keratonconjunctivitis	vernal keratoconjunctivitis	label	edit1
TYPO	MONDO:0008306	ABri amyloidosis	ABri amyloidosis	Bri amyloidosis	synonym	edit1
TYPO	MONDO:0043468	acne keloid	acne, nuchal keloid	Acnes, nuchal keloid	synonym	edit1
TYPO	MONDO:0043468	acne keloid	Acnes, nuchal keloid	acne, nuchal keloid	synonym	edit1
TYPO	MONDO:0043468	acne keloid	keloid acne, nuchal	keloid Acnes, nuchal	synonym	edit1
TYPO	MONDO:0043468	acne keloid	keloid Acnes, nuchal	keloid acne, nuchal	synonym	edit1
TYPO	MONDO:0001569	acoustic neuroma	acoustic neurilemmoma	acoustic neurilemoma	synonym	edit1
TYPO	MONDO:0001569	acoustic neuroma	acoustic neurilemoma	acoustic neurilemmoma	synonym	edit1
TYPO	MONDO:0017858	acute erythroid leukemia	acute erythroleukemia M6a subtype	acute erythroleukemia M6b subtype	synonym	edit1
TYPO	MONDO:0017858	acute erythroid leukemia	acute erythroleukemia M6b subtype	acute erythroleukemia M6a subtype	synonym	edit1
TYPO	MONDO:0011786	allergic rhinitis	Perenial allergic rhinitis	perennial allergic rhinitis	synonym	edit1
TYPO	MONDO:0011786	allergic rhinitis	perennial allergic rhinitis	Perenial allergic rhinitis	synonym	edit1
TYPO	MONDO:0015045	alpha-heavy chain disease	Mediterranean lymphoma	Mediterraneanl lymphoma	synonym	edit1
TYPO	MONDO:0015045	alpha-heavy chain disease	Mediterraneanl lymphoma	Mediterranean lymphoma	synonym	edit1
TYPO	MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	Lytico-Bodig disease	Lytigo-Bodig disease	synonym	edit1
TYPO	MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	Lytigo-Bodig disease	Lytico-Bodig disease	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	epidermolytic palmoplantar keratoderma woolly hair and dilated cardiomyopathy	epidermolytic palmoplantar keratoderma wooly hair and dilated cardiomyopathy	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	epidermolytic palmoplantar keratoderma wooly hair and dilated cardiomyopathy	epidermolytic palmoplantar keratoderma woolly hair and dilated cardiomyopathy	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	keratoderma with woolly hair type II	keratoderma with wooly hair type II	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	keratoderma with wooly hair type II	keratoderma with woolly hair type II	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	palmoplantar keratoderma with left ventricular cardiomyopathy and woolly hair	palmoplantar keratoderma with left ventricular cardiomyopathy and wooly hair	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	palmoplantar keratoderma with left ventricular cardiomyopathy and wooly hair	palmoplantar keratoderma with left ventricular cardiomyopathy and woolly hair	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	woolly hair - palmoplantar keratoderma - dilated cardiomyopathy	wooly hair - palmoplantar keratoderma - dilated cardiomyopathy	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	woolly hair-palmoplantar hyperkeratosis-dilated cardiomyopathy syndrome	wooly hair-palmoplantar hyperkeratosis-dilated cardiomyopathy syndrome	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	wooly hair - palmoplantar keratoderma - dilated cardiomyopathy	woolly hair - palmoplantar keratoderma - dilated cardiomyopathy	synonym	edit1
TYPO	MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	wooly hair-palmoplantar hyperkeratosis-dilated cardiomyopathy syndrome	woolly hair-palmoplantar hyperkeratosis-dilated cardiomyopathy syndrome	synonym	edit1
