source	source_version	source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translator	translation_precision	translation_status	translator_expertise
		en	jp	MONDO:0100610	rdfs:label	autism spectrum disorder 1				NOT_TRANSLATED	
		en	jp	MONDO:0100611	rdfs:label	autism spectrum disorder 2				NOT_TRANSLATED	
		en	jp	MONDO:0100612	rdfs:label	autism spectrum disorder 3				NOT_TRANSLATED	
		en	jp	MONDO:0100620	rdfs:label	developmental and epileptic encephalopathy				NOT_TRANSLATED	
		en	jp	MONDO:0100621	rdfs:label	acquired developmental and epileptic encephalopathy				NOT_TRANSLATED	
		en	jp	MONDO:0100623	rdfs:label	meningitis-retention syndrome				NOT_TRANSLATED	
		en	jp	MONDO:0100624	rdfs:label	DCTN1-related neurodegeneration				NOT_TRANSLATED	
		en	jp	MONDO:0100625	rdfs:label	childhood-onset dementia				NOT_TRANSLATED	
		en	jp	MONDO:0100626	rdfs:label	SOX11-related complex neurodevelopmental disorder with or without congenital anomalies				NOT_TRANSLATED	
		en	jp	MONDO:0100627	rdfs:label	CFTR-related metabolic syndrome/CF screen positive, inconclusive diagnosis				NOT_TRANSLATED	
		en	jp	MONDO:0100628	rdfs:label	SAMD9-related spectrum and myeloid neoplasm risk				NOT_TRANSLATED	
		en	jp	MONDO:0100629	rdfs:label	KIF5A-related neurological disorder				NOT_TRANSLATED	
		en	jp	MONDO:0100630	rdfs:label	acquired sleep-related hypermotor epilepsy				NOT_TRANSLATED	
		en	jp	MONDO:0100631	rdfs:label	sleep-related hypermotor epilepsy				NOT_TRANSLATED	
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-02-03/mondo.owl	en	ja	MONDO:0700178	rdfs:label	feline oral squamous cell carcinoma		https://dbcls.rois.ac.jp/index-en.html		NOT_TRANSLATED	
		en	jp	MONDO:0700340	rdfs:label	congenital megaprepuce				NOT_TRANSLATED	
		en	jp	MONDO:0700341	rdfs:label	monilethrix-2				NOT_TRANSLATED	
		en	jp	MONDO:0700342	rdfs:label	monilethrix-3				NOT_TRANSLATED	
		en	jp	MONDO:0700343	rdfs:label	monilethrix-1				NOT_TRANSLATED	
		en	jp	MONDO:0700344	rdfs:label	CEP164-related ciliopathy				NOT_TRANSLATED	
		en	jp	MONDO:0700349	rdfs:label	ACTN2-related cardiac and skeletal myopathy				NOT_TRANSLATED	
		en	jp	MONDO:0700385	rdfs:label	Camurati-Engelmann disease type 1				NOT_TRANSLATED	
		en	jp	MONDO:0700386	rdfs:label	enhanced S-cone syndrome 2				NOT_TRANSLATED	
		en	jp	MONDO:0700387	rdfs:label	dentin dysplasia, type IB				NOT_TRANSLATED	
		en	jp	MONDO:0700388	rdfs:label	cardiac conduction disease with or without dilated cardiomyopathy 1				NOT_TRANSLATED	
		en	jp	MONDO:0700389	rdfs:label	cardiac conduction disease with or without cardiomyopathy 2				NOT_TRANSLATED	
		en	jp	MONDO:0700390	rdfs:label	follicular lymphoma, susceptibility to, 2				NOT_TRANSLATED	
		en	jp	MONDO:0700391	rdfs:label	autoinflammation and autoimmunity with immune dysregulation 1				NOT_TRANSLATED	
		en	jp	MONDO:0700392	rdfs:label	autoinflammation and autoimmunity with immune dysregulation 2				NOT_TRANSLATED	
		en	jp	MONDO:0700393	rdfs:label	idiopathic triglyceride deposit cardiomyovasculopathy				NOT_TRANSLATED	
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-02-03/mondo.owl	en	ja	MONDO:0800459	rdfs:label	noxacusis		https://dbcls.rois.ac.jp/index-en.html		NOT_TRANSLATED	
		en	jp	MONDO:0971082	rdfs:label	gastric duplication				NOT_TRANSLATED	
		en	jp	MONDO:0971083	rdfs:label	gallbladder duplication				NOT_TRANSLATED	
		en	jp	MONDO:0971084	rdfs:label	colonic duplication				NOT_TRANSLATED	
		en	jp	MONDO:0971085	rdfs:label	pyloric duplication				NOT_TRANSLATED	
		en	jp	MONDO:0971086	rdfs:label	small intestine duplication				NOT_TRANSLATED	
		en	jp	MONDO:0971089	rdfs:label	vasa previa				NOT_TRANSLATED	
		en	jp	MONDO:0971109	rdfs:label	isolated congenital femoral bifurcation				NOT_TRANSLATED	
		en	jp	MONDO:0975862	rdfs:label	B-lymphoblastic leukemia with MEF2D rearrangement				NOT_TRANSLATED	
		en	jp	MONDO:0975863	rdfs:label	B-lymphoblastic leukemia with MYC rearrangement				NOT_TRANSLATED	
		en	jp	MONDO:0975864	rdfs:label	B-lymphoblastic leukemia with NUTM1 rearrangement				NOT_TRANSLATED	
		en	jp	MONDO:0975865	rdfs:label	B-lymphoblastic leukemia with PAX5alt				NOT_TRANSLATED	
		en	jp	MONDO:0975866	rdfs:label	B-lymphoblastic leukemia with TCF3-HLF fusion				NOT_TRANSLATED	
		en	jp	MONDO:0975867	rdfs:label	B-lymphoblastic leukemia with ZNF384 rearrangement				NOT_TRANSLATED	
		en	jp	MONDO:0975868	rdfs:label	acute myeloid leukemia with CBFA2T3-GLIS2 fusion				NOT_TRANSLATED	
		en	jp	MONDO:0975870	rdfs:label	acute myeloid leukemia with FUS-ERG fusion				NOT_TRANSLATED	
		en	jp	MONDO:0975871	rdfs:label	acute myeloid leukemia with MNX1-ETV6 fusion				NOT_TRANSLATED	
		en	jp	MONDO:0975872	rdfs:label	acute myeloid leukemia with NPM1-MLF1 fusion				NOT_TRANSLATED	
		en	jp	MONDO:0975882	rdfs:label	intellectual disability-epilepsy-dental anomalies-facial dysmorphism syndrome				NOT_TRANSLATED	
		en	jp	MONDO:0975885	rdfs:label	hypertrophic olivary degeneration				NOT_TRANSLATED	
		en	jp	MONDO:0975887	rdfs:label	2q13 microdeletion syndrome				NOT_TRANSLATED	
		en	jp	MONDO:0975890	rdfs:label	mesothelioma of the tunica vaginalis				NOT_TRANSLATED	
		en	jp	MONDO:0975891	rdfs:label	combined immunodeficiency due to TBX1 deficiency				NOT_TRANSLATED	
		en	jp	MONDO:0975895	rdfs:label	non-fibrotic hypersensitivity pneumonitis				NOT_TRANSLATED	
		en	jp	MONDO:0975896	rdfs:label	fibrotic hypersensitivity pneumonitis				NOT_TRANSLATED	
		en	jp	MONDO:0975897	rdfs:label	post 5-alpha-reductase inhibitors treatment syndrome				NOT_TRANSLATED	
		en	jp	MONDO:0975898	rdfs:label	post-selective serotonin reuptake inhibitor sexual dysfunction				NOT_TRANSLATED	
