?cls	?clsLabel	?numSuperCls
<http://purl.obolibrary.org/obo/MONDO_0005796>	"HIV enteropathy"	1
<http://purl.obolibrary.org/obo/MONDO_0013299>	"chromosome 6q11-q14 deletion syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0017255>	"panuveitis (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0045053>	"osteogenic neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0001081>	"acute cervicitis"	2
<http://purl.obolibrary.org/obo/MONDO_0012006>	"craniosynostosis with ocular abnormalities and hallucal defects"	1
<http://purl.obolibrary.org/obo/MONDO_0001749>	"cortical senile cataract"	2
<http://purl.obolibrary.org/obo/MONDO_0019031>	"thrombocytopenia with congenital dyserythropoietic anemia"	3
<http://purl.obolibrary.org/obo/MONDO_0002353>	"glottis neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0021642>	"vulval varices"	2
<http://purl.obolibrary.org/obo/MONDO_0016268>	"papillary carcinoma of the corpus uteri"	3
<http://purl.obolibrary.org/obo/MONDO_0016801>	"mitochondrial substrate carrier disorder"	1
<http://purl.obolibrary.org/obo/MONDO_0007966>	"susceptibility to uveal melanoma"	1
<http://purl.obolibrary.org/obo/MONDO_0017598>	"primary cutaneous anaplastic large cell lymphoma"	4
<http://purl.obolibrary.org/obo/MONDO_0013616>	"pigmented nodular adrenocortical disease, primary, 3"	1
<http://purl.obolibrary.org/obo/MONDO_0019721>	"syndromic renal or urinary tract malformation"	4
<http://purl.obolibrary.org/obo/MONDO_0017346>	"Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly"	2
<http://purl.obolibrary.org/obo/MONDO_0014725>	"spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0015642>	"benign partial infantile seizures"	1
<http://purl.obolibrary.org/obo/MONDO_0018877>	"retinitis punctata albescens"	1
<http://purl.obolibrary.org/obo/MONDO_0007967>	"melanoma and neural system tumor syndrome"	8
<http://purl.obolibrary.org/obo/MONDO_0008873>	"microcephalic osteodysplastic primordial dwarfism, type 3"	2
<http://purl.obolibrary.org/obo/MONDO_0003835>	"gastric cardia adenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0017414>	"rare nevus"	3
<http://purl.obolibrary.org/obo/MONDO_0003851>	"ovarian fetiform teratoma"	1
<http://purl.obolibrary.org/obo/MONDO_0012267>	"holoprosencephaly 8"	1
<http://purl.obolibrary.org/obo/MONDO_0018754>	"cyanide poisoning"	1
<http://purl.obolibrary.org/obo/MONDO_0012342>	"7q11.23 microduplication syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0014289>	"macrocephaly-developmental delay syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0022598>	"brachydactyly absence of distal phalanges"	1
<http://purl.obolibrary.org/obo/MONDO_0018112>	"isolated scaphocephaly"	3
<http://purl.obolibrary.org/obo/MONDO_0014313>	"autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity"	1
<http://purl.obolibrary.org/obo/MONDO_0010909>	"UV-sensitive syndrome 1"	1
<http://purl.obolibrary.org/obo/MONDO_0019981>	"unilateral multicystic dysplastic kidney"	1
<http://purl.obolibrary.org/obo/MONDO_0016351>	"anti-HLA hyperimmunization"	1
<http://purl.obolibrary.org/obo/MONDO_0013458>	"hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0007800>	"chromosome 18p deletion syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0010020>	"congenital generalized lipodystrophy type 2"	2
<http://purl.obolibrary.org/obo/MONDO_0004075>	"infiltrating lipoma"	1
<http://purl.obolibrary.org/obo/MONDO_0014757>	"macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome"	6
<http://purl.obolibrary.org/obo/MONDO_0011167>	"type 1 diabetes mellitus 6"	1
