?cls	?cls_label	?textdef_count	?xref_count	?named_superclass_count	?anon_superclass_count	?named_equiv_count	?anon_equiv_count
<http://purl.obolibrary.org/obo/MONDO_0003978>	"colon small cell neuroendocrine carcinoma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0007908>	"multiple symmetric lipomatosis"	1	11	5	0	5	0
<http://purl.obolibrary.org/obo/MONDO_0000741>	"angular cheilitis"	1	6	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0002223>	"ovarian malignant mesothelioma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0007102>	"amyotrophic dystonic paraplegia"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0043280>	"Wallerian degeneration"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0001487>	"intrahepatic bile duct cancer"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0024674>	"Pancoast syndrome"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0008045>	"spinal muscular atrophy-progressive myoclonic epilepsy syndrome"	1	9	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0018778>	"intermediate Charcot-Marie-Tooth disease"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0009594>	"metaphyseal chondrodysplasia, Kaitila type"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0000120>	"obsolete ectopia lentis, isolated"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0015473>	"cryptorchidism-arachnodactyly-intellectual disability syndrome"	1	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0011983>	"autoimmune thyroid disease, susceptibility to, 4"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0011981>	"autoimmune thyroid disease, susceptibility to, 2"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0015004>	"dystonia 28, childhood-onset; DYT28"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0043355>	"collagenous gastritis"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0015065>	"ileal neuroendocrine tumor, well differentiated, low or intermediate grade"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0003856>	"adult malignant hemangiopericytoma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0000806>	"horned turban snail allergy"	1	1	0	0	0	1
<http://purl.obolibrary.org/obo/MONDO_0007770>	"hyperpigmentation of Fuldauer and Kuijpers"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0017754>	"inborn disorder of porphyrin metabolism"	1	11	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0021532>	"fibroma of prostate"	1	4	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0007252>	"Gordon syndrome"	1	8	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0005366>	"chronic hepatitis B"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0015462>	"thin ribs-tubular bones-dysmorphism syndrome"	0	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0019677>	"brachydactyly type E"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0004860>	"vitreous disease"	1	4	0	0	0	1
<http://purl.obolibrary.org/obo/MONDO_0009674>	"muscular dystrophy, adult-onset, with leukoencephalopathy"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0014815>	"intellectual disability, autosomal recessive 52"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0001504>	"fetishism"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0004725>	"rectum carcinoma in situ"	1	7	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0005868>	"myelophthisic anemia"	1	8	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0023143>	"fetal enterovirus syndrome"	0	1	0	0	0	1
<http://purl.obolibrary.org/obo/MONDO_0011964>	"DPAGT1-CDG"	1	8	4	0	4	0
<http://purl.obolibrary.org/obo/MONDO_0008894>	"cataract-hypertrichosis-intellectual disability syndrome"	1	6	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0044225>	"obsolete creatine kinase, brain type, ectopic expression of"	0	1	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0000615>	"progesterone-receptor positive breast cancer"	0	1	0	0	0	1
<http://purl.obolibrary.org/obo/MONDO_0006014>	"vulvovaginal candidiasis"	1	9	3	0	3	1
<http://purl.obolibrary.org/obo/MONDO_0012046>	"congenital corneal opacities, cornea guttata, and corectopia"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0001790>	"spinal cord lipoma"	1	5	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0001361>	"spontaneous ocular nystagmus"	1	5	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0001486>	"obsolete Vogt-Koyanagi-Harada disease"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0019310>	"recessive dystrophic epidermolysis bullosa inversa"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0005107>	"obsolete hepatocellular adenoma"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0002830>	"obsolete ovary transitional cell carcinoma"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0018451>	"X-linked distal hereditary motor neuropathy"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0016446>	"acquired cutis laxa"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0004029>	"obsolete ureter small cell carcinoma"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0016580>	"congenital pulmonary airway malformation"	1	6	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0011982>	"autoimmune thyroid disease, susceptibility to, 3"	0	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0016700>	"anaplastic ependymoma"	1	8	3	0	3	1
<http://purl.obolibrary.org/obo/MONDO_0012467>	"cold-induced sweating syndrome 2"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0015998>	"isolated ectopia lentis"	1	10	3	0	3	1
<http://purl.obolibrary.org/obo/MONDO_0015392>	"nasal glial heterotopia"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0006048>	"obsolete pancreatic neuroendocrine tumor"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0017033>	"primary interstitial lung disease in childhood and adulthood due to alveolar vascular disorder"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0009224>	"fetal iodine syndrome"	1	6	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0018670>	"symptomatic form of fragile X syndrome in female carrier"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0003960>	"pulmonary large cell neuroendocrine carcinoma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0021002>	"syndactyly (disease)"	1	11	0	0	0	1
<http://purl.obolibrary.org/obo/MONDO_0018736>	"kaposiform lymphangiomatosis"	1	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0010615>	"isolated growth hormone deficiency type III"	0	7	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0000099>	"obsolete trichoepithelioma, multiple familial"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0005413>	"cystic fibrosis associated meconium ileum"	1	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0019676>	"brachydactyly type B"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0005355>	"coronary restenosis"	1	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0010759>	"Wildervanck syndrome"	1	8	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0004422>	"cerebral falx meningioma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0016156>	"qualitative or quantitative defects of FKRP"	0	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0016492>	"beta-thalassemia with other manifestations"	1	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0017482>	"humeral agenesis/hypoplasia, unilateral"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0004956>	"metastatic prostate carcinoma"	1	4	3	0	3	1
<http://purl.obolibrary.org/obo/MONDO_0006870>	"obsolete noma"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0015683>	"primary malignant peritoneal tumor"	0	5	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0016141>	"qualitative or quantitative defects of alpha-sarcoglycan"	0	1	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0005056>	"keratinizing squamous cell carcinoma"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0012919>	"type 1 diabetes mellitus 20"	1	5	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0020336>	"autosomal dominant Emery-Dreifuss muscular dystrophy"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0003649>	"esophageal neuroendocrine tumor"	1	5	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0020815>	"dentigerous cyst"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0008803>	"Antley-Bixler syndrome"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0017245>	"intralobar congenital pulmonary sequestration"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0007013>	"vasculogenic impotence"	1	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0002066>	"breast adenomyoepithelioma"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0018480>	"carcinoma of esophagus, salivary gland type"	0	9	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0015837>	"Unicervical bicornuate uterus"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0002811>	"main bronchus cancer"	1	6	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0015973>	"rare genetic coagulation disorder"	0	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0021145>	"disease of genitourinary system"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0004988>	"breast adenocarcinoma"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0018741>	"paracetamol poisoning"	0	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0014275>	"Fanconi renotubular syndrome 3"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0011532>	"hereditary spastic paraplegia 13"	1	7	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0009637>	"mitochondrial myopathy"	1	9	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0024546>	"hypertrophic osteoarthropathy, primary, autosomal recessive, 1"	1	1	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0018587>	"non-recovering obstetric brachial plexus lesion"	0	3	1	0	1	0
