defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0004924	chronic canaliculitis	http://purl.obolibrary.org/obo/MONDO_0005631	actinomycosis
http://purl.obolibrary.org/obo/MONDO_0004786	chronic cholangitis	http://purl.obolibrary.org/obo/MONDO_0004789	cholangitis
http://purl.obolibrary.org/obo/MONDO_0015574	chronic cutaneous lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0005282	cutaneous lupus erythematosus
http://purl.obolibrary.org/obo/MONDO_0004806	chronic eosinophilic pneumonia	http://purl.obolibrary.org/obo/MONDO_0005749	eosinophilic pneumonia
http://purl.obolibrary.org/obo/MONDO_0004757	chronic ethmoidal sinusitis	http://purl.obolibrary.org/obo/MONDO_0005756	ethmoid sinusitis
http://purl.obolibrary.org/obo/MONDO_0001120	chronic frontal sinusitis	http://purl.obolibrary.org/obo/MONDO_0001121	frontal sinusitis
http://purl.obolibrary.org/obo/MONDO_0001052	chronic fungal otitis externa	http://purl.obolibrary.org/obo/MONDO_0000262	otomycosis
http://purl.obolibrary.org/obo/MONDO_0001575	chronic gonococcal salpingitis	http://purl.obolibrary.org/obo/MONDO_0021159	gonococcal salpingitis
http://purl.obolibrary.org/obo/MONDO_0002029	chronic gonorrhea of cervix	http://purl.obolibrary.org/obo/MONDO_0021157	gonococcal cervicitis
http://purl.obolibrary.org/obo/MONDO_0019800	chronic hepatic porphyria	http://purl.obolibrary.org/obo/MONDO_0002520	hepatic porphyria
http://purl.obolibrary.org/obo/MONDO_0005366	chronic hepatitis B virus infection	http://purl.obolibrary.org/obo/MONDO_0005344	hepatitis B virus infection
http://purl.obolibrary.org/obo/MONDO_0005354	chronic hepatitis C virus infection	http://purl.obolibrary.org/obo/MONDO_0005231	hepatitis C virus infection
http://purl.obolibrary.org/obo/MONDO_0001122	chronic maxillary sinusitis	http://purl.obolibrary.org/obo/MONDO_0005842	maxillary sinusitis
http://purl.obolibrary.org/obo/MONDO_0021206	chronic non-suppurative otitis media	http://purl.obolibrary.org/obo/MONDO_0001212	non-suppurative otitis media
http://purl.obolibrary.org/obo/MONDO_0021204	chronic otitis media	http://purl.obolibrary.org/obo/MONDO_0005441	otitis media
http://purl.obolibrary.org/obo/MONDO_0005003	chronic pancreatitis	http://purl.obolibrary.org/obo/MONDO_0004982	pancreatitis
http://purl.obolibrary.org/obo/MONDO_0001917	chronic perichondritis of pinna	http://purl.obolibrary.org/obo/MONDO_0002246	perichondritis of auricle
http://purl.obolibrary.org/obo/MONDO_0015129	chronic primary adrenal insufficiency	http://purl.obolibrary.org/obo/MONDO_0015128	primary adrenal insufficiency
http://purl.obolibrary.org/obo/MONDO_0001920	chronic purulent otitis media	http://purl.obolibrary.org/obo/MONDO_0005975	suppurative otitis media
http://purl.obolibrary.org/obo/MONDO_0001110	chronic pyelonephritis	http://purl.obolibrary.org/obo/MONDO_0006939	pyelonephritis
http://purl.obolibrary.org/obo/MONDO_0004514	chronic rhinitis	http://purl.obolibrary.org/obo/MONDO_0003014	rhinitis
http://purl.obolibrary.org/obo/MONDO_0006031	chronic rhinosinusitis	http://purl.obolibrary.org/obo/MONDO_0005961	sinusitis
http://purl.obolibrary.org/obo/MONDO_0001474	chronic salpingo-oophoritis	http://purl.obolibrary.org/obo/MONDO_0001172	salpingo-oophoritis
http://purl.obolibrary.org/obo/MONDO_0001123	chronic sphenoidal sinusitis	http://purl.obolibrary.org/obo/MONDO_0005964	sphenoid sinusitis
http://purl.obolibrary.org/obo/MONDO_0001025	seminal vesicle chronic gonorrhea	http://purl.obolibrary.org/obo/MONDO_0001027	gonococcal seminal vesiculitis
http://purl.obolibrary.org/obo/MONDO_0001213	serous glue ear	http://purl.obolibrary.org/obo/MONDO_0021203	serous otitis media
