defined_class	defined_class_label	process	process_label
http://purl.obolibrary.org/obo/MONDO_0012996	AGAT deficiency	http://purl.obolibrary.org/obo/GO_0015068	glycine amidinotransferase activity
http://purl.obolibrary.org/obo/MONDO_0021190	DNA repair disease	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/MONDO_0018274	GM3 synthase deficiency	http://purl.obolibrary.org/obo/GO_0047291	lactosylceramide alpha-2,3-sialyltransferase activity
http://purl.obolibrary.org/obo/MONDO_0021060	RASopathy	http://purl.obolibrary.org/obo/GO_0007265	Ras protein signal transduction
http://purl.obolibrary.org/obo/MONDO_0005271	allergic disease	http://purl.obolibrary.org/obo/GO_0016068	type I hypersensitivity
http://purl.obolibrary.org/obo/MONDO_0017779	alpha-N-acetylgalactosaminidase deficiency	http://purl.obolibrary.org/obo/GO_0008456	alpha-N-acetylgalactosaminidase activity
http://purl.obolibrary.org/obo/MONDO_0037871	amino acid metabolism disease	http://purl.obolibrary.org/obo/GO_0006520	cellular amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0024422	auditory perceptual disorders	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound
http://purl.obolibrary.org/obo/MONDO_0005497	bone development disease	http://purl.obolibrary.org/obo/GO_0060348	bone development
http://purl.obolibrary.org/obo/MONDO_0022606	branchial arch disease	http://purl.obolibrary.org/obo/GO_0060037	pharyngeal system development
http://purl.obolibrary.org/obo/MONDO_0037792	carbohydrate metabolism disease	http://purl.obolibrary.org/obo/GO_0005975	carbohydrate metabolic process
http://purl.obolibrary.org/obo/MONDO_0045015	carbohydrate transport disease	http://purl.obolibrary.org/obo/GO_0008643	carbohydrate transport
http://purl.obolibrary.org/obo/MONDO_0045017	cholesterol biosynthetic process disease	http://purl.obolibrary.org/obo/GO_0006695	cholesterol biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0045016	cholesterol catabolic process disease	http://purl.obolibrary.org/obo/GO_0006707	cholesterol catabolic process
http://purl.obolibrary.org/obo/MONDO_0045008	cholesterol metabolism disease	http://purl.obolibrary.org/obo/GO_0008203	cholesterol metabolic process
http://purl.obolibrary.org/obo/MONDO_0003832	complement deficiency	http://purl.obolibrary.org/obo/GO_0006956	complement activation
http://purl.obolibrary.org/obo/MONDO_0024239	congenital anomaly of cardiovascular system	http://purl.obolibrary.org/obo/GO_0072359	circulatory system development
http://purl.obolibrary.org/obo/MONDO_0019512	congenital heart malformation	http://purl.obolibrary.org/obo/GO_0007507	heart development
http://purl.obolibrary.org/obo/MONDO_0045018	creatine biosynthetic process disease	http://purl.obolibrary.org/obo/GO_0006601	creatine biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0022919	cytokine receptor deficiency	http://purl.obolibrary.org/obo/GO_0004896	cytokine receptor activity
http://purl.obolibrary.org/obo/MONDO_0022953	delta-1-pyrroline-5-carboxylate dehydrogenase deficiency	http://purl.obolibrary.org/obo/GO_0003842	1-pyrroline-5-carboxylate dehydrogenase activity
http://purl.obolibrary.org/obo/MONDO_0019755	developmental defect during embryogenesis	http://purl.obolibrary.org/obo/GO_0048598	embryonic morphogenesis
http://purl.obolibrary.org/obo/MONDO_0002145	difference of sexual differentiation	http://purl.obolibrary.org/obo/GO_0007548	sex differentiation
