defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0018994	Charcot-Marie-Tooth disease type X	http://purl.obolibrary.org/obo/MONDO_0015626	Charcot-Marie-Tooth disease
http://purl.obolibrary.org/obo/MONDO_0010583	Dyggve-Melchior-Clausen syndrome, X-linked	http://purl.obolibrary.org/obo/MONDO_0009130	Dyggve-Melchior-Clausen disease
http://purl.obolibrary.org/obo/MONDO_0010520	X-linked Alport syndrome	http://purl.obolibrary.org/obo/MONDO_0018965	Alport syndrome
http://purl.obolibrary.org/obo/MONDO_0010586	X-linked Ehlers-Danlos syndrome	http://purl.obolibrary.org/obo/MONDO_0020066	Ehlers-Danlos syndrome
http://purl.obolibrary.org/obo/MONDO_0010222	X-linked Opitz G/BBB syndrome	http://purl.obolibrary.org/obo/MONDO_0017138	Opitz G/BBB syndrome
http://purl.obolibrary.org/obo/MONDO_0000425	X-linked disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0018451	X-linked distal hereditary motor neuropathy	http://purl.obolibrary.org/obo/MONDO_0018894	distal hereditary motor neuropathy
http://purl.obolibrary.org/obo/MONDO_0010420	X-linked erythropoietic protoporphyria	http://purl.obolibrary.org/obo/MONDO_0001676	erythropoietic protoporphyria
http://purl.obolibrary.org/obo/MONDO_0010585	X-linked hypohidrotic ectodermal dysplasia	http://purl.obolibrary.org/obo/MONDO_0016535	hypohidrotic ectodermal dysplasia
http://purl.obolibrary.org/obo/MONDO_0017269	X-linked ichthyosis syndrome	http://purl.obolibrary.org/obo/MONDO_0017263	inherited ichthyosis syndromic form
http://purl.obolibrary.org/obo/MONDO_0010716	X-linked lethal multiple pterygium syndrome	http://purl.obolibrary.org/obo/MONDO_0009668	lethal multiple pterygium syndrome
http://purl.obolibrary.org/obo/MONDO_0010627	X-linked lymphoproliferative syndrome	http://purl.obolibrary.org/obo/MONDO_0016537	lymphoproliferative syndrome
http://purl.obolibrary.org/obo/MONDO_0010539	X-linked mandibulofacial dysostosis	http://purl.obolibrary.org/obo/MONDO_0015483	mandibulofacial dysostosis
http://purl.obolibrary.org/obo/MONDO_0010294	X-linked severe congenital neutropenia	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia
http://purl.obolibrary.org/obo/MONDO_0010584	dyskeratosis congenita, X-linked	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita
http://purl.obolibrary.org/obo/MONDO_0010587	epidermodysplasia verruciformis, X-linked	http://purl.obolibrary.org/obo/MONDO_0009176	epidermodysplasia verruciformis
http://purl.obolibrary.org/obo/MONDO_0010626	hyper-IgM syndrome type 1	http://purl.obolibrary.org/obo/MONDO_0003947	hyper-IgM syndrome
