defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	http://purl.obolibrary.org/obo/MONDO_0004979	asthma
http://purl.obolibrary.org/obo/MONDO_0006525	allergic contact dermatitis	http://purl.obolibrary.org/obo/MONDO_0005480	contact dermatitis
http://purl.obolibrary.org/obo/MONDO_0005271	allergic disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0021202	allergic otitis media	http://purl.obolibrary.org/obo/MONDO_0005441	otitis media (disease)
http://purl.obolibrary.org/obo/MONDO_0000771	allergic respiratory disease	http://purl.obolibrary.org/obo/MONDO_0005087	respiratory system disease
http://purl.obolibrary.org/obo/MONDO_0011786	allergic rhinitis	http://purl.obolibrary.org/obo/MONDO_0003014	rhinitis
http://purl.obolibrary.org/obo/MONDO_0006526	allergic urticaria	http://purl.obolibrary.org/obo/MONDO_0005492	urticaria (disease)
http://purl.obolibrary.org/obo/MONDO_0005642	atopic conjunctivitis	http://purl.obolibrary.org/obo/MONDO_0003799	conjunctivitis (disease)
http://purl.obolibrary.org/obo/MONDO_0004980	atopic eczema	http://purl.obolibrary.org/obo/MONDO_0002406	dermatitis
http://purl.obolibrary.org/obo/MONDO_0004553	extrinsic allergic alveolitis	http://purl.obolibrary.org/obo/MONDO_0043905	pneumonitis
