defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0003786	childhood testicular choriocarcinoma	http://purl.obolibrary.org/obo/MONDO_0003508	choriocarcinoma of testis
http://purl.obolibrary.org/obo/MONDO_0003758	childhood testicular germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0010108	testicular germ cell tumor
http://purl.obolibrary.org/obo/MONDO_0003787	childhood testicular mixed germ cell cancer	http://purl.obolibrary.org/obo/MONDO_0003120	mixed testicular germ cell cancer
http://purl.obolibrary.org/obo/MONDO_0037250	childhood testicular neoplasm	http://purl.obolibrary.org/obo/MONDO_0021348	neoplasm of testis
http://purl.obolibrary.org/obo/MONDO_0003993	childhood vagina botryoid rhabdomyosarcoma	http://purl.obolibrary.org/obo/MONDO_0003994	botryoid-type embryonal rhabdomyosarcoma of the vagina
http://purl.obolibrary.org/obo/MONDO_0020072	childhood-onset epilepsy syndrome	http://purl.obolibrary.org/obo/MONDO_0015650	epilepsy syndrome
http://purl.obolibrary.org/obo/MONDO_0015738	childhood-onset nemaline myopathy	http://purl.obolibrary.org/obo/MONDO_0018958	nemaline myopathy
http://purl.obolibrary.org/obo/MONDO_0017014	interstitial lung disease specific to childhood	http://purl.obolibrary.org/obo/MONDO_0015925	interstitial lung disease
http://purl.obolibrary.org/obo/MONDO_0018325	juvenile myasthenia gravis	http://purl.obolibrary.org/obo/MONDO_0009688	myasthenia gravis
http://purl.obolibrary.org/obo/MONDO_0020367	juvenile open angle glaucoma	http://purl.obolibrary.org/obo/MONDO_0005041	glaucoma
http://purl.obolibrary.org/obo/MONDO_0003953	pediatric CNS choriocarcinoma	http://purl.obolibrary.org/obo/MONDO_0016740	choriocarcinoma of the central nervous system
http://purl.obolibrary.org/obo/MONDO_0019752	pediatric Castleman disease	http://purl.obolibrary.org/obo/MONDO_0015564	Castleman disease
http://purl.obolibrary.org/obo/MONDO_0003022	pediatric angiosarcoma	http://purl.obolibrary.org/obo/MONDO_0016982	angiosarcoma
http://purl.obolibrary.org/obo/MONDO_0004350	pediatric extraocular retinoblastoma	http://purl.obolibrary.org/obo/MONDO_0003078	extraocular retinoblastoma
http://purl.obolibrary.org/obo/MONDO_0018055	pediatric hepatocellular carcinoma	http://purl.obolibrary.org/obo/MONDO_0007256	hepatocellular carcinoma
http://purl.obolibrary.org/obo/MONDO_0004248	pediatric infratentorial ependymoma	http://purl.obolibrary.org/obo/MONDO_0020685	infratentorial ependymal tumor
http://purl.obolibrary.org/obo/MONDO_0004045	pediatric intraocular retinoblastoma	http://purl.obolibrary.org/obo/MONDO_0003077	intraocular retinoblastoma
http://purl.obolibrary.org/obo/MONDO_0003764	pediatric leptomeningeal melanoma	http://purl.obolibrary.org/obo/MONDO_0003761	leptomeningeal melanoma
http://purl.obolibrary.org/obo/MONDO_0003587	pediatric liposarcoma	http://purl.obolibrary.org/obo/MONDO_0005060	liposarcoma
http://purl.obolibrary.org/obo/MONDO_0003659	pediatric lymphoma	http://purl.obolibrary.org/obo/MONDO_0005062	lymphoma
http://purl.obolibrary.org/obo/MONDO_0003057	pediatric meningioma	http://purl.obolibrary.org/obo/MONDO_0016642	meningioma
http://purl.obolibrary.org/obo/MONDO_0003041	pediatric mesenchymal chondrosarcoma	http://purl.obolibrary.org/obo/MONDO_0006853	mesenchymal chondrosarcoma
http://purl.obolibrary.org/obo/MONDO_0003898	pediatric myxoid chondrosarcoma	http://purl.obolibrary.org/obo/MONDO_0003681	myxoid chondrosarcoma
http://purl.obolibrary.org/obo/MONDO_0004193	pediatric ovarian dysgerminoma	http://purl.obolibrary.org/obo/MONDO_0003481	dysgerminoma of ovary
http://purl.obolibrary.org/obo/MONDO_0003760	pediatric ovarian germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0011366	ovarian germ cell tumor
http://purl.obolibrary.org/obo/MONDO_0004249	pediatric supratentorial ependymoma	http://purl.obolibrary.org/obo/MONDO_0020687	supratentorial ependymal tumor
http://purl.obolibrary.org/obo/MONDO_0019725	pediatric systemic lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0007915	systemic lupus erythematosus
http://purl.obolibrary.org/obo/MONDO_0011014	pleuropulmonary blastoma	http://purl.obolibrary.org/obo/MONDO_0005933	pulmonary blastoma
