defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/MONDO_0002864	anus rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0002859	breast rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0002850	central nervous system rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0002577	extrahepatic bile duct rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0002856	gallbladder rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0002849	liver rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/MONDO_0002851	mediastinum rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0003728	mediastinum
http://purl.obolibrary.org/obo/MONDO_0002580	orbit rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0004088	orbital region
http://purl.obolibrary.org/obo/MONDO_0002858	ovary rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000992	ovary
http://purl.obolibrary.org/obo/MONDO_0006389	prostate rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0002367	prostate gland
http://purl.obolibrary.org/obo/MONDO_0002853	rectum rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0016282	rhabdomyosarcoma of the cervix uteri	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
http://purl.obolibrary.org/obo/MONDO_0002860	testis rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000473	testis
http://purl.obolibrary.org/obo/MONDO_0016260	uterine corpus rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0009853	body of uterus
http://purl.obolibrary.org/obo/MONDO_0016095	vaginal rhabdomyosarcoma	http://purl.obolibrary.org/obo/UBERON_0000996	vagina
