defined_class	defined_class_label	neoplasm	neoplasm_label
http://purl.obolibrary.org/obo/MONDO_0036990	benign Leydig cell tumor	http://purl.obolibrary.org/obo/MONDO_0006266	Leydig cell tumor
http://purl.obolibrary.org/obo/MONDO_0020581	benign PEComa	http://purl.obolibrary.org/obo/MONDO_0006359	neoplasm with perivascular epithelioid cell differentiation
http://purl.obolibrary.org/obo/MONDO_0006103	benign adrenal gland pheochromocytoma	http://purl.obolibrary.org/obo/MONDO_0004974	adrenal gland pheochromocytoma
http://purl.obolibrary.org/obo/MONDO_0036781	benign axillary neoplasm	http://purl.obolibrary.org/obo/MONDO_0036779	axillary neoplasm
http://purl.obolibrary.org/obo/MONDO_0002065	benign breast adenomyoepithelioma	http://purl.obolibrary.org/obo/MONDO_0002066	breast adenomyoepithelioma
http://purl.obolibrary.org/obo/MONDO_0015871	benign breast phyllodes tumor	http://purl.obolibrary.org/obo/MONDO_0021047	breast phyllodes tumor
http://purl.obolibrary.org/obo/MONDO_0006104	benign carotid body paraganglioma	http://purl.obolibrary.org/obo/MONDO_0021053	carotid body paraganglioma
http://purl.obolibrary.org/obo/MONDO_0024470	benign chondrogenic neoplasm	http://purl.obolibrary.org/obo/MONDO_0024469	chondrogenic neoplasm
http://purl.obolibrary.org/obo/MONDO_0000654	benign connective and soft tissue neoplasm	http://purl.obolibrary.org/obo/MONDO_0044334	connective and soft tissue neoplasm
http://purl.obolibrary.org/obo/MONDO_0024247	benign eccrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0002090	eccrine sweat gland neoplasm
http://purl.obolibrary.org/obo/MONDO_0036976	benign epithelial neoplasm	http://purl.obolibrary.org/obo/MONDO_0005626	epithelial neoplasm
http://purl.obolibrary.org/obo/MONDO_0024666	benign epithelial skin neoplasm	http://purl.obolibrary.org/obo/MONDO_0021634	epithelial skin neoplasm
http://purl.obolibrary.org/obo/MONDO_0000638	benign glioma	http://purl.obolibrary.org/obo/MONDO_0021042	glioma
http://purl.obolibrary.org/obo/MONDO_0003250	benign granular cell tumor	http://purl.obolibrary.org/obo/MONDO_0006235	granular cell tumor
http://purl.obolibrary.org/obo/MONDO_0021048	benign mastocytoma	http://purl.obolibrary.org/obo/MONDO_0003079	mastocytoma
http://purl.obolibrary.org/obo/MONDO_0003054	benign meningioma	http://purl.obolibrary.org/obo/MONDO_0016642	meningioma
http://purl.obolibrary.org/obo/MONDO_0002382	benign mesenchymoma	http://purl.obolibrary.org/obo/MONDO_0006854	mesenchymoma
http://purl.obolibrary.org/obo/MONDO_0024889	benign mesonephroma	http://purl.obolibrary.org/obo/MONDO_0024888	mesonephric neoplasm
http://purl.obolibrary.org/obo/MONDO_0002373	benign mesothelioma	http://purl.obolibrary.org/obo/MONDO_0005065	mesothelioma
http://purl.obolibrary.org/obo/MONDO_0005165	benign neoplasm	http://purl.obolibrary.org/obo/MONDO_0005070	neoplasm
http://purl.obolibrary.org/obo/MONDO_0045052	benign osteogenic neoplasm	http://purl.obolibrary.org/obo/MONDO_0045053	osteogenic neoplasm
http://purl.obolibrary.org/obo/MONDO_0036915	benign ovarian mucinous tumor	http://purl.obolibrary.org/obo/MONDO_0003756	ovarian mucinous neoplasm
http://purl.obolibrary.org/obo/MONDO_0024387	benign ovarian sex cord-stromal tumor	http://purl.obolibrary.org/obo/MONDO_0021657	ovarian sex cord-stromal tumor
http://purl.obolibrary.org/obo/MONDO_0003342	benign perivascular tumor	http://purl.obolibrary.org/obo/MONDO_0002604	pericytic neoplasm
http://purl.obolibrary.org/obo/MONDO_0037002	benign phyllodes tumor	http://purl.obolibrary.org/obo/MONDO_0005078	phyllodes tumor
http://purl.obolibrary.org/obo/MONDO_0002451	benign prostate phyllodes tumor	http://purl.obolibrary.org/obo/MONDO_0021102	prostate phyllodes tumor
http://purl.obolibrary.org/obo/MONDO_0020809	benign sertoli cell tumor	http://purl.obolibrary.org/obo/MONDO_0002696	Sertoli cell tumor
http://purl.obolibrary.org/obo/MONDO_0044335	benign soft tissue neoplasm	http://purl.obolibrary.org/obo/MONDO_0006424	soft tissue neoplasm
http://purl.obolibrary.org/obo/MONDO_0003333	benign struma ovarii	http://purl.obolibrary.org/obo/MONDO_0006980	struma ovarii
http://purl.obolibrary.org/obo/MONDO_0024715	benign synovial neoplasm	http://purl.obolibrary.org/obo/MONDO_0002528	synovium neoplasm
http://purl.obolibrary.org/obo/MONDO_0020813	benign testicular sertoli cell tumor	http://purl.obolibrary.org/obo/MONDO_0020808	testicular sertoli cell tumor
