defined_class	defined_class_label	process	process_label
http://purl.obolibrary.org/obo/MONDO_0009825	5-oxoprolinase deficiency	http://purl.obolibrary.org/obo/GO_0017168	5-oxoprolinase (ATP-hydrolyzing) activity
http://purl.obolibrary.org/obo/MONDO_0005775	G6PD deficiency	http://purl.obolibrary.org/obo/GO_0004345	glucose-6-phosphate dehydrogenase activity
http://purl.obolibrary.org/obo/MONDO_0007068	adenylosuccinate lyase deficiency	http://purl.obolibrary.org/obo/GO_0070626	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity
http://purl.obolibrary.org/obo/MONDO_0009665	biotinidase deficiency	http://purl.obolibrary.org/obo/GO_0047708	biotinidase activity
http://purl.obolibrary.org/obo/MONDO_0015286	congenital disorder of glycosylation	http://purl.obolibrary.org/obo/GO_0070085	glycosylation
http://purl.obolibrary.org/obo/MONDO_0017762	disorder of copper metabolism	http://purl.obolibrary.org/obo/GO_0006878	cellular copper ion homeostasis
http://purl.obolibrary.org/obo/MONDO_0017765	disorder of magnesium transport	http://purl.obolibrary.org/obo/GO_0015693	magnesium ion transport
http://purl.obolibrary.org/obo/MONDO_0000351	disorder of methionine catabolism	http://purl.obolibrary.org/obo/GO_0009087	methionine catabolic process
http://purl.obolibrary.org/obo/MONDO_0017687	disorder of neutral amino acid transport	http://purl.obolibrary.org/obo/GO_0015804	neutral amino acid transport
http://purl.obolibrary.org/obo/MONDO_0021130	disorder of sphingolipid biosynthesis	http://purl.obolibrary.org/obo/GO_0030148	sphingolipid biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0009285	gamma-glutamyl transpeptidase deficiency	http://purl.obolibrary.org/obo/GO_0036374	glutathione hydrolase activity
http://purl.obolibrary.org/obo/MONDO_0009259	gamma-glutamylcysteine synthetase deficiency	http://purl.obolibrary.org/obo/GO_0004357	glutamate-cysteine ligase activity
http://purl.obolibrary.org/obo/MONDO_0019225	gluconeogenesis disorder	http://purl.obolibrary.org/obo/GO_0006094	gluconeogenesis
http://purl.obolibrary.org/obo/MONDO_0019226	glucose transport disorder	http://purl.obolibrary.org/obo/GO_1904659	glucose transmembrane transport
http://purl.obolibrary.org/obo/MONDO_0002412	glycogen storage disease	http://purl.obolibrary.org/obo/GO_0005977	glycogen metabolic process
http://purl.obolibrary.org/obo/MONDO_0017686	inborn aminoacylase deficiency	http://purl.obolibrary.org/obo/GO_0004046	aminoacylase activity
http://purl.obolibrary.org/obo/MONDO_0019214	inborn carbohydrate metabolic disorder	http://purl.obolibrary.org/obo/GO_0005975	carbohydrate metabolic process
http://purl.obolibrary.org/obo/MONDO_0037938	inborn disorder of aspartate family metabolism	http://purl.obolibrary.org/obo/GO_0009066	aspartate family amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0019218	inborn disorder of bile acid synthesis	http://purl.obolibrary.org/obo/GO_0006699	bile acid biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0019242	inborn disorder of branched-chain amino acid metabolism	http://purl.obolibrary.org/obo/GO_0009081	branched-chain amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0019243	inborn disorder of energy metabolism	http://purl.obolibrary.org/obo/GO_0006091	generation of precursor metabolites and energy
http://purl.obolibrary.org/obo/MONDO_0019224	inborn disorder of gamma-aminobutyric acid metabolism	http://purl.obolibrary.org/obo/GO_0009448	gamma-aminobutyric acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0019227	inborn disorder of glycerol metabolism	http://purl.obolibrary.org/obo/GO_0006071	glycerol metabolic process
http://purl.obolibrary.org/obo/MONDO_0019228	inborn disorder of histidine metabolism	http://purl.obolibrary.org/obo/GO_0006547	histidine metabolic process
http://purl.obolibrary.org/obo/MONDO_0019229	inborn disorder of ketolysis	http://purl.obolibrary.org/obo/GO_0046952	ketone body catabolic process
http://purl.obolibrary.org/obo/MONDO_0019222	inborn disorder of methionine cycle and sulfur amino acid metabolism	http://purl.obolibrary.org/obo/GO_0000096	sulfur amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0017356	inborn disorder of ornithine metabolism	http://purl.obolibrary.org/obo/GO_0006591	ornithine metabolic process
http://purl.obolibrary.org/obo/MONDO_0017754	inborn disorder of porphyrin metabolism	http://purl.obolibrary.org/obo/GO_0006778	porphyrin-containing compound metabolic process
http://purl.obolibrary.org/obo/MONDO_0017355	inborn disorder of proline metabolism	http://purl.obolibrary.org/obo/GO_0006560	proline metabolic process
http://purl.obolibrary.org/obo/MONDO_0019236	inborn disorder of purine metabolism	http://purl.obolibrary.org/obo/GO_0006144	purine nucleobase metabolic process
http://purl.obolibrary.org/obo/MONDO_0019237	inborn disorder of pyridoxine metabolism	http://purl.obolibrary.org/obo/GO_0008614	pyridoxine metabolic process
http://purl.obolibrary.org/obo/MONDO_0019238	inborn disorder of pyrimidine metabolism	http://purl.obolibrary.org/obo/GO_0006206	pyrimidine nucleobase metabolic process
http://purl.obolibrary.org/obo/MONDO_0019239	inborn disorder of serine family metabolism	http://purl.obolibrary.org/obo/GO_0009069	serine family amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0017350	inborn disorder of tryptophan metabolism	http://purl.obolibrary.org/obo/GO_0006568	tryptophan metabolic process
http://purl.obolibrary.org/obo/MONDO_0020698	inborn error of biotin metabolism	http://purl.obolibrary.org/obo/GO_0006768	biotin metabolic process
http://purl.obolibrary.org/obo/MONDO_0010613	inborn glycerol kinase deficiency	http://purl.obolibrary.org/obo/GO_0004370	glycerol kinase activity
http://purl.obolibrary.org/obo/MONDO_0000421	inborn serine deficiency	http://purl.obolibrary.org/obo/GO_0006564	L-serine biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0000424	inborn vitamin B12 deficiency	http://purl.obolibrary.org/obo/GO_0009235	cobalamin metabolic process
http://purl.obolibrary.org/obo/MONDO_0005528	inborn vitamin metabolic disorder	http://purl.obolibrary.org/obo/GO_0006766	vitamin metabolic process
http://purl.obolibrary.org/obo/MONDO_0004736	inherited amino acid metabolic disorder	http://purl.obolibrary.org/obo/GO_0006520	cellular amino acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0040566	inherited glutathione metabolism disease	http://purl.obolibrary.org/obo/GO_0006749	glutathione metabolic process
http://purl.obolibrary.org/obo/MONDO_0017909	inherited glutathione synthetase deficiency	http://purl.obolibrary.org/obo/GO_0004363	glutathione synthase activity
http://purl.obolibrary.org/obo/MONDO_0018424	inherited lipoic acid biosynthesis defect	http://purl.obolibrary.org/obo/GO_0009107	lipoate biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0000688	inherited organic acidemia	http://purl.obolibrary.org/obo/GO_0006082	organic acid metabolic process
http://purl.obolibrary.org/obo/MONDO_0045046	inherited thyroid metabolism disease	http://purl.obolibrary.org/obo/GO_0042403	thyroid hormone metabolic process
http://purl.obolibrary.org/obo/MONDO_0020531	long chain acyl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/GO_0004466	long-chain-acyl-CoA dehydrogenase activity
http://purl.obolibrary.org/obo/MONDO_0019245	lysosomal lipid storage disorder	http://purl.obolibrary.org/obo/GO_0019915	lipid storage
http://purl.obolibrary.org/obo/MONDO_0018121	mitochondrial DNA maintenance syndrome	http://purl.obolibrary.org/obo/GO_0000002	mitochondrial genome maintenance
http://purl.obolibrary.org/obo/MONDO_0019053	peroxisomal disease	http://purl.obolibrary.org/obo/GO_0005777	peroxisome
http://purl.obolibrary.org/obo/MONDO_0016789	pyruvate metabolism disorder	http://purl.obolibrary.org/obo/GO_0006090	pyruvate metabolic process
http://purl.obolibrary.org/obo/MONDO_0019240	sterol biosynthesis disorder	http://purl.obolibrary.org/obo/GO_0016126	sterol biosynthetic process
http://purl.obolibrary.org/obo/MONDO_0019256	sterol metabolism disorder	http://purl.obolibrary.org/obo/GO_0016125	sterol metabolic process
http://purl.obolibrary.org/obo/MONDO_0030982	sulfide quinone oxidoreductase deficiency	http://purl.obolibrary.org/obo/GO_0070224	sulfide:quinone oxidoreductase activity
http://purl.obolibrary.org/obo/MONDO_0012503	thiopurine S-methyltransferase deficiency	http://purl.obolibrary.org/obo/GO_0008119	thiopurine S-methyltransferase activity
http://purl.obolibrary.org/obo/MONDO_0016790	tricarboxylic acid cycle disorder	http://purl.obolibrary.org/obo/GO_0006099	tricarboxylic acid cycle
http://purl.obolibrary.org/obo/MONDO_0000155	triglyceride storage disease	http://purl.obolibrary.org/obo/GO_0030730	sequestering of triglyceride
