defined_class	defined_class_label	cause	cause_label	parent	parent_label
http://purl.obolibrary.org/obo/MONDO_0020689	AIDS dementia complex	http://purl.obolibrary.org/obo/MONDO_0005109	HIV infectious disease	http://purl.obolibrary.org/obo/MONDO_0001627	dementia
http://purl.obolibrary.org/obo/MONDO_0005491	Chagas cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0001444	Chagas disease	http://purl.obolibrary.org/obo/MONDO_0004994	cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0000890	Zika virus congenital syndrome	http://purl.obolibrary.org/obo/MONDO_0018661	Zika virus infectious disease	http://purl.obolibrary.org/obo/MONDO_0000839	congenital abnormality
http://purl.obolibrary.org/obo/MONDO_0005448	hepatitis C induced liver cirrhosis	http://purl.obolibrary.org/obo/MONDO_0005231	hepatitis C virus infection	http://purl.obolibrary.org/obo/MONDO_0005155	cirrhosis of liver
http://purl.obolibrary.org/obo/MONDO_0034103	infection-related hemolytic uremic syndrome	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0001549	hemolytic-uremic syndrome
http://purl.obolibrary.org/obo/MONDO_0002812	infectious otitis interna	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0002008	labyrinthitis
http://purl.obolibrary.org/obo/MONDO_0001771	infective urethral stricture	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0002127	urethral stricture
http://purl.obolibrary.org/obo/MONDO_0021673	post-bacterial disorder	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0021669	post-infectious disorder	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0021677	post-infectious neuralgia	http://purl.obolibrary.org/obo/MONDO_0005108	viral infectious disease	http://purl.obolibrary.org/obo/MONDO_0021667	neuralgia
http://purl.obolibrary.org/obo/MONDO_0021670	post-infectious syndrome	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0002254	syndromic disease
http://purl.obolibrary.org/obo/MONDO_0021674	post-viral disorder	http://purl.obolibrary.org/obo/MONDO_0005108	viral infectious disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0020068	postinfectious encephalitis	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0019956	encephalitis
http://purl.obolibrary.org/obo/MONDO_0018837	postinfectious vasculitis	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/MONDO_0018882	vasculitis
http://purl.obolibrary.org/obo/MONDO_0019386	progressive rubella panencephalitis	http://purl.obolibrary.org/obo/MONDO_0004656	rubella	http://purl.obolibrary.org/obo/MONDO_0020069	chronic encephalitis
http://purl.obolibrary.org/obo/MONDO_0020648	rubella encephalitis	http://purl.obolibrary.org/obo/MONDO_0004656	rubella	http://purl.obolibrary.org/obo/MONDO_0019956	encephalitis
http://purl.obolibrary.org/obo/MONDO_0025484	simian acquired immunodeficiency syndrome	http://purl.obolibrary.org/obo/MONDO_0005163	simian immunodeficiency virus infection	http://purl.obolibrary.org/obo/MONDO_0005046	immune system disease
http://purl.obolibrary.org/obo/MONDO_0005200	viral dilated cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0005108	viral infectious disease	http://purl.obolibrary.org/obo/MONDO_0005021	dilated cardiomyopathy
