defined_class	defined_class_label	chromosome	chromosome_label
http://purl.obolibrary.org/obo/MONDO_0015607	partial chromosome Y deletion	http://purl.obolibrary.org/obo/CHR_9606-chrY	chromosome Y (Human)
http://purl.obolibrary.org/obo/MONDO_0016866	partial deletion of chromosome 1	http://purl.obolibrary.org/obo/CHR_9606-chr1	chromosome 1 (Human)
http://purl.obolibrary.org/obo/MONDO_0016875	partial deletion of chromosome 10	http://purl.obolibrary.org/obo/CHR_9606-chr10	chromosome 10 (Human)
http://purl.obolibrary.org/obo/MONDO_0016876	partial deletion of chromosome 11	http://purl.obolibrary.org/obo/CHR_9606-chr11	chromosome 11 (Human)
http://purl.obolibrary.org/obo/MONDO_0017277	partial deletion of chromosome 12	http://purl.obolibrary.org/obo/CHR_9606-chr12	chromosome 12 (Human)
http://purl.obolibrary.org/obo/MONDO_0016878	partial deletion of chromosome 16	http://purl.obolibrary.org/obo/CHR_9606-chr16	chromosome 16 (Human)
http://purl.obolibrary.org/obo/MONDO_0016879	partial deletion of chromosome 17	http://purl.obolibrary.org/obo/CHR_9606-chr17	chromosome 17 (Human)
http://purl.obolibrary.org/obo/MONDO_0016880	partial deletion of chromosome 18	http://purl.obolibrary.org/obo/CHR_9606-chr18	chromosome 18 (Human)
http://purl.obolibrary.org/obo/MONDO_0016881	partial deletion of chromosome 19	http://purl.obolibrary.org/obo/CHR_9606-chr19	chromosome 19 (Human)
http://purl.obolibrary.org/obo/MONDO_0016867	partial deletion of chromosome 2	http://purl.obolibrary.org/obo/CHR_9606-chr2	chromosome 2 (Human)
http://purl.obolibrary.org/obo/MONDO_0016882	partial deletion of chromosome 20	http://purl.obolibrary.org/obo/CHR_9606-chr20	chromosome 20 (Human)
http://purl.obolibrary.org/obo/MONDO_0016868	partial deletion of chromosome 3	http://purl.obolibrary.org/obo/CHR_9606-chr3	chromosome 3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016869	partial deletion of chromosome 4	http://purl.obolibrary.org/obo/CHR_9606-chr4	chromosome 4 (Human)
http://purl.obolibrary.org/obo/MONDO_0016870	partial deletion of chromosome 5	http://purl.obolibrary.org/obo/CHR_9606-chr5	chromosome 5 (Human)
http://purl.obolibrary.org/obo/MONDO_0016871	partial deletion of chromosome 6	http://purl.obolibrary.org/obo/CHR_9606-chr6	chromosome 6 (Human)
http://purl.obolibrary.org/obo/MONDO_0016872	partial deletion of chromosome 7	http://purl.obolibrary.org/obo/CHR_9606-chr7	chromosome 7 (Human)
http://purl.obolibrary.org/obo/MONDO_0016873	partial deletion of chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8	chromosome 8 (Human)
http://purl.obolibrary.org/obo/MONDO_0016874	partial deletion of chromosome 9	http://purl.obolibrary.org/obo/CHR_9606-chr9	chromosome 9 (Human)
http://purl.obolibrary.org/obo/MONDO_0017003	partial deletion of chromosome X	http://purl.obolibrary.org/obo/CHR_9606-chrX	chromosome X (Human)
