defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0006081	anal melanoma	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0005012	cutaneous melanoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0045070	digestive system melanoma	http://purl.obolibrary.org/obo/UBERON_0001007	digestive system
http://purl.obolibrary.org/obo/MONDO_0001192	esophageal melanoma	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/MONDO_0000928	eyelid melanoma	http://purl.obolibrary.org/obo/UBERON_0001711	eyelid
http://purl.obolibrary.org/obo/MONDO_0004484	gallbladder melanoma	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0004064	iris melanoma	http://purl.obolibrary.org/obo/UBERON_0001769	iris
http://purl.obolibrary.org/obo/MONDO_0003761	leptomeningeal melanoma	http://purl.obolibrary.org/obo/UBERON_0000391	leptomeninx
http://purl.obolibrary.org/obo/MONDO_0002975	malignant breast melanoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0003878	malignant choroid melanoma	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/MONDO_0003912	malignant ciliary body melanoma	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/MONDO_0002096	malignant conjunctival melanoma	http://purl.obolibrary.org/obo/UBERON_0001811	conjunctiva
http://purl.obolibrary.org/obo/MONDO_0004550	malignant cornea melanoma	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/MONDO_0015694	malignant melanoma of the mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	mucosa
http://purl.obolibrary.org/obo/MONDO_0006325	ocular melanoma	http://purl.obolibrary.org/obo/UBERON_0010230	eyeball of camera-type eye
http://purl.obolibrary.org/obo/MONDO_0016747	primary melanoma of the central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0002167	rectum malignant melanoma	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0004561	retinal melanoma	http://purl.obolibrary.org/obo/UBERON_0000966	retina
http://purl.obolibrary.org/obo/MONDO_0001652	scrotum melanoma	http://purl.obolibrary.org/obo/UBERON_0001300	scrotum
http://purl.obolibrary.org/obo/MONDO_0001893	spinal cord melanoma	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord
http://purl.obolibrary.org/obo/MONDO_0006486	uveal melanoma	http://purl.obolibrary.org/obo/UBERON_0001768	uvea
http://purl.obolibrary.org/obo/MONDO_0006489	vaginal melanoma	http://purl.obolibrary.org/obo/UBERON_0000996	vagina
http://purl.obolibrary.org/obo/MONDO_0002205	vulvar melanoma	http://purl.obolibrary.org/obo/UBERON_0000997	mammalian vulva
