defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/MONDO_0000974	axillary lipoma	http://purl.obolibrary.org/obo/UBERON_0009472	axilla
http://purl.obolibrary.org/obo/MONDO_0000970	breast lipoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0003844	central nervous system lipoma	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0003843	cerebral hemisphere lipoma	http://purl.obolibrary.org/obo/UBERON_0001869	cerebral hemisphere
http://purl.obolibrary.org/obo/MONDO_0000971	chest wall lipoma	http://purl.obolibrary.org/obo/UBERON_0016435	chest wall
http://purl.obolibrary.org/obo/MONDO_0003885	colorectal lipoma	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine
http://purl.obolibrary.org/obo/MONDO_0003845	corpus callosum lipoma	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum
http://purl.obolibrary.org/obo/MONDO_0003840	epicardium lipoma	http://purl.obolibrary.org/obo/UBERON_0002348	epicardium
http://purl.obolibrary.org/obo/MONDO_0000963	esophageal lipoma	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/MONDO_0000973	external ear lipoma	http://purl.obolibrary.org/obo/UBERON_0001691	external ear
http://purl.obolibrary.org/obo/MONDO_0000978	extrahepatic bile duct lipoma	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0000972	gallbladder lipoma	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0003841	heart lipoma	http://purl.obolibrary.org/obo/UBERON_0000948	heart
http://purl.obolibrary.org/obo/MONDO_0003984	internal auditory canal lipoma	http://purl.obolibrary.org/obo/UBERON_0011859	internal acoustic meatus
http://purl.obolibrary.org/obo/MONDO_0000968	kidney lipoma	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/MONDO_0001091	lipoma of colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0021630	lipoma of face	http://purl.obolibrary.org/obo/UBERON_0001456	face
http://purl.obolibrary.org/obo/MONDO_0000975	lipoma of spermatic cord	http://purl.obolibrary.org/obo/UBERON_0005352	spermatic cord
http://purl.obolibrary.org/obo/MONDO_0021437	lipoma of stomach	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MONDO_0003884	lipoma of the rectum	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0000965	liver lipoma	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/MONDO_0004077	lumbosacral lipoma	http://purl.obolibrary.org/obo/UBERON_0006075	sacral region of vertebral column
http://purl.obolibrary.org/obo/MONDO_0000969	pleural lipoma	http://purl.obolibrary.org/obo/UBERON_0000977	pleura
http://purl.obolibrary.org/obo/MONDO_0000964	skin lipoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0001790	spinal cord lipoma	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord
http://purl.obolibrary.org/obo/MONDO_0004076	tendon sheath lipoma	http://purl.obolibrary.org/obo/UBERON_0000304	tendon sheath
http://purl.obolibrary.org/obo/MONDO_0002163	thymus lipoma	http://purl.obolibrary.org/obo/UBERON_0002370	thymus
http://purl.obolibrary.org/obo/MONDO_0044885	tonsillar lipoma	http://purl.obolibrary.org/obo/UBERON_0002372	tonsil
