defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0030702	autoimmune atherosclerosis	http://purl.obolibrary.org/obo/MONDO_0005311	atherosclerosis
http://purl.obolibrary.org/obo/MONDO_0030701	autoimmune cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0004994	cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0007179	autoimmune disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000587	autoimmune disease of ear, nose and throat	http://purl.obolibrary.org/obo/MONDO_0024623	otorhinolaryngologic disease
http://purl.obolibrary.org/obo/MONDO_0020640	autoimmune encephalitis	http://purl.obolibrary.org/obo/MONDO_0019956	encephalitis
http://purl.obolibrary.org/obo/MONDO_0031014	autoimmune gastritis	http://purl.obolibrary.org/obo/MONDO_0004966	gastritis
http://purl.obolibrary.org/obo/MONDO_0030700	autoimmune glomerulonephritis	http://purl.obolibrary.org/obo/MONDO_0002462	glomerulonephritis
http://purl.obolibrary.org/obo/MONDO_0020108	autoimmune hemolytic anemia	http://purl.obolibrary.org/obo/MONDO_0003664	hemolytic anemia
http://purl.obolibrary.org/obo/MONDO_0016264	autoimmune hepatitis	http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis
http://purl.obolibrary.org/obo/MONDO_0018242	autoimmune hypoparathyroidism	http://purl.obolibrary.org/obo/MONDO_0001220	hypoparathyroidism
http://purl.obolibrary.org/obo/MONDO_0022518	autoimmune inner ear disease	http://purl.obolibrary.org/obo/MONDO_0002467	inner ear disease
http://purl.obolibrary.org/obo/MONDO_0017979	autoimmune lymphoproliferative syndrome	http://purl.obolibrary.org/obo/MONDO_0016537	lymphoproliferative syndrome
http://purl.obolibrary.org/obo/MONDO_0022519	autoimmune myocarditis	http://purl.obolibrary.org/obo/MONDO_0004496	myocarditis
http://purl.obolibrary.org/obo/MONDO_0000774	autoimmune neuropathy	http://purl.obolibrary.org/obo/MONDO_0005244	peripheral neuropathy
http://purl.obolibrary.org/obo/MONDO_0021950	autoimmune oophoritis	http://purl.obolibrary.org/obo/MONDO_0006877	oophoritis
http://purl.obolibrary.org/obo/MONDO_0031013	autoimmune optic neuritis	http://purl.obolibrary.org/obo/MONDO_0005885	optic neuritis
http://purl.obolibrary.org/obo/MONDO_0015175	autoimmune pancreatitis	http://purl.obolibrary.org/obo/MONDO_0004982	pancreatitis
http://purl.obolibrary.org/obo/MONDO_0017278	autoimmune polyendocrinopathy	http://purl.obolibrary.org/obo/MONDO_0015126	polyendocrinopathy
http://purl.obolibrary.org/obo/MONDO_0044338	autoimmune primary ovarian failure	http://purl.obolibrary.org/obo/MONDO_0005387	primary ovarian failure
http://purl.obolibrary.org/obo/MONDO_0012579	autoimmune pulmonary alveolar proteinosis	http://purl.obolibrary.org/obo/MONDO_0001437	pulmonary alveolar proteinosis
http://purl.obolibrary.org/obo/MONDO_0019098	autoimmune thrombocytopenia	http://purl.obolibrary.org/obo/MONDO_0002049	thrombocytopenia
http://purl.obolibrary.org/obo/MONDO_0025513	autoimmune urticaria	http://purl.obolibrary.org/obo/MONDO_0005492	urticaria
http://purl.obolibrary.org/obo/MONDO_0031012	autoimmune uveitis	http://purl.obolibrary.org/obo/MONDO_0020283	uveitis
http://purl.obolibrary.org/obo/MONDO_0030703	autoimmune vasculitis	http://purl.obolibrary.org/obo/MONDO_0018882	vasculitis
http://purl.obolibrary.org/obo/MONDO_0008383	rheumatoid arthritis	http://purl.obolibrary.org/obo/MONDO_0005578	arthritic joint disease
http://purl.obolibrary.org/obo/MONDO_0015939	systemic autoimmune disease	http://purl.obolibrary.org/obo/MONDO_0015938	systemic disease
