defined_class	defined_class_label	disease	disease_label	stimulus	stimulus_label
http://purl.obolibrary.org/obo/MONDO_0003969	amphetamine abuse	http://purl.obolibrary.org/obo/MONDO_0002491	substance abuse	http://purl.obolibrary.org/obo/CHEBI_2679	amphetamine
http://purl.obolibrary.org/obo/MONDO_0004599	barbiturate abuse	http://purl.obolibrary.org/obo/MONDO_0002491	substance abuse	http://purl.obolibrary.org/obo/CHEBI_29745	barbiturate
http://purl.obolibrary.org/obo/MONDO_0043523	cadmium poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_22977	cadmium atom
http://purl.obolibrary.org/obo/MONDO_0004456	cocaine abuse	http://purl.obolibrary.org/obo/MONDO_0002491	substance abuse	http://purl.obolibrary.org/obo/CHEBI_27958	cocaine
http://purl.obolibrary.org/obo/MONDO_0005186	cocaine dependence	http://purl.obolibrary.org/obo/MONDO_0005303	drug dependence	http://purl.obolibrary.org/obo/CHEBI_27958	cocaine
http://purl.obolibrary.org/obo/MONDO_0019544	cocaine intoxication	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_27958	cocaine
http://purl.obolibrary.org/obo/MONDO_0017859	colchicine poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_23359	colchicine
http://purl.obolibrary.org/obo/MONDO_0024651	corticosteroid-induced osteoporosis	http://purl.obolibrary.org/obo/MONDO_0005298	osteoporosis	http://purl.obolibrary.org/obo/CHEBI_50858	corticosteroid
http://purl.obolibrary.org/obo/MONDO_0017863	digitalis poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_4551	digoxin
http://purl.obolibrary.org/obo/MONDO_0024650	drug-induced osteoporosis	http://purl.obolibrary.org/obo/MONDO_0005298	osteoporosis	http://purl.obolibrary.org/obo/CHEBI_25367	molecule
http://purl.obolibrary.org/obo/MONDO_0017861	ethylene glycol poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_30742	ethylene glycol
http://purl.obolibrary.org/obo/MONDO_0023176	formaldehyde poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_16842	formaldehyde
http://purl.obolibrary.org/obo/MONDO_0000757	glucocorticoid-induced osteoporosis	http://purl.obolibrary.org/obo/MONDO_0005298	osteoporosis	http://purl.obolibrary.org/obo/CHEBI_24261	glucocorticoid
http://purl.obolibrary.org/obo/MONDO_0017638	manganese poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_25154	manganese molecular entity
http://purl.obolibrary.org/obo/MONDO_0018020	mercury poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_25195	mercury atom
http://purl.obolibrary.org/obo/MONDO_0017860	methanol poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_17790	methanol
http://purl.obolibrary.org/obo/MONDO_0034212	methotrexate toxicity	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_44185	methotrexate
http://purl.obolibrary.org/obo/MONDO_0018741	paracetamol poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_46195	paracetamol
http://purl.obolibrary.org/obo/MONDO_0017862	paraquat poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_34905	paraquat
http://purl.obolibrary.org/obo/MONDO_0005912	phencyclidine abuse	http://purl.obolibrary.org/obo/MONDO_0002491	substance abuse	http://purl.obolibrary.org/obo/CHEBI_8058	phencyclidine
http://purl.obolibrary.org/obo/MONDO_0019545	systemic monochloroacetate poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/CHEBI_27869	chloroacetic acid
