defined_class	defined_class_label	neoplasm	neoplasm_label
http://purl.obolibrary.org/obo/MONDO_0004992	cancer	http://purl.obolibrary.org/obo/MONDO_0005070	neoplasm
http://purl.obolibrary.org/obo/MONDO_0003113	extragonadal germ cell cancer	http://purl.obolibrary.org/obo/MONDO_0018201	extragonadal germ cell tumor
http://purl.obolibrary.org/obo/MONDO_0003252	granular cell cancer	http://purl.obolibrary.org/obo/MONDO_0006235	granular cell tumor
http://purl.obolibrary.org/obo/MONDO_0000377	malignant Leydig cell tumor	http://purl.obolibrary.org/obo/MONDO_0006266	Leydig cell tumor
http://purl.obolibrary.org/obo/MONDO_0000378	malignant Sertoli cell tumor	http://purl.obolibrary.org/obo/MONDO_0002696	Sertoli cell tumor
http://purl.obolibrary.org/obo/MONDO_0000379	malignant Sertoli-Leydig cell tumor	http://purl.obolibrary.org/obo/MONDO_0002479	Sertoli-Leydig cell tumor
http://purl.obolibrary.org/obo/MONDO_0020542	malignant Sertoli-Leydig cell tumor of ovary	http://purl.obolibrary.org/obo/MONDO_0036595	ovarian Sertoli-Leydig cell tumor
http://purl.obolibrary.org/obo/MONDO_0006288	malignant adrenal gland pheochromocytoma	http://purl.obolibrary.org/obo/MONDO_0004974	adrenal gland pheochromocytoma
http://purl.obolibrary.org/obo/MONDO_0002489	malignant breast phyllodes tumor	http://purl.obolibrary.org/obo/MONDO_0021047	breast phyllodes tumor
http://purl.obolibrary.org/obo/MONDO_0004650	malignant carotid body paraganglioma	http://purl.obolibrary.org/obo/MONDO_0021053	carotid body paraganglioma
http://purl.obolibrary.org/obo/MONDO_0037740	malignant central nervous system mesenchymal, non-meningothelial neoplasm	http://purl.obolibrary.org/obo/MONDO_0003244	central nervous system mesenchymal non-meningothelial tumor
http://purl.obolibrary.org/obo/MONDO_0018364	malignant epithelial tumor of ovary	http://purl.obolibrary.org/obo/MONDO_0002229	ovarian epithelial tumor
http://purl.obolibrary.org/obo/MONDO_0006290	malignant germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0005040	germ cell tumor
http://purl.obolibrary.org/obo/MONDO_0002402	malignant giant cell tumor	http://purl.obolibrary.org/obo/MONDO_0002171	giant cell tumor
http://purl.obolibrary.org/obo/MONDO_0100342	malignant glioma	http://purl.obolibrary.org/obo/MONDO_0021042	glioma
http://purl.obolibrary.org/obo/MONDO_0003340	malignant glomus tumor	http://purl.obolibrary.org/obo/MONDO_0018327	glomus tumor
http://purl.obolibrary.org/obo/MONDO_0003633	malignant mesenchymoma	http://purl.obolibrary.org/obo/MONDO_0006854	mesenchymoma
http://purl.obolibrary.org/obo/MONDO_0006292	malignant mesothelioma	http://purl.obolibrary.org/obo/MONDO_0005065	mesothelioma
http://purl.obolibrary.org/obo/MONDO_0024711	malignant mixed epithelial stromal tumor of the kidney	http://purl.obolibrary.org/obo/MONDO_0002386	mixed epithelial stromal tumor of the kidney
http://purl.obolibrary.org/obo/MONDO_0005853	malignant mixed neoplasm	http://purl.obolibrary.org/obo/MONDO_0021043	mixed neoplasm
