defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0003504	anal canal neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
http://purl.obolibrary.org/obo/MONDO_0024501	appendix neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0002485	breast neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0019963	bronchial endocrine tumor	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/MONDO_0002882	colon neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0024503	digestive system neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0005409	alimentary part of gastrointestinal system
http://purl.obolibrary.org/obo/MONDO_0024500	duodenal neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0002114	duodenum
http://purl.obolibrary.org/obo/MONDO_0003649	esophageal neuroendocrine tumor	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/MONDO_0024502	gallbladder neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0003111	gastric neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MONDO_0002883	intestinal neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
http://purl.obolibrary.org/obo/MONDO_0015070	laryngeal neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0001737	larynx
http://purl.obolibrary.org/obo/MONDO_0005454	lung neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MONDO_0015071	middle ear neuroendocrine tumor	http://purl.obolibrary.org/obo/UBERON_0001756	middle ear
http://purl.obolibrary.org/obo/MONDO_0002481	ovarian neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000992	ovary
http://purl.obolibrary.org/obo/MONDO_0002477	prostate neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0002367	prostate gland
http://purl.obolibrary.org/obo/MONDO_0003646	rectum neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0018510	small intestine neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0002108	small intestine
http://purl.obolibrary.org/obo/MONDO_0019964	thymic neuroendocrine tumor	http://purl.obolibrary.org/obo/UBERON_0002370	thymus
http://purl.obolibrary.org/obo/MONDO_0021650	uterine corpus neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0009853	body of uterus
