defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0021114	Bartholin gland neoplasm	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/MONDO_0021082	Meckel diverticulum neoplasm	http://purl.obolibrary.org/obo/UBERON_0003705	Meckel's diverticulum
http://purl.obolibrary.org/obo/MONDO_0001884	abducens nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve
http://purl.obolibrary.org/obo/MONDO_0036591	adrenal cortex neoplasm	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/MONDO_0021227	adrenal gland neoplasm	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/MONDO_0021237	adrenal medulla neoplasm	http://purl.obolibrary.org/obo/UBERON_0001236	adrenal medulla
http://purl.obolibrary.org/obo/MONDO_0000921	ampulla of vater neoplasm	http://purl.obolibrary.org/obo/UBERON_0004913	hepatopancreatic ampulla
http://purl.obolibrary.org/obo/MONDO_0003045	anal gland neoplasm	http://purl.obolibrary.org/obo/UBERON_0004760	gland of anal canal
http://purl.obolibrary.org/obo/MONDO_0003046	anus neoplasm	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0003686	apocrine sweat gland neoplasm	http://purl.obolibrary.org/obo/UBERON_0000382	apocrine sweat gland
http://purl.obolibrary.org/obo/MONDO_0001236	appendiceal neoplasm	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0002366	autonomic nervous system neoplasm	http://purl.obolibrary.org/obo/UBERON_0002410	autonomic nervous system
http://purl.obolibrary.org/obo/MONDO_0036779	axillary neoplasm	http://purl.obolibrary.org/obo/UBERON_0009472	axilla
http://purl.obolibrary.org/obo/MONDO_0021662	bile duct neoplasm	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/MONDO_0005304	biliary tract neoplasm	http://purl.obolibrary.org/obo/UBERON_0001173	biliary tree
