defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0003853	Bartholin gland adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/MONDO_0003410	Wolffian duct adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0003074	mesonephric duct
http://purl.obolibrary.org/obo/MONDO_0018351	adenocarcinoma of penis	http://purl.obolibrary.org/obo/UBERON_0000989	penis
http://purl.obolibrary.org/obo/MONDO_0004173	adenocarcinoma of skene gland origin	http://purl.obolibrary.org/obo/UBERON_0010145	paraurethral gland
http://purl.obolibrary.org/obo/MONDO_0002670	ampulla of vater adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0004913	hepatopancreatic ampulla
http://purl.obolibrary.org/obo/MONDO_0002735	anal canal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
http://purl.obolibrary.org/obo/MONDO_0002652	anus adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0003214	apocrine adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0008974	apocrine gland
http://purl.obolibrary.org/obo/MONDO_0006087	appendix adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0003193	bile duct adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/MONDO_0002751	bladder adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder
http://purl.obolibrary.org/obo/MONDO_0004331	bladder urachal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002068	urachus
http://purl.obolibrary.org/obo/MONDO_0004988	breast adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0005590	breast ductal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001765	mammary duct
http://purl.obolibrary.org/obo/MONDO_0006028	cecum adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
http://purl.obolibrary.org/obo/MONDO_0005153	cervical adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
http://purl.obolibrary.org/obo/MONDO_0002271	colon adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0005008	colorectal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0012652	colorectum
http://purl.obolibrary.org/obo/MONDO_0006186	duodenal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002114	duodenum
http://purl.obolibrary.org/obo/MONDO_0000554	endocervical adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000458	endocervix
http://purl.obolibrary.org/obo/MONDO_0005461	endometrium adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001295	endometrium
http://purl.obolibrary.org/obo/MONDO_0001017	epididymal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001301	epididymis
http://purl.obolibrary.org/obo/MONDO_0005028	esophageal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/MONDO_0002665	extrahepatic bile duct adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0002746	fallopian tube adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0003889	fallopian tube
http://purl.obolibrary.org/obo/MONDO_0006215	gallbladder adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0005036	gastric adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MONDO_0003835	gastric cardia adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001162	cardia of stomach
http://purl.obolibrary.org/obo/MONDO_0003219	gastroesophageal junction adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0007650	esophagogastric junction
http://purl.obolibrary.org/obo/MONDO_0000541	jejunal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002115	jejunum
http://purl.obolibrary.org/obo/MONDO_0002475	lacrimal gland adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001817	lacrimal gland
http://purl.obolibrary.org/obo/MONDO_0005061	lung adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MONDO_0003189	middle ear adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001756	middle ear
http://purl.obolibrary.org/obo/MONDO_0006304	minor salivary gland adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001830	minor salivary gland
http://purl.obolibrary.org/obo/MONDO_0003211	nasal cavity adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001707	nasal cavity
http://purl.obolibrary.org/obo/MONDO_0002752	ovarian adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000992	ovary
http://purl.obolibrary.org/obo/MONDO_0006047	pancreatic adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas
http://purl.obolibrary.org/obo/MONDO_0005184	pancreatic ductal adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0007329	pancreatic duct
http://purl.obolibrary.org/obo/MONDO_0004465	periampullary adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0012273	periampullary region of duodenum
http://purl.obolibrary.org/obo/MONDO_0017582	pituitary adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
http://purl.obolibrary.org/obo/MONDO_0005082	prostate adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0002367	prostate gland
http://purl.obolibrary.org/obo/MONDO_0002169	rectum adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0005086	renal cell carcinoma	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/MONDO_0003205	renal pelvis adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0001224	renal pelvis
http://purl.obolibrary.org/obo/MONDO_0003191	rete ovarii adenocarcinoma	http://purl.obolibrary.org/obo/UBERON_0010185	rete ovarii
