defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0001930	acute cholangitis	http://purl.obolibrary.org/obo/MONDO_0004789	cholangitis
http://purl.obolibrary.org/obo/MONDO_0020683	acute disease	http://purl.obolibrary.org/obo/MONDO_0700096	human disease or disorder
http://purl.obolibrary.org/obo/MONDO_0004810	acute ethmoiditis	http://purl.obolibrary.org/obo/MONDO_0005756	ethmoid sinusitis
http://purl.obolibrary.org/obo/MONDO_0001912	acute frontal sinusitis	http://purl.obolibrary.org/obo/MONDO_0001121	frontal sinusitis
http://purl.obolibrary.org/obo/MONDO_0001080	acute gonococcal cervicitis	http://purl.obolibrary.org/obo/MONDO_0021157	gonococcal cervicitis
http://purl.obolibrary.org/obo/MONDO_0001777	acute gonococcal cystitis	http://purl.obolibrary.org/obo/MONDO_0021160	gonococcal cystitis
http://purl.obolibrary.org/obo/MONDO_0001125	acute gonococcal epididymo-orchitis	http://purl.obolibrary.org/obo/MONDO_0021158	gonococcal epididymo-orchitis
http://purl.obolibrary.org/obo/MONDO_0001838	acute gonococcal prostatitis	http://purl.obolibrary.org/obo/MONDO_0021161	gonococcal prostatitis
http://purl.obolibrary.org/obo/MONDO_0001837	acute gonococcal salpingitis	http://purl.obolibrary.org/obo/MONDO_0021159	gonococcal salpingitis
http://purl.obolibrary.org/obo/MONDO_0100370	acute hepatitis B virus infection	http://purl.obolibrary.org/obo/MONDO_0005344	hepatitis B virus infection
http://purl.obolibrary.org/obo/MONDO_0002186	acute maxillary sinusitis	http://purl.obolibrary.org/obo/MONDO_0005842	maxillary sinusitis
http://purl.obolibrary.org/obo/MONDO_0001051	acute otitis externa	http://purl.obolibrary.org/obo/MONDO_0004795	otitis externa
http://purl.obolibrary.org/obo/MONDO_0006515	acute pancreatitis	http://purl.obolibrary.org/obo/MONDO_0004982	pancreatitis
http://purl.obolibrary.org/obo/MONDO_0002240	acute perichondritis of pinna	http://purl.obolibrary.org/obo/MONDO_0002246	perichondritis of auricle
http://purl.obolibrary.org/obo/MONDO_0003529	acute pyelonephritis	http://purl.obolibrary.org/obo/MONDO_0006939	pyelonephritis
http://purl.obolibrary.org/obo/MONDO_0001171	acute salpingo-oophoritis	http://purl.obolibrary.org/obo/MONDO_0001172	salpingo-oophoritis
http://purl.obolibrary.org/obo/MONDO_0001624	acute sphenoidal sinusitis	http://purl.obolibrary.org/obo/MONDO_0005964	sphenoid sinusitis
http://purl.obolibrary.org/obo/MONDO_0001949	acute thyroiditis	http://purl.obolibrary.org/obo/MONDO_0004126	thyroiditis
http://purl.obolibrary.org/obo/MONDO_0002738	acute transudative otitis media	http://purl.obolibrary.org/obo/MONDO_0001212	non-suppurative otitis media
http://purl.obolibrary.org/obo/MONDO_0001031	purulent acute otitis media	http://purl.obolibrary.org/obo/MONDO_0005975	suppurative otitis media
http://purl.obolibrary.org/obo/MONDO_0000222	seminal vesicle acute gonorrhea	http://purl.obolibrary.org/obo/MONDO_0001027	gonococcal seminal vesiculitis
