defined_class	defined_class_label	disease	disease_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0004120	Bartholin gland small cell carcinoma	http://purl.obolibrary.org/obo/MONDO_0000402	small cell carcinoma	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/MONDO_0024283	Demodex folliculitis	http://purl.obolibrary.org/obo/MONDO_0017280	demodicidosis	http://purl.obolibrary.org/obo/UBERON_0002073	hair follicle
http://purl.obolibrary.org/obo/MONDO_0006576	Ludwig's angina	http://purl.obolibrary.org/obo/MONDO_0005230	cellulitis	http://purl.obolibrary.org/obo/UBERON_0003679	mouth floor
http://purl.obolibrary.org/obo/MONDO_0001858	Tietze syndrome	http://purl.obolibrary.org/obo/MONDO_0002254	syndromic disease	http://purl.obolibrary.org/obo/UBERON_0002293	costochondral joint
http://purl.obolibrary.org/obo/MONDO_0021726	abdominal cystic lymphangioma	http://purl.obolibrary.org/obo/MONDO_0009761	cystic hygroma	http://purl.obolibrary.org/obo/UBERON_0000916	abdomen
http://purl.obolibrary.org/obo/MONDO_0000369	abdominal tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	tuberculosis	http://purl.obolibrary.org/obo/UBERON_0000916	abdomen
http://purl.obolibrary.org/obo/MONDO_0020594	abducens nerve disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve
http://purl.obolibrary.org/obo/MONDO_0002636	accessory nerve disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002019	accessory XI nerve
http://purl.obolibrary.org/obo/MONDO_0100110	adenovirus renal infection	http://purl.obolibrary.org/obo/MONDO_0043479	adenoviridae infectious disease	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/MONDO_0002816	adrenal cortex disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/MONDO_0005495	adrenal gland disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/MONDO_0006551	alopecia mucinosa	http://purl.obolibrary.org/obo/MONDO_0021653	cutaneous focal mucinosis	http://purl.obolibrary.org/obo/UBERON_0002073	hair follicle
http://purl.obolibrary.org/obo/MONDO_0005208	amelanotic skin melanoma	http://purl.obolibrary.org/obo/MONDO_0002971	amelanotic melanoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0017438	amelia of lower limb	http://purl.obolibrary.org/obo/MONDO_0017419	non-syndromic amelia	http://purl.obolibrary.org/obo/UBERON_0002103	hindlimb
http://purl.obolibrary.org/obo/MONDO_0017437	amelia of upper limb	http://purl.obolibrary.org/obo/MONDO_0017419	non-syndromic amelia	http://purl.obolibrary.org/obo/UBERON_0002102	forelimb
http://purl.obolibrary.org/obo/MONDO_0003504	anal canal neuroendocrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0019496	neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
http://purl.obolibrary.org/obo/MONDO_0006081	anal melanoma	http://purl.obolibrary.org/obo/MONDO_0005105	melanoma	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0004882	angioid streaks of choroid	http://purl.obolibrary.org/obo/MONDO_0011782	angioid streaks	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/MONDO_0020597	angiokeratoma of scrotum	http://purl.obolibrary.org/obo/MONDO_0003143	angiokeratoma	http://purl.obolibrary.org/obo/UBERON_0001300	scrotum
http://purl.obolibrary.org/obo/MONDO_0043895	ankle injury	http://purl.obolibrary.org/obo/MONDO_0021178	injury	http://purl.obolibrary.org/obo/UBERON_0004454	tarsal region
http://purl.obolibrary.org/obo/MONDO_0003182	anterior horn disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002257	ventral horn of spinal cord
http://purl.obolibrary.org/obo/MONDO_0024468	anterior pituitary gland disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002196	adenohypophysis
http://purl.obolibrary.org/obo/MONDO_0006650	anterior spinal artery syndrome	http://purl.obolibrary.org/obo/MONDO_0002254	syndromic disease	http://purl.obolibrary.org/obo/UBERON_0005431	anterior spinal artery
http://purl.obolibrary.org/obo/MONDO_0002519	anus disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0005561	aortic disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/MONDO_0003803	aortic valve disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/MONDO_0024467	apocrine sweat gland disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000382	apocrine sweat gland
