defined_class	defined_class_label	chromosome	chromosome_label
http://purl.obolibrary.org/obo/MONDO_0700008	chromosome 1 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr1	chromosome 1 (Human)
http://purl.obolibrary.org/obo/MONDO_0700017	chromosome 10 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr10	chromosome 10 (Human)
http://purl.obolibrary.org/obo/MONDO_0700018	chromosome 11 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr11	chromosome 11 (Human)
http://purl.obolibrary.org/obo/MONDO_0700019	chromosome 12 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr12	chromosome 12 (Human)
http://purl.obolibrary.org/obo/MONDO_0700020	chromosome 13 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr13	chromosome 13 (Human)
http://purl.obolibrary.org/obo/MONDO_0700021	chromosome 14 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr14	chromosome 14 (Human)
http://purl.obolibrary.org/obo/MONDO_0700022	chromosome 15 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr15	chromosome 15 (Human)
http://purl.obolibrary.org/obo/MONDO_0700023	chromosome 16 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr16	chromosome 16 (Human)
http://purl.obolibrary.org/obo/MONDO_0020583	chromosome 17 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr17	chromosome 17 (Human)
http://purl.obolibrary.org/obo/MONDO_0700125	chromosome 18 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr18	chromosome 18 (Human)
http://purl.obolibrary.org/obo/MONDO_0700024	chromosome 19 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr19	chromosome 19 (Human)
http://purl.obolibrary.org/obo/MONDO_0700009	chromosome 2 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr2	chromosome 2 (Human)
http://purl.obolibrary.org/obo/MONDO_0700025	chromosome 20 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr20	chromosome 20 (Human)
http://purl.obolibrary.org/obo/MONDO_0700124	chromosome 21 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr21	chromosome 21 (Human)
http://purl.obolibrary.org/obo/MONDO_0700026	chromosome 22 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr22	chromosome 22 (Human)
http://purl.obolibrary.org/obo/MONDO_0700010	chromosome 3 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr3	chromosome 3 (Human)
http://purl.obolibrary.org/obo/MONDO_0700011	chromosome 4 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr4	chromosome 4 (Human)
http://purl.obolibrary.org/obo/MONDO_0700012	chromosome 5 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr5	chromosome 5 (Human)
http://purl.obolibrary.org/obo/MONDO_0700013	chromosome 6 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr6	chromosome 6 (Human)
http://purl.obolibrary.org/obo/MONDO_0700014	chromosome 7 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr7	chromosome 7 (Human)
http://purl.obolibrary.org/obo/MONDO_0700015	chromosome 8 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr8	chromosome 8 (Human)
http://purl.obolibrary.org/obo/MONDO_0700016	chromosome 9 disorder	http://purl.obolibrary.org/obo/CHR_9606-chr9	chromosome 9 (Human)
http://purl.obolibrary.org/obo/MONDO_0700027	chromosome X disorder	http://purl.obolibrary.org/obo/CHR_9606-chrX	chromosome X (Human)
http://purl.obolibrary.org/obo/MONDO_0700028	chromosome Y disorder	http://purl.obolibrary.org/obo/CHR_9606-chrY	chromosome Y (Human)
