defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0007086	autosomal dominant Alport syndrome	http://purl.obolibrary.org/obo/MONDO_0018965	Alport syndrome
http://purl.obolibrary.org/obo/MONDO_0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	http://purl.obolibrary.org/obo/MONDO_0017314	Ehlers-Danlos syndrome, vascular type
http://purl.obolibrary.org/obo/MONDO_0007478	autosomal dominant Kenny-Caffey syndrome	http://purl.obolibrary.org/obo/MONDO_0016516	Kenny-Caffey syndrome
http://purl.obolibrary.org/obo/MONDO_0007779	autosomal dominant Opitz G/BBB syndrome	http://purl.obolibrary.org/obo/MONDO_0017138	Opitz G/BBB syndrome
http://purl.obolibrary.org/obo/MONDO_0008389	autosomal dominant Robinow syndrome	http://purl.obolibrary.org/obo/MONDO_0019978	Robinow syndrome
http://purl.obolibrary.org/obo/MONDO_0007232	autosomal dominant brachyolmia	http://purl.obolibrary.org/obo/MONDO_0015262	brachyolmia
http://purl.obolibrary.org/obo/MONDO_0007321	autosomal dominant chondrodysplasia punctata	http://purl.obolibrary.org/obo/MONDO_0019701	chondrodysplasia punctata
http://purl.obolibrary.org/obo/MONDO_0015445	autosomal dominant coarctation of aorta	http://purl.obolibrary.org/obo/MONDO_0007345	aorta coarctation
http://purl.obolibrary.org/obo/MONDO_0007420	autosomal dominant deafness - onychodystrophy syndrome	http://purl.obolibrary.org/obo/MONDO_0017922	deafness-onychodystrophy syndrome
http://purl.obolibrary.org/obo/MONDO_0000426	autosomal dominant disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0020702	autosomal dominant epidermolytic ichthyosis	http://purl.obolibrary.org/obo/MONDO_0007239	epidermolytic ichthyosis
http://purl.obolibrary.org/obo/MONDO_0015365	autosomal dominant hereditary sensory and autonomic neuropathy	http://purl.obolibrary.org/obo/MONDO_0015364	hereditary sensory and autonomic neuropathy
http://purl.obolibrary.org/obo/MONDO_0015884	autosomal dominant hypohidrotic ectodermal dysplasia	http://purl.obolibrary.org/obo/MONDO_0016535	hypohidrotic ectodermal dysplasia
http://purl.obolibrary.org/obo/MONDO_0007810	autosomal dominant ichthyosis vulgaris	http://purl.obolibrary.org/obo/MONDO_0024304	ichthyosis vulgaris
http://purl.obolibrary.org/obo/MONDO_0020093	autosomal dominant isolated diffuse palmoplantar keratoderma	http://purl.obolibrary.org/obo/MONDO_0017667	isolated diffuse palmoplantar keratoderma
http://purl.obolibrary.org/obo/MONDO_0007850	autosomal dominant keratitis-ichthyosis-hearing loss syndrome	http://purl.obolibrary.org/obo/MONDO_0018781	KID syndrome
http://purl.obolibrary.org/obo/MONDO_0040654	autosomal dominant oculocutaneous albinism	http://purl.obolibrary.org/obo/MONDO_0018910	oculocutaneous albinism
http://purl.obolibrary.org/obo/MONDO_0008123	autosomal dominant omodysplasia	http://purl.obolibrary.org/obo/MONDO_0017136	omodysplasia
http://purl.obolibrary.org/obo/MONDO_0020250	autosomal dominant optic atrophy	http://purl.obolibrary.org/obo/MONDO_0043878	hereditary optic atrophy
http://purl.obolibrary.org/obo/MONDO_0020645	autosomal dominant osteopetrosis	http://purl.obolibrary.org/obo/MONDO_0017198	osteopetrosis
http://purl.obolibrary.org/obo/MONDO_0007334	autosomal dominant popliteal pterygium syndrome	http://purl.obolibrary.org/obo/MONDO_0017435	popliteal pterygium syndrome
http://purl.obolibrary.org/obo/MONDO_0008003	autosomal dominant progressive external ophthalmoplegia	http://purl.obolibrary.org/obo/MONDO_0005181	progressive external ophthalmoplegia
http://purl.obolibrary.org/obo/MONDO_0016202	autosomal dominant rhegmatogenous retinal detachment	http://purl.obolibrary.org/obo/MONDO_0005464	rhegmatogenous retinal detachment
http://purl.obolibrary.org/obo/MONDO_0008742	autosomal dominant severe congenital neutropenia	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia
http://purl.obolibrary.org/obo/MONDO_0008474	spondyloepiphyseal dysplasia tarda, autosomal dominant	http://purl.obolibrary.org/obo/MONDO_0019667	spondyloepiphyseal dysplasia tarda
http://purl.obolibrary.org/obo/MONDO_0012868	thrombophilia due to protein S deficiency, autosomal dominant	http://purl.obolibrary.org/obo/MONDO_0019144	hereditary thrombophilia due to congenital protein S deficiency
