ID	Label	Comment	GitHub Link
MONDO_0002176	connective tissue cancer		https://github.com/monarch-initiative/mondo/issues/3593
MONDO_0003900	connective tissue disease		https://github.com/monarch-initiative/mondo/issues/3570
MONDO_0005569	cartilage disease		https://github.com/monarch-initiative/mondo/issues/3576
MONDO_0015318	Pierre Robin syndrome associated with collagen disease		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0015320	Pierre Robin syndrome associated with a chromosomal anomaly		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0015321	Pierre Robin syndrome associated with branchial archs anomalies		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0015322	Pierre Robin syndrome associated with bone disease		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0015501	syndrome or malformation associated with head and neck malformations		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0015543	hemophagocytic syndrome associated with an infection		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0015750	amelogenesis imperfecta-gingival hyperplasia syndrome		https://github.com/monarch-initiative/mondo/issues/3537
MONDO_0015938	systemic disease		https://github.com/monarch-initiative/mondo/issues/3596
MONDO_0016148	qualitative or quantitative defects of collagen 6		https://github.com/monarch-initiative/mondo/issues/3573
MONDO_0016329	familial syndrome associated with hypertrophic cardiomyopathy		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0016337	syndrome associated with dilated cardiomyopathy		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0017133	genetic systemic or rheumatologic disease		https://github.com/monarch-initiative/mondo/issues/3570
MONDO_0017274	autosomal ichthyosis syndrome with other associated signs		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0019686	type 2 collagen-related bone disorder		https://github.com/monarch-initiative/mondo/issues/3574
MONDO_0019687	type 11 collagen-related bone disorder		https://github.com/monarch-initiative/mondo/issues/3575
MONDO_0020012	systemic or rheumatic disease		https://github.com/monarch-initiative/mondo/issues/3570
MONDO_0020272	connective tissue disease with eye involvement		https://github.com/monarch-initiative/mondo/issues/3594
MONDO_0020277	ectodermal malformation syndrome associated with ocular features		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0035354	IgG4-related systemic disease		https://github.com/monarch-initiative/mondo/issues/3539
MONDO_0035362	TRIM22-related inflammatory bowel disease		https://github.com/monarch-initiative/mondo/issues/3540
MONDO_0035363	IRF2BPL-related regressive neurodevelopmental disorder-dystonia-seizures syndrome		https://github.com/monarch-initiative/mondo/issues/3541
MONDO_0035369	MTHFS-related developmental delay-microcephaly-short stature-epilepsy syndrome		https://github.com/monarch-initiative/mondo/issues/3542
MONDO_0035370	ALPI-related inflammatory bowel disease		https://github.com/monarch-initiative/mondo/issues/3543
MONDO_0045072	ectopic hormone secretion syndrome associated with neoplasia		https://github.com/monarch-initiative/mondo/issues/324
MONDO_0100027	"febrile seizures plus, genetic epilepsy with febrile seizures plus"		https://github.com/monarch-initiative/mondo/issues/3442
MONDO_0100376	"acute myeloid leukemia, t(9;11)(p21.3;q23.3)"	term to be merged with: MONDO:0020317 'acute myeloid leukemia with 11q23 abnormalities'	https://github.com/monarch-initiative/mondo/issues/3583
MONDO_0100387	"acute myeloid leukemia, Monosomy 7"	term to be merged with: MONDO:0005223 'acute myeloid leukemia with minimal differentiation'	https://github.com/monarch-initiative/mondo/issues/3583
MONDO_0100411	"acute myeloid leukemia, NPM1 gene mutation"	term to merged with: MONDO:0044923 'acute myeloid leukemia with mutated NPM1'	https://github.com/monarch-initiative/mondo/issues/3583
MONDO:0010301Ê	"Thrombocythemia, X linked"		https://github.com/monarch-initiative/mondo/issues/3172
