?cls	?clsLabel	?comment	?seeAlso
<http://purl.obolibrary.org/obo/MONDO_0003900>	connective tissue disease		https://github.com/monarch-initiative/mondo/issues/3570
<http://purl.obolibrary.org/obo/MONDO_0005569>	cartilage disease	Editor note: DO places this under articular cartilage disease	https://github.com/monarch-initiative/mondo/issues/3576
<http://purl.obolibrary.org/obo/MONDO_0015318>	Pierre Robin syndrome associated with collagen disease		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0015320>	Pierre Robin syndrome associated with a chromosomal anomaly		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0015321>	Pierre Robin syndrome associated with branchial archs anomalies		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0015322>	Pierre Robin syndrome associated with bone disease		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0015501>	syndrome or malformation associated with head and neck malformations		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0015543>	hemophagocytic syndrome associated with an infection		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0015750>	amelogenesis imperfecta-gingival hyperplasia syndrome		https://github.com/monarch-initiative/mondo/issues/3537
<http://purl.obolibrary.org/obo/MONDO_0016148>	qualitative or quantitative defects of collagen 6		https://github.com/monarch-initiative/mondo/issues/3573
<http://purl.obolibrary.org/obo/MONDO_0016329>	familial syndrome associated with hypertrophic cardiomyopathy		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0016337>	syndrome associated with dilated cardiomyopathy		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0017133>	genetic systemic or rheumatologic disease		https://github.com/monarch-initiative/mondo/issues/3570
<http://purl.obolibrary.org/obo/MONDO_0017274>	autosomal ichthyosis syndrome with other associated signs		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0019686>	type 2 collagen-related bone disorder		https://github.com/monarch-initiative/mondo/issues/3574
<http://purl.obolibrary.org/obo/MONDO_0019687>	type 11 collagen-related bone disorder		https://github.com/monarch-initiative/mondo/issues/3575
<http://purl.obolibrary.org/obo/MONDO_0020012>	systemic or rheumatic disease	Editor note: todo. ORDO includes vasculitis here but this is not normally included in the SARDs	https://github.com/monarch-initiative/mondo/issues/3570
<http://purl.obolibrary.org/obo/MONDO_0020277>	ectodermal malformation syndrome associated with ocular features		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0035354>	IgG4-related systemic disease		https://github.com/monarch-initiative/mondo/issues/3539
<http://purl.obolibrary.org/obo/MONDO_0035362>	TRIM22-related inflammatory bowel disease		https://github.com/monarch-initiative/mondo/issues/3540
<http://purl.obolibrary.org/obo/MONDO_0035363>	IRF2BPL-related regressive neurodevelopmental disorder-dystonia-seizures syndrome		https://github.com/monarch-initiative/mondo/issues/3541
<http://purl.obolibrary.org/obo/MONDO_0035369>	MTHFS-related developmental delay-microcephaly-short stature-epilepsy syndrome		https://github.com/monarch-initiative/mondo/issues/3542
<http://purl.obolibrary.org/obo/MONDO_0035370>	ALPI-related inflammatory bowel disease		https://github.com/monarch-initiative/mondo/issues/3543
<http://purl.obolibrary.org/obo/MONDO_0045072>	ectopic hormone secretion syndrome associated with neoplasia		https://github.com/monarch-initiative/mondo/issues/324
<http://purl.obolibrary.org/obo/MONDO_0100376>	acute myeloid leukemia, t(9;11)(p21.3;q23.3)	term to be merged with: MONDO:0020317 'acute myeloid leukemia with 11q23 abnormalities'	<https://github.com/monarch-initiative/mondo/issues/3452>
<http://purl.obolibrary.org/obo/MONDO_0100376>	acute myeloid leukemia, t(9;11)(p21.3;q23.3)	term to be merged with: MONDO:0020317 'acute myeloid leukemia with 11q23 abnormalities'	https://github.com/monarch-initiative/mondo/issues/3583
<http://purl.obolibrary.org/obo/MONDO_0100387>	acute myeloid leukemia, Monosomy 7	term to be merged with: MONDO:0005223 'acute myeloid leukemia with minimal differentiation'	<https://github.com/monarch-initiative/mondo/issues/3452>
<http://purl.obolibrary.org/obo/MONDO_0100387>	acute myeloid leukemia, Monosomy 7	term to be merged with: MONDO:0005223 'acute myeloid leukemia with minimal differentiation'	https://github.com/monarch-initiative/mondo/issues/3583
<http://purl.obolibrary.org/obo/MONDO_0100411>	acute myeloid leukemia, NPM1 gene mutation	term to merged with: MONDO:0044923 'acute myeloid leukemia with mutated NPM1'	<https://github.com/monarch-initiative/mondo/issues/3452>
<http://purl.obolibrary.org/obo/MONDO_0100411>	acute myeloid leukemia, NPM1 gene mutation	term to merged with: MONDO:0044923 'acute myeloid leukemia with mutated NPM1'	https://github.com/monarch-initiative/mondo/issues/3583
