iri	iri label	substance	substance label
MONDO:0000789	Atlantic cod allergy	NCBITaxon:8049	Gadus morhua
MONDO:0000790	Atlantic salmon allergy	NCBITaxon:8030	Salmo salar
MONDO:0000773	Timothy grass allergy	NCBITaxon:15957	Phleum pratense
MONDO:0000779	apple allergy	NCBITaxon:3750	Malus domestica
MONDO:0000780	apricot allergy	NCBITaxon:36596	Prunus armeniaca
MONDO:0000794	beta-lactam allergy	CHEBI:35627	beta-lactam
MONDO:0000800	brown shrimp allergy	FOODON:03000003
MONDO:0000791	carp allergy	NCBITaxon:7962	Cyprinus carpio
MONDO:0005741	egg allergy	FOODON:03420194
MONDO:0000606	gluten allergy	FOODON:03420177
MONDO:0000801	green mud crab allergy	FOODON:03000004
MONDO:0000806	horned turban snail allergy	NCBITaxon:63673	Turbo cornutus
MONDO:0000802	indian prawn allergy	FOODON:03000005
MONDO:0000785	peach allergy	NCBITaxon:3760	Prunus persica
MONDO:0000795	penicillin allergy	CHEBI:17334	penicillin
MONDO:0000786	plum allergy	NCBITaxon:3758	Prunus domestica
MONDO:0000772	pollen allergy	FOODON:03420279
MONDO:0000793	rainbow trout allergy	NCBITaxon:8022	Oncorhynchus mykiss
MONDO:0000803	tiger prawn allergy	NCBITaxon:6687	Penaeus monodon
MONDO:0000787	tomato allergy	NCBITaxon:4081	Solanum lycopersicum
MONDO:0000804	white shrimp allergy	NCBITaxon:122378	Litopenaeus schmitti
