iri	iri label	location	location label
MONDO:0021082	Meckel diverticulum neoplasm	UBERON:0003705	Meckel's diverticulum
MONDO:0021049	Vulvar Neoplasm	UBERON:0000997	mammalian vulva
MONDO:0001884	abducens nerve neoplasm	UBERON:0001646	abducens nerve
MONDO:0000921	ampulla of vater neoplasm	UBERON:0004913	hepatopancreatic ampulla
MONDO:0002366	autonomic nervous system neoplasm	UBERON:0002410	autonomic nervous system
MONDO:0021114	bartholin gland neoplasm	UBERON:0000460	major vestibular gland
MONDO:0004987	bladder tumor	UBERON:0001255	urinary bladder
MONDO:0021080	blood vessel neoplasm	UBERON:0001981	blood vessel
MONDO:0005374	bone marrow neoplasm	UBERON:0002371	bone marrow
MONDO:0021100	breast neoplasm	UBERON:0000310	breast
MONDO:0003164	cauda equina neoplasm	UBERON:0012337	cauda equina
MONDO:0006130	central nervous system neoplasm	UBERON:0001017	central nervous system
MONDO:0002913	cerebellar neoplasm	UBERON:0002037	cerebellum
MONDO:0005401	colonic neoplasm	UBERON:0001155	colon
MONDO:0005335	colorectal neoplasm	UBERON:0012652	colorectum
MONDO:0002435	cranial nerve III tumor	UBERON:0001643	oculomotor nerve
MONDO:0002633	cranial nerve neoplasm	UBERON:0001785	cranial nerve
MONDO:0002090	eccrine sweat gland neoplasm	UBERON:0000423	eccrine sweat gland
MONDO:0002082	endocrine gland neoplasm	UBERON:0002368	endocrine gland
MONDO:0002235	eyelid neoplasm	UBERON:0001711	eyelid
MONDO:0002101	facial nerve neoplasm	UBERON:0001647	facial nerve
MONDO:0021092	fallopian tube neoplasm	UBERON:0003889	fallopian tube
MONDO:0001421	frontal lobe neoplasm	UBERON:0016525	frontal lobe
MONDO:0021085	gastric neoplasm	UBERON:0000945	stomach
MONDO:0021086	gingival neoplasm	UBERON:0001828	gingiva
MONDO:0018327	glomus tumor	UBERON:0004739	pronephric glomerulus
MONDO:0002638	glossopharyngeal nerve neoplasm	UBERON:0001649	glossopharyngeal nerve
MONDO:0002353	glottis neoplasm	UBERON:0002486	glottis
MONDO:0006036	granulosa cell tumor	CL:0000501	granulosa cell
MONDO:0005586	head and neck neoplasia	UBERON:0007811	craniocervical region
MONDO:0002334	hematopoietic and lymphoid system neoplasm	UBERON:0000178	blood
MONDO:0002514	hepatobiliary neoplasm	UBERON:0002423	hepatobiliary system
MONDO:0002550	hypoglossal nerve neoplasm	UBERON:0001650	hypoglossal nerve
MONDO:0021118	intestinal neoplasm	UBERON:0000160	intestine
MONDO:0021071	laryngeal neoplasm	UBERON:0001737	larynx
MONDO:0021117	lung neoplasm	UBERON:0002048	lung
MONDO:0005841	maxillary neoplasm	UBERON:0011597	bone of upper jaw
MONDO:0004709	occipital lobe neoplasm	UBERON:0002021	occipital lobe
MONDO:0002722	olfactory nerve neoplasm	UBERON:0001579	olfactory nerve
MONDO:0002640	optic nerve neoplasm	UBERON:0000941	cranial nerve II
MONDO:0021068	ovarian neoplasm	UBERON:0000992	ovary
MONDO:0021076	pancreatic exocrine neoplasm	UBERON:0000017	exocrine pancreas
MONDO:0021040	pancreatic neoplasm	UBERON:0001264	pancreas
MONDO:0005815	pancreatic neuroendocrine neoplasm	UBERON:0000016	endocrine pancreas
MONDO:0001406	peripheral nervous system neoplasm	UBERON:0000010	peripheral nervous system
MONDO:0021065	pleural neoplasm	UBERON:0002402	pleural cavity
MONDO:0002423	rectosigmoid junction neoplasm	UBERON:0036214	rectosigmoid junction
MONDO:0003319	scrotum neoplasm	UBERON:0001300	scrotum
MONDO:0006963	sebaceous gland neoplasm	UBERON:0001821	sebaceous gland
MONDO:0006971	sigmoid neoplasm	UBERON:0001159	sigmoid colon
MONDO:0002531	skin neoplasm	UBERON:0000014	zone of skin
MONDO:0002626	spinal accessory nerve neoplasm	UBERON:0009674	accessory XI nerve spinal component
MONDO:0004427	supraglottis neoplasm	UBERON:0036263
MONDO:0005197	thymus neoplasm	UBERON:0002370	thymus
MONDO:0001420	trigeminal nerve neoplasm	UBERON:0001645	trigeminal nerve
MONDO:0002642	trochlear nerve neoplasm	UBERON:0001644	trochlear nerve
MONDO:0021111	ureter neoplasm	UBERON:0000056	ureter
MONDO:0021066	urinary system neoplasm	UBERON:0001008	renal system
MONDO:0021050	vaginal neoplasm	UBERON:0000996	vagina
MONDO:0001608	vagus nerve neoplasm	UBERON:0001759	vagus nerve
