iri,label,location,location label
,nervous system disease,UBERON:0001016,nervous system
,central nervous system disease,UBERON:0001017,central nervous system
,peripheral nervous system disease,UBERON:0000010,peripheral nervous system
,autonomic nervous system disease,UBERON:0002410,autonomic nervous system
,sensory system disease,UBERON:0001032,sensory system
,reproductive system disease,UBERON:0000990,reproductive system
,immune system disease,UBERON:0002405,immune system
,hematopoietic system disease,UBERON:0002390,hematopoietic system
,integumentary system disease,UBERON:0002416,integumental system
,lymphatic system disease,UBERON:0006558,lymphatic part of lymphoid system
,male reproductive system disease,UBERON:0000079,male reproductive system
,musculoskeletal system disease,UBERON:0002204,musculoskeletal system
,respiratory system disease,UBERON:0001004,respiratory system
,vestibular disease,UBERON:0004681,vestibular system
,urinary system disease,UBERON:0001008,renal system
,female reproductive system disease,UBERON:0000474,female reproductive system
,gastrointestinal system disease,UBERON:0005409,alimentary part of gastrointestinal system
,auditory system disease,UBERON:0016490,auditory system
,cardiovascular system disease,UBERON:0004535,cardiovascular system
,endocrine system disease,UBERON:0000949,endocrine system
,Brody myopathy,UBERON:0001134,skeletal muscle tissue
,Vagus nerve disease,UBERON:0001759,vagus nerve
,abducens nerve disease,UBERON:0001646,abducens nerve
,accessory nerve disease,UBERON:0002019,accessory XI nerve
,adrenal cortex disease,UBERON:0001235,adrenal cortex
,adrenal gland disease,UBERON:0002369,adrenal gland
,anus disease,UBERON:0001245,anus
,aortic valve disease,UBERON:0002137,aortic valve
,artery disease,UBERON:0001637,artery
,articular cartilage disease,UBERON:0010996,articular cartilage of joint
,basal ganglia disease,UBERON:0010011,collection of basal ganglia
,bile duct disease,UBERON:0002394,bile duct
,biliary tract disease,UBERON:0001173,biliary tree
,bladder disease,UBERON:0001255,urinary bladder
,blood platelet disease,CL:0000233,platelet
,bone marrow disease,UBERON:0002371,bone marrow
,brain disease,UBERON:0000955,brain
,breast disease,UBERON:0000310,breast
,capillary disease,UBERON:0001982,capillary
,carotid artery disease,UBERON:0005396,carotid artery segment
,choroid disease,UBERON:0001776,optic choroid
,ciliary body disease,UBERON:0001775,ciliary body
,common bile duct disease,UBERON:0001174,common bile duct
,connective tissue disease,UBERON:0002384,connective tissue
,coronary artery disease,UBERON:0001621,coronary artery
,cutaneous leishmaniasis,UBERON:0001003,skin epidermis
,dental pulp disease,UBERON:0001754,dental pulp
,diaphragm disease,UBERON:0001103,diaphragm
,endocardium disease,UBERON:0002165,endocardium
,endocrine pancreas disease,UBERON:0000016,endocrine pancreas
,epidural abscess,UBERON:0003691,epidural space
,esophageal disease,UBERON:0001043,esophagus
,external ear disease,UBERON:0001691,external ear
,eye disease,UBERON:0000970,eye
,eyelid disease,UBERON:0001711,eyelid
,facial nerve disease,UBERON:0001647,facial nerve
,fallopian tube disease,UBERON:0003889,fallopian tube
,gallbladder disease,UBERON:0002110,gall bladder
,glossopharyngeal nerve disease,UBERON:0001649,glossopharyngeal nerve
,hair disease,UBERON:0001037,strand of hair
,heart disease,UBERON:0000948,heart
,heart valve disease,UBERON:0000946,cardial valve
,hypoglossal nerve disease,UBERON:0001650,hypoglossal nerve
,inner ear disease,UBERON:0001846,internal ear
,iris disease,UBERON:0001769,iris
,kidney disease,UBERON:0002113,kidney
,lacrimal apparatus disease,UBERON:0001750,lacrimal apparatus
,lens disease,UBERON:0000965,lens of camera-type eye
,lesion of sciatic nerve,UBERON:0001322,sciatic nerve
,leukocyte disease,CL:0000738,leukocyte
,lip disease,UBERON:0001833,lip
,liver disease,UBERON:0002107,liver
,lower respiratory tract disease,UBERON:0001558,lower respiratory tract
,lung disease,UBERON:0002048,lung
,lymph node disease,UBERON:0000029,lymph node
,middle ear disease,UBERON:0001756,middle ear
,mitral valve disease,UBERON:0002135,mitral valve
,motor neuron disease,CL:0000100,motor neuron
,mouth disease,UBERON:0000165,mouth
,muscle tissue disease,UBERON:0002385,muscle tissue
,nail disease,UBERON:0001705,nail
,nasal cavity disease,UBERON:0001707,nasal cavity
,neuromuscular junction disease,UBERON:0001029,obsolete neuromuscular junction
,nose disease,UBERON:0000004,nose
,olfactory nerve disease,UBERON:0001579,olfactory nerve
,pancreas disease,UBERON:0001264,pancreas
,paranasal sinus disease,UBERON:0001825,paranasal sinus
,parathyroid gland disease,UBERON:0001132,parathyroid gland
,parotid disease,UBERON:0001831,parotid gland
,pericardium disease,UBERON:0002407,pericardium
,pituitary gland disease,UBERON:0000007,pituitary gland
,placenta disease,UBERON:0001987,placenta
,prostate disease,UBERON:0002367,prostate gland
,pulmonary valve disease,UBERON:0002146,pulmonary valve
