iri	label	location	location label
DOID:0050155	sensory system disease	UBERON:0001032	sensory system
DOID:0050161	lower respiratory tract disease	UBERON:0001558	lower respiratory tract
DOID:0050692	Brody myopathy	UBERON:0001134	skeletal muscle tissue
DOID:0050824	sinoatrial node disease	UBERON:0002351	sinoatrial node
DOID:0050825	endocardium disease	UBERON:0002165	endocardium
DOID:0050826	tricuspid valve disease	UBERON:0002134	tricuspid valve
DOID:0050828	artery disease	UBERON:0001637	artery
DOID:0050829	pericardium disease	UBERON:0002407	pericardium
DOID:0060262	gallbladder disease	UBERON:0002110	gall bladder
DOID:0060564	spinal disease	UBERON:0001130	vertebral column
DOID:10302	parotid disease	UBERON:0001831	parotid gland
DOID:10481	diaphragm disease	UBERON:0001103	diaphragm
DOID:10854	salivary gland disease	UBERON:0001044	saliva-secreting gland
DOID:10865	abducens nerve disease	UBERON:0001646	abducens nerve
DOID:1091	tooth disease	UBERON:0001091	calcareous tooth
DOID:10944	tongue disease	UBERON:0001723	tongue
DOID:110	lens disease	UBERON:0000965	lens of camera-type eye
DOID:11201	parathyroid gland disease	UBERON:0001132	parathyroid gland
DOID:11387	epidural abscess	UBERON:0003691	epidural space
DOID:114	heart disease	UBERON:0000948	heart
DOID:11465	autonomic nervous system disease	UBERON:0002410	autonomic nervous system
DOID:12491	Vagus nerve disease	UBERON:0001759	vagus nerve
DOID:12528	lesion of sciatic nerve	UBERON:0001322	sciatic nerve
DOID:12529	tibial nerve palsy	UBERON:0001323	tibial nerve
DOID:12657	vestibulocochlear nerve disease	UBERON:0001648	vestibulocochlear nerve
DOID:1271	capillary disease	UBERON:0001982	capillary
DOID:1287	cardiovascular system disease	UBERON:0004535	cardiovascular system
DOID:12897	submandibular gland disease	UBERON:0001736	submandibular gland
DOID:1352	paranasal sinus disease	UBERON:0001825	paranasal sinus
DOID:13814	hypoglossal nerve disease	UBERON:0001650	hypoglossal nerve
DOID:1383	sweat gland disease	UBERON:0001820	sweat gland
DOID:13864	trochlear nerve disease	UBERON:0001644	trochlear nerve
DOID:1400	lacrimal apparatus disease	UBERON:0001750	lacrimal apparatus
DOID:1417	choroid disease	UBERON:0001776	optic choroid
DOID:1428	endocrine pancreas disease	UBERON:0000016	endocrine pancreas
DOID:15	reproductive system disease	UBERON:0000990	reproductive system
DOID:1579	respiratory system disease	UBERON:0001004	respiratory system
DOID:16	integumentary system disease	UBERON:0002416	integumental system
DOID:17	musculoskeletal system disease	UBERON:0002204	musculoskeletal system
DOID:1756	facial nerve disease	UBERON:0001647	facial nerve
DOID:18	urinary system disease	UBERON:0001008	renal system
DOID:1962	fallopian tube disease	UBERON:0003889	fallopian tube
DOID:2163	nasal cavity disease	UBERON:0001707	nasal cavity
DOID:2218	blood platelet disease	CL:0000233	platelet
DOID:229	female reproductive system disease	UBERON:0000474	female reproductive system
DOID:231	motor neuron disease	CL:0000100	motor neuron
DOID:238	pupil disease	UBERON:0001771	pupil
DOID:240	iris disease	UBERON:0001769	iris
DOID:2529	splenic disease	UBERON:0002106	spleen
DOID:26	pancreas disease	UBERON:0001264	pancreas
DOID:2742	auditory system disease	UBERON:0016490	auditory system
DOID:28	endocrine system disease	UBERON:0000949	endocrine system
DOID:2825	nose disease	UBERON:0000004	nose
DOID:2914	immune system disease	UBERON:0002405	immune system
DOID:2952	inner ear disease	UBERON:0001846	internal ear
DOID:3128	anus disease	UBERON:0001245	anus
DOID:319	spinal cord disease	UBERON:0002240	spinal cord
DOID:331	central nervous system disease	UBERON:0001017	central nervous system
DOID:339	accessory nerve disease	UBERON:0002019	accessory XI nerve
DOID:3393	coronary artery disease	UBERON:0001621	coronary artery
DOID:3407	carotid artery disease	UBERON:0005396	carotid artery segment
DOID:3418	glossopharyngeal nerve disease	UBERON:0001649	glossopharyngeal nerve
DOID:3426	vestibular disease	UBERON:0004681	vestibular system
DOID:3463	breast disease	UBERON:0000310	breast
