iri,iri label,disease,disease label
MONDO:0005607,chronic bronchitis,MONDO:0003781,bronchitis
MONDO:0004924,chronic canaliculitis,MONDO:0005631,actinomycosis
MONDO:0002030,chronic cervicitis,MONDO:0002345,cervicitis (disease)
MONDO:0004786,chronic cholangitis,MONDO:0004789,cholangitis
MONDO:0001966,chronic closed-angle glaucoma,MONDO:0001744,angle-closure glaucoma
MONDO:0002314,chronic conjunctivitis,MONDO:0003799,conjunctivitis (disease)
MONDO:0015574,chronic cutaneous lupus erythematosus,MONDO:0005282,cutaneous lupus erythematosus
MONDO:0006030,chronic cystitis,MONDO:0006032,cystitis
MONDO:0004800,chronic dacryoadenitis,MONDO:0004804,dacryoadenitis
MONDO:0004925,chronic dacryocystitis,MONDO:0004926,dacryocystitis
MONDO:0020069,chronic encephalitis,MONDO:0019956,encephalitis
MONDO:0017203,chronic endophthalmitis,MONDO:0016047,endophthalmitis
MONDO:0004806,chronic eosinophilic pneumonia,MONDO:0005749,eosinophilic pneumonia
MONDO:0004757,chronic ethmoidal sinusitis,MONDO:0005756,ethmoid sinusitis
MONDO:0002170,chronic eustachian salpingitis,MONDO:0002172,otosalpingitis
MONDO:0001120,chronic frontal sinusitis,MONDO:0001121,frontal sinusitis
MONDO:0005001,chronic gastritis (disease),MONDO:0004966,gastritis (disease)
MONDO:0020547,chronic graft versus host disease,MONDO:0013730,graft versus host disease
MONDO:0005366,chronic hepatitis B infection,MONDO:0005344,hepatitis B infection
MONDO:0005354,chronic hepatitis C infection,MONDO:0005231,hepatitis C infection
MONDO:0006703,chronic interstitial cystitis,MONDO:0018301,interstitial cystitis
MONDO:0017574,chronic intestinal pseudoobstruction,MONDO:0002803,intestinal pseudo-obstruction
MONDO:0005300,chronic kidney disease,MONDO:0005240,kidney disease
MONDO:0001369,chronic laryngitis,MONDO:0002647,laryngitis
MONDO:0001014,chronic leukemia,MONDO:0005059,leukemia (disease)
MONDO:0001122,chronic maxillary sinusitis,MONDO:0005842,maxillary sinusitis
MONDO:0001007,chronic meningitis,MONDO:0021108,meningitis (disease)
MONDO:0004614,chronic monocytic leukemia,MONDO:0004600,monocytic leukemia
MONDO:0011996,chronic myelogenous leukemia,MONDO:0004643,myeloid leukemia
MONDO:0005171,chronic myeloproliferative disorder,MONDO:0020076,myeloproliferative neoplasm
MONDO:0005002,chronic obstructive pulmonary disease,MONDO:0002267,obstructive lung disease
MONDO:0005003,chronic pancreatitis,MONDO:0004982,pancreatitis
MONDO:0001917,chronic perichondritis of pinna,MONDO:0002246,perichondritis of auricle
MONDO:0005593,chronic periodontitis,MONDO:0005076,periodontitis
MONDO:0003335,chronic polyneuropathy,MONDO:0001824,polyneuropathy
MONDO:0016170,chronic polyradiculoneuropathy,MONDO:0006915,polyradiculoneuropathy
MONDO:0015129,chronic primary adrenal insufficiency,MONDO:0015128,primary adrenal insufficiency
MONDO:0001920,chronic purulent otitis media,MONDO:0005975,suppurative otitis media
MONDO:0001110,chronic pyelonephritis,MONDO:0006939,pyelonephritis
MONDO:0001184,chronic rapidly progressive glomerulonephritis,MONDO:0017236,rapidly progressive glomerulonephritis
MONDO:0004514,chronic rhinitis,MONDO:0003014,rhinitis
MONDO:0003617,chronic salpingitis,MONDO:0003619,salpingitis
MONDO:0001474,chronic salpingo-oophoritis,MONDO:0001172,salpingo-oophoritis
MONDO:0001123,chronic sphenoidal sinusitis,MONDO:0005964,sphenoid sinusitis
MONDO:0001074,chronic tic disorder,MONDO:0002420,tic disorder
MONDO:0000492,chronic venous insufficiency,MONDO:0000945,venous insufficiency (disease)
MONDO:0009847,"pericardial effusion, chronic",MONDO:0001370,pericardial effusion (disease)
MONDO:0001025,seminal vesicle chronic gonorrhea,MONDO:0001027,gonococcal seminal vesiculitis
