iri,iri label,disease,disease label
MONDO:0015150,complex hereditary spastic paraplegia,MONDO:0019064,hereditary spastic paraplegia
MONDO:0016463,syndromic agammaglobulinemia,MONDO:0015977,agammaglobulinemia
MONDO:0020148,syndromic aniridia,MONDO:0019172,aniridia
MONDO:0015246,syndromic anorectal malformation,MONDO:0019938,anorectal malformation
MONDO:0020225,syndromic cataract,MONDO:0005129,cataract (disease)
MONDO:0020215,syndromic corneal dystrophy,MONDO:0018102,corneal dystrophy (disease)
MONDO:0015338,syndromic craniosynostosis,MONDO:0015469,craniosynostosis
MONDO:0015218,syndromic developmental defect of the eye,MONDO:0020145,developmental defect of the eye
MONDO:0015216,syndromic diaphragmatic or abdominal wall malformation,MONDO:0020021,diaphragmatic or abdominal wall malformation
MONDO:0009105,syndromic diarrhea,MONDO:0001673,diarrhea
MONDO:0002254,syndromic disease,MONDO:0000001,disease
MONDO:0015208,syndromic esophageal malformation,MONDO:0019513,esophageal malformation
MONDO:0015210,syndromic gastroduodenal malformation,MONDO:0019998,gastroduodenal malformation
MONDO:0018609,syndromic hereditary optic neuropathy,MONDO:0020249,hereditary optic neuropathy
MONDO:0020210,syndromic hyperopia,MONDO:0004891,hyperopia
MONDO:0015778,syndromic hypothyroidism,MONDO:0005420,hypothyroidism
MONDO:0020269,syndromic ichthyosis associated with ocular features,MONDO:0020268,ichthyosis associated with ocular features
MONDO:0000508,syndromic intellectual disability,MONDO:0001071,intellectual disability
MONDO:0015212,syndromic intestinal malformation,MONDO:0019999,intestinal malformation
MONDO:0020211,syndromic keratoconus,MONDO:0015486,keratoconus (disease)
MONDO:0019520,syndromic lymphedema,MONDO:0019297,lymphedema
MONDO:0016073,syndromic microphthalmia,MONDO:0021129,microphthalmia
MONDO:0020208,syndromic myopia,MONDO:0001384,myopia (disease)
MONDO:0019285,syndromic nail anomaly,MONDO:0019283,nail anomaly
MONDO:0016565,syndromic obesity,MONDO:0011122,obesity (disease)
MONDO:0017305,syndromic oculocutaneous albinism,MONDO:0018910,oculocutaneous albinism
MONDO:0017264,syndromic recessive X-linked ichthyosis,MONDO:0010622,recessive X-linked ichthyosis
MONDO:0019721,syndromic renal or urinary tract malformation,MONDO:0019719,renal or urinary tract malformation
MONDO:0015222,syndromic respiratory or mediastinal malformation,MONDO:0020023,respiratory or mediastinal malformation
MONDO:0020240,syndromic retinitis pigmentosa,MONDO:0019200,retinitis pigmentosa
MONDO:0015620,syndromic urogenital tract malformation,MONDO:0019356,urogenital tract malformation
MONDO:0015846,syndromic uterovaginal malformation,MONDO:0015828,uterovaginal malformation
