iri	iri label	disease	disease label
MONDO:0021034	genetic alopecia	MONDO:0004907	alopecia
MONDO:0015509	genetic biliary tract disease	MONDO:0004868	biliary tract disease
MONDO:0015110	genetic cardiac rhythm disease	MONDO:0007263	cardiac rhythm disease
MONDO:0017129	genetic cardiac tumor	MONDO:0001340	heart cancer
MONDO:0015547	genetic dementia	MONDO:0001627	dementia
MONDO:0021026	genetic epidermal appendage anomaly	MONDO:0019277	epidermal appendage anomaly
MONDO:0021027	genetic hair anomaly	MONDO:0019278	hair anomaly
MONDO:0018300	genetic hyperaldosteronism	MONDO:0003009	hyperaldosteronism
MONDO:0016166	genetic hyperparathyroidism	MONDO:0001741	hyperparathyroidism
MONDO:0015512	genetic hypertension	MONDO:0005044	hypertension
MONDO:0016165	genetic hypoparathyroidism	MONDO:0001220	hypoparathyroidism
MONDO:0017143	genetic infertility	MONDO:0005047	infertility
MONDO:0020087	genetic lipodystrophy	MONDO:0006573	lipodystrophy (disease)
MONDO:0020242	genetic macular dystrophy	MONDO:0000054	macular dystrophy (disease)
MONDO:0021028	genetic nail anomaly	MONDO:0019283	nail anomaly
MONDO:0015952	genetic neurodegenerative disease	MONDO:0005559	neurodegenerative disease
MONDO:0019182	genetic obesity	MONDO:0011122	obesity (disease)
MONDO:0020127	genetic peripheral neuropathy	MONDO:0005244	peripheral neuropathy
MONDO:0021029	genetic sebaceous gland anomaly	MONDO:0019286	sebaceous gland anomaly
MONDO:0017127	genetic soft tissue tumor	MONDO:0002616	mesenchymal cell neoplasm
MONDO:0003847	inherited genetic disease	MONDO:0000001	disease
MONDO:0015947	inherited ichthyosis	MONDO:0019269	ichthyosis (disease)
MONDO:0015541	primary hemophagocytic lymphohistiocytosis	MONDO:0000247	hemophagocytic lymphohistiocytosis
